"List1","List2","List3","List4","Match","Pic","Probe","Target","acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compensation","condition1","condition2","condition3","condition4","coordinates","correct","correct_Probe_response_C","correct_Probe_response_E","correct_Target_response_C","correct_Target_response_E","correct_response","count_1st_Move_Prac_loop_C","count_1st_Move_Prac_loop_E","count_1st_Move_seq_C","count_1st_Move_seq_E","count_1st_Observe_Prac_loop_C","count_1st_Observe_Prac_loop_E","count_1st_Observe_seq_C","count_1st_Observe_seq_E","count_3rd_Move_Prac_loop_C","count_3rd_Move_Prac_loop_E","count_3rd_Move_seq_C","count_3rd_Move_seq_E","count_3rd_Observe_Prac_loop_C","count_3rd_Observe_Prac_loop_E","count_3rd_Observe_seq_C","count_3rd_Observe_seq_E","count_Chinese","count_Condition_Selection_C","count_Condition_Selection_E","count_EXP01","count_End_C","count_End_E","count_English","count_First_Fixation_C","count_First_Fixation_E","count_Language_Selection","count_List01_loop_C1","count_List01_loop_C2","count_List01_loop_C3","count_List01_loop_C4","count_List01_loop_E1","count_List01_loop_E2","count_List01_loop_E3","count_List01_loop_E4","count_List02_loop_C1","count_List02_loop_C2","count_List02_loop_C3","count_List02_loop_C4","count_List02_loop_E1","count_List02_loop_E2","count_List02_loop_E3","count_List02_loop_E4","count_List03_loop_C1","count_List03_loop_C2","count_List03_loop_C3","count_List03_loop_C4","count_List03_loop_E1","count_List03_loop_E2","count_List03_loop_E3","count_List03_loop_E4","count_List04_loop_C1","count_List04_loop_C2","count_List04_loop_C3","count_List04_loop_C4","count_List04_loop_E1","count_List04_loop_E2","count_List04_loop_E3","count_List04_loop_E4","count_List_Selection_cond1_C","count_List_Selection_cond1_E","count_List_Selection_cond2_C","count_List_Selection_cond2_E","count_List_Selection_cond3_C","count_List_Selection_cond3_E","count_List_Selection_cond4_C","count_List_Selection_cond4_E","count_Prac_seq_C","count_Prac_seq_E","count_Probe_C","count_Probe_E","count_Probe_response_C","count_Probe_response_E","count_Second_Fixation_C","count_Second_Fixation_E","count_Start_C","count_Start_E","count_Target_C","count_Target_E","count_Target_response_C","count_Target_response_E","count_Target_response_correct_C","count_Target_response_correct_E","count_Target_response_noans_C","count_Target_response_noans_E","count_Target_response_wrong_C","count_Target_response_wrong_E","count_Trial_Break_C","count_Trial_Break_E","count_Trial_C","count_Trial_E","count_Trial_logger_C","count_Trial_logger_E","count_Welcome_C","count_Welcome_E","datetime","description","experiment_path","font_bold","font_family","font_italic","font_size","foreground","form_response","height","keyboard_backend","language1","language2","logfile","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_End_C","response_End_E","response_Probe_response_C","response_Probe_response_E","response_Start_C","response_Start_E","response_Target_response_C","response_Target_response_E","response_Trial_Break_C","response_Trial_Break_E","response_Welcome_C","response_Welcome_E","response_time","response_time_End_C","response_time_End_E","response_time_Probe_response_C","response_time_Probe_response_E","response_time_Start_C","response_time_Start_E","response_time_Target_response_C","response_time_Target_response_E","response_time_Trial_Break_C","response_time_Trial_Break_E","response_time_Welcome_C","response_time_Welcome_E","sampler_backend","size","start","subject_nr","subject_parity","time_1st_Move_Prac_loop_C","time_1st_Move_Prac_loop_E","time_1st_Move_seq_C","time_1st_Move_seq_E","time_1st_Observe_Prac_loop_C","time_1st_Observe_Prac_loop_E","time_1st_Observe_seq_C","time_1st_Observe_seq_E","time_3rd_Move_Prac_loop_C","time_3rd_Move_Prac_loop_E","time_3rd_Move_seq_C","time_3rd_Move_seq_E","time_3rd_Observe_Prac_loop_C","time_3rd_Observe_Prac_loop_E","time_3rd_Observe_seq_C","time_3rd_Observe_seq_E","time_Chinese","time_Condition_Selection_C","time_Condition_Selection_E","time_EXP01","time_End_C","time_End_E","time_English","time_First_Fixation_C","time_First_Fixation_E","time_Language_Selection","time_List01_loop_C1","time_List01_loop_C2","time_List01_loop_C3","time_List01_loop_C4","time_List01_loop_E1","time_List01_loop_E2","time_List01_loop_E3","time_List01_loop_E4","time_List02_loop_C1","time_List02_loop_C2","time_List02_loop_C3","time_List02_loop_C4","time_List02_loop_E1","time_List02_loop_E2","time_List02_loop_E3","time_List02_loop_E4","time_List03_loop_C1","time_List03_loop_C2","time_List03_loop_C3","time_List03_loop_C4","time_List03_loop_E1","time_List03_loop_E2","time_List03_loop_E3","time_List03_loop_E4","time_List04_loop_C1","time_List04_loop_C2","time_List04_loop_C3","time_List04_loop_C4","time_List04_loop_E1","time_List04_loop_E2","time_List04_loop_E3","time_List04_loop_E4","time_List_Selection_cond1_C","time_List_Selection_cond1_E","time_List_Selection_cond2_C","time_List_Selection_cond2_E","time_List_Selection_cond3_C","time_List_Selection_cond3_E","time_List_Selection_cond4_C","time_List_Selection_cond4_E","time_Prac_seq_C","time_Prac_seq_E","time_Probe_C","time_Probe_E","time_Probe_response_C","time_Probe_response_E","time_Second_Fixation_C","time_Second_Fixation_E","time_Start_C","time_Start_E","time_Target_C","time_Target_E","time_Target_response_C","time_Target_response_E","time_Target_response_correct_C","time_Target_response_correct_E","time_Target_response_noans_C","time_Target_response_noans_E","time_Target_response_wrong_C","time_Target_response_wrong_E","time_Trial_Break_C","time_Trial_Break_E","time_Trial_C","time_Trial_E","time_Trial_logger_C","time_Trial_logger_E","time_Welcome_C","time_Welcome_E","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"no","no","no","no","NA","NA","我看到沒人吃過的餅乾","STI/Prac-03.jpg","50","50","1962","1962","black","no","xpyriment","legacy","legacy","0","yes","no","no","no","uniform","1","0","NA","1","NA","z","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","0","NA","0","NA","0","0","0","NA","0","NA","0","NA","0","NA","0","NA","NA","NA","0","NA","0","NA","0","0","04/21/16 11:45:57","Matching Tasks","C:/Users/60941sch/EXPs/SIM2016","no","chinese-japanese-korean","no","18","white","第一觀","768","legacy","yes","no","C-C1-L1-011","xpyriment","Interactive Ising","3.0.5","0","z","NA","NA","space","NA","NA","NA","z","NA","NA","NA","space","NA","834","NA","NA","3090","NA","NA","NA","834","NA","NA","NA","1393","NA","legacy","NA","EXP01","0","even","NA","NA","NA","NA","28630","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","26238","26238","NA","5279","NA","NA","NA","29402","NA","5279","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","28630","NA","30435","NA","30435","NA","33550","NA","NA","NA","34082","NA","34083","NA","34948","NA","NA","NA","NA","NA","NA","NA","29393","NA","35448","NA","27236","NA","Simulation2016_EXP01","1","3924","2","yes","1024"
"no","no","no","no","NA","NA","我看到玻璃做的花瓶","STI/Prac-02.jpg","50","50","1405","1405","black","no","xpyriment","legacy","legacy","0","yes","no","no","no","uniform","1","0","NA","1","NA","/","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","NA","1","NA","1","NA","0","0","1","NA","1","NA","1","NA","1","NA","1","NA","NA","NA","1","NA","1","NA","0","0","04/21/16 11:45:57","Matching Tasks","C:/Users/60941sch/EXPs/SIM2016","no","chinese-japanese-korean","no","18","white","第一觀","768","legacy","yes","no","C-C1-L1-011","xpyriment","Interactive Ising","3.0.5","0","/","NA","NA","space","NA","NA","NA","/","NA","NA","NA","space","NA","658","NA","NA","1040","NA","NA","NA","658","NA","NA","NA","1393","NA","legacy","NA","EXP01","0","even","NA","NA","NA","NA","28630","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","26238","26238","NA","5279","NA","NA","NA","36348","NA","5279","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","28630","NA","37380","NA","37381","NA","38446","NA","NA","NA","38979","NA","38979","NA","39662","NA","NA","NA","NA","NA","NA","NA","36313","NA","40162","NA","27236","NA","Simulation2016_EXP01","2","5622","4","yes","1024"
"no","no","no","no","NA","NA","我看到要清洗的盤子","STI/Prac-04.jpg","50","50","1180","1180","black","no","xpyriment","legacy","legacy","0","yes","no","no","no","uniform","1","0","NA","1","NA","z","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","NA","2","NA","2","NA","0","0","2","NA","2","NA","2","NA","2","NA","2","NA","NA","NA","2","NA","2","NA","0","0","04/21/16 11:45:57","Matching Tasks","C:/Users/60941sch/EXPs/SIM2016","no","chinese-japanese-korean","no","18","white","第一觀","768","legacy","yes","no","C-C1-L1-011","xpyriment","Interactive Ising","3.0.5","0","z","NA","NA","space","NA","NA","NA","z","NA","NA","NA","space","NA","591","NA","NA","871","NA","NA","NA","591","NA","NA","NA","1393","NA","legacy","NA","EXP01","0","even","NA","NA","NA","NA","28630","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","26238","26238","NA","5279","NA","NA","NA","41062","NA","5279","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","28630","NA","42094","NA","42094","NA","42993","NA","NA","NA","43526","NA","43526","NA","44143","NA","NA","NA","NA","NA","NA","NA","41038","NA","44643","NA","27236","NA","Simulation2016_EXP01","3","7084","6","yes","1024"
"no","no","no","no","NA","NA","我看 到放滿東西的桌子","STI/Prac-01.jpg","50","50","1016","1016","black","no","xpyriment","legacy","legacy","0","yes","no","no","no","uniform","1","0","NA","1","NA","/","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","NA","3","NA","3","NA","0","0","3","NA","3","NA","3","NA","3","NA","3","NA","NA","NA","3","NA","3","NA","0","0","04/21/16 11:45:57","Matching Tasks","C:/Users/60941sch/EXPs/SIM2016","no","chinese-japanese-korean","no","18","white","第一觀","768","legacy","yes","no","C-C1-L1-011","xpyriment","Interactive Ising","3.0.5","0","/","NA","NA","space","NA","NA","NA","/","NA","NA","NA","space","NA","492","NA","NA","553","NA","NA","NA","492","NA","NA","NA","1393","NA","legacy","NA","EXP01","0","even","NA","NA","NA","NA","28630","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","26238","26238","NA","5279","NA","NA","NA","45492","NA","5279","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","28630","NA","46524","NA","46524","NA","47107","NA","NA","NA","47641","NA","47641","NA","48157","NA","NA","NA","NA","NA","NA","NA","45462","NA","48657","NA","27236","NA","Simulation2016_EXP01","4","8129","8","yes","1024"
"yes","no","no","no","D","P","我看見弟弟從口袋裡拿出一顆糖果","STI/solderingiron.jpg","50","50","967","967","black","no","xpyriment","legacy","legacy","0","yes","no","no","no","uniform","1","0","NA","1","NA","z","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","NA","4","NA","4","NA","0","0","4","NA","4","NA","4","NA","4","NA","4","NA","NA","NA","4","NA","4","NA","0","0","04/21/16 11:45:57","Matching Tasks","C:/Users/60941sch/EXPs/SIM2016","no","chinese-japanese-korean","no","18","white","列表1","768","legacy","yes","no","C-C1-L1-011","xpyriment","Interactive Ising","3.0.5","0","z","NA","NA","space","NA","space","NA","z","NA","NA","NA","space","NA","543","NA","NA","1004","NA","1070","NA","543","NA","NA","NA","1393","NA","legacy","D","EXP01","0","even","NA","NA","NA","NA","28630","NA","49878","NA","NA","NA","NA","NA","NA","NA","NA","NA","26238","26238","NA","5279","NA","NA","NA","52304","NA","5279","51418","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","49878","NA","NA","NA","NA","NA","NA","NA","28630","NA","53337","NA","53337","NA","54369","NA","48807","NA","54902","NA","54902","NA","55469","NA","NA","NA","NA","NA","NA","NA","52272","NA","55969","NA","27236","NA","Simulation2016_EXP01","5","9676","10","yes","1024"
"yes","no","no","no","D","P","我看見一把斷掉的長笛","STI/076-cartouche_cartridge.jpg","41.6666666667","41.6666666667","914","914","black","no","xpyriment","legacy","legacy","0","yes","no","no","no","uniform","0","0","NA","0","NA","z","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","NA","5","NA","5","NA","0","0","5","NA","5","NA","5","NA","5","NA","5","NA","NA","NA","5","NA","5","NA","0","0","04/21/16 11:45:57","Matching Tasks","C:/Users/60941sch/EXPs/SIM2016","no","chinese-japanese-korean","no","18","white","列表1","768","legacy","yes","no","C-C1-L1-011","xpyriment","Interactive Ising","3.0.5","0","/","NA","NA","space","NA","space","NA","/","NA","NA","NA","space","NA","879","NA","NA","422","NA","1070","NA","879","NA","NA","NA","1393","NA","legacy","D","EXP01","0","even","NA","NA","NA","NA","28630","NA","49878","NA","NA","NA","NA","NA","NA","NA","NA","NA","26238","26238","NA","5279","NA","NA","NA","56918","NA","5279","51418","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","49878","NA","NA","NA","NA","NA","NA","NA","28630","NA","57950","NA","57951","NA","58400","NA","48807","NA","58934","NA","58934","NA","55469","NA","NA","NA","59833","NA","NA","NA","56896","NA","60333","NA","27236","NA","Simulation2016_EXP01","5","10977","12","yes","1024"
"yes","no","no","no","N","R","我看見一輛停在路邊的推土機","STI/tractor_r.jpg","42.8571428571","42.8571428571","871","871","black","no","xpyriment","legacy","legacy","0","yes","no","no","no","uniform","1","0","NA","1","NA","/","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","NA","6","NA","6","NA","0","0","6","NA","6","NA","6","NA","6","NA","6","NA","NA","NA","6","NA","6","NA","0","0","04/21/16 11:45:57","Matching Tasks","C:/Users/60941sch/EXPs/SIM2016","no","chinese-japanese-korean","no","18","white","列表1","768","legacy","yes","no","C-C1-L1-011","xpyriment","Interactive Ising","3.0.5","0","/","NA","NA","space","NA","space","NA","/","NA","NA","NA","space","NA","539","NA","NA","684","NA","1070","NA","539","NA","NA","NA","1393","NA","legacy","L","EXP01","0","even","NA","NA","NA","NA","28630","NA","49878","NA","NA","NA","NA","NA","NA","NA","NA","NA","26238","26238","NA","5279","NA","NA","NA","61248","NA","5279","51418","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","49878","NA","NA","NA","NA","NA","NA","NA","28630","NA","62281","NA","62281","NA","62997","NA","48807","NA","63530","NA","63530","NA","64097","NA","NA","NA","59833","NA","NA","NA","61215","NA","64597","NA","27236","NA","Simulation2016_EXP01","6","12200","14","yes","1024"
"yes","no","no","no","D","P","我看見釣客手上拿著一隻蝦子 ","STI/061-calculatrice_calculator.jpg","43.75","43.75","808","808","black","no","xpyriment","legacy","legacy","0","yes","no","no","no","uniform","1","0","NA","1","NA","z","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","NA","7","NA","7","NA","0","0","7","NA","7","NA","7","NA","7","NA","7","NA","NA","NA","7","NA","7","NA","0","0","04/21/16 11:45:57","Matching Tasks","C:/Users/60941sch/EXPs/SIM2016","no","chinese-japanese-korean","no","18","white","列表1","768","legacy","yes","no","C-C1-L1-011","xpyriment","Interactive Ising","3.0.5","0","z","NA","NA","space","NA","space","NA","z","NA","NA","NA","space","NA","418","NA","NA","325","NA","1070","NA","418","NA","NA","NA","1393","NA","legacy","D","EXP01","0","even","NA","NA","NA","NA","28630","NA","49878","NA","NA","NA","NA","NA","NA","NA","NA","NA","26238","26238","NA","5279","NA","NA","NA","65479","NA","5279","51418","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","49878","NA","NA","NA","NA","NA","NA","NA","28630","NA","66512","NA","66512","NA","66861","NA","48807","NA","67395","NA","67395","NA","67845","NA","NA","NA","59833","NA","NA","NA","65460","NA","68345","NA","27236","NA","Simulation2016_EXP01","7","12943","16","yes","1024"
"yes","no","no","no","N","D","我看見正被人拿起來的菜夾","STI/tongs01b.jpg","44.4444444444","44.4444444444","798","798","black","no","xpyriment","legacy","legacy","0","yes","no","no","no","uniform","1","0","NA","1","NA","/","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","NA","8","NA","8","NA","0","0","8","NA","8","NA","8","NA","8","NA","8","NA","NA","NA","8","NA","8","NA","0","0","04/21/16 11:45:57","Matching Tasks","C:/Users/60941sch/EXPs/SIM2016","no","chinese-japanese-korean","no","18","white","列表1","768","legacy","yes","no","C-C1-L1-011","xpyriment","Interactive Ising","3.0.5","0","/","NA","NA","space","NA","space","NA","/","NA","NA","NA","space","NA","565","NA","NA","861","NA","1070","NA","565","NA","NA","NA","1393","NA","legacy","S","EXP01","0","even","NA","NA","NA","NA","28630","NA","49878","NA","NA","NA","NA","NA","NA","NA","NA","NA","26238","26238","NA","5279","NA","NA","NA","69344","NA","5279","51418","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","49878","NA","NA","NA","NA","NA","NA","NA","28630","NA","70376","NA","70376","NA","71259","NA","48807","NA","71792","NA","71792","NA","72392","NA","NA","NA","59833","NA","NA","NA","69312","NA","72892","NA","27236","NA","Simulation2016_EXP01","8","14369","18","yes","1024"
"yes","no","no","no","D","P","我看見一艘觸礁擱淺的郵輪","STI/locomotive.jpg","45","45","772","772","black","no","xpyriment","legacy","legacy","0","yes","no","no","no","uniform","1","0","NA","1","NA","z","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","NA","9","NA","9","NA","0","0","9","NA","9","NA","9","NA","9","NA","9","NA","NA","NA","9","NA","9","NA","0","0","04/21/16 11:45:57","Matching Tasks","C:/Users/60941sch/EXPs/SIM2016","no","chinese-japanese-korean","no","18","white","列表1","768","legacy","yes","no","C-C1-L1-011","xpyriment","Interactive Ising","3.0.5","0","z","NA","NA","space","NA","space","NA","z","NA","NA","NA","space","NA","777","NA","NA","299","NA","1070","NA","777","NA","NA","NA","1393","NA","legacy","D","EXP01","0","even","NA","NA","NA","NA","28630","NA","49878","NA","NA","NA","NA","NA","NA","NA","NA","NA","26238","26238","NA","5279","NA","NA","NA","73857","NA","5279","51418","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","49878","NA","NA","NA","NA","NA","NA","NA","28630","NA","74890","NA","74890","NA","75223","NA","48807","NA","75756","NA","75756","NA","76556","NA","NA","NA","59833","NA","NA","NA","73838","NA","77056","NA","27236","NA","Simulation2016_EXP01","9","15445","20","yes","1024"
