"Lang","List","ID","LN_RT","LY_RT","SN_RT","SY_RT","LN_ACC","LY_ACC","SN_ACC","SY_ACC"
"C","C_List01.csv","1",678.5,683.5,547,631.5,100,100,87.5,100
"D","D_List03.csv","1",505,547,526,500,87.5,93.75,100,75
"C","C_List04.csv","10",646,654.5,560.5,627,87.5,100,87.5,100
"D","D_List02.csv","10",756,660,590.5,626,93.75,100,100,100
"E","SP_List3","1075157",620.994995117188,567.4150390625,587.282470703125,613.002563476562,100,93.75,87.5,100
"E","SP_List3","1089293",691.307495117188,707.080078125,617.859985351562,605.907592773438,100,93.75,100,100
"C","C_List01.csv","11",750,762,662,815,93.75,93.75,93.75,87.5
"D","D_List03.csv","11",640.5,667,561,602,100,93.75,93.75,87.5
"E","SP_List3","1192455",872.10498046875,752.72998046875,694.467529296875,601.670043945312,93.75,93.75,75,87.5
"C","C_List01.csv","12",750,729.5,683,702,81.25,87.5,93.75,81.25
"D","D_List03.csv","12",619,633,510.5,466.5,93.75,100,100,87.5
"C","C_List02.csv","13",840,783.5,605.5,710.5,93.75,100,87.5,100
"D","D_List04.csv","13",836,792.5,668,675,87.5,100,93.75,93.75
"E","SP_List1","1396603",561.945068359375,503.18994140625,507,565.030029296875,62.5,81.25,87.5,81.25
"C","C_List03.csv","14",649,740,583,659.5,81.25,93.75,87.5,100
"D","D_List01.csv","14",587,569,600,590,93.75,93.75,100,100
"C","C_List04.csv","15",525,534,487,512,81.25,100,68.75,93.75
"D","D_List02.csv","15",832.5,818,740,743,100,93.75,75,100
"E","SP_List1","1514138",708.255126953125,764.364868164062,651.114990234375,675.180053710938,93.75,87.5,100,100
"E","SP_List2","1538360",757.240234375,697.834716796875,733.672729492188,664.125,93.75,93.75,100,100
"E","SP_List3","155821",1037.54260253906,1108.90490722656,1021.43505859375,1027.74243164062,87.5,87.5,93.75,87.5
"C","C_List04.csv","16",630,587,585.5,607,93.75,100,100,93.75
"D","D_List02.csv","16",773,834,732.5,685.5,93.75,100,100,100
"E","SP_List4","1662250",521.442504882812,561.54248046875,531.72998046875,516.74755859375,100,100,93.75,100
"C","C_List03.csv","17",778,752.5,747.5,699,81.25,100,100,93.75
"D","D_List02.csv","17",884,703.5,703,713.5,93.75,100,93.75,100
"E","SP_List4","178408",616.992553710938,734.68505859375,690.139892578125,582.869995117188,100,81.25,93.75,100
"C","C_List04.csv","18",590,614.5,548,505,100,87.5,100,100
"D","D_List03.csv","18",744,928.5,614,664,93.75,100,93.75,93.75
"C","C_List01.csv","19",725.5,663.5,667,659,100,87.5,93.75,81.25
"E","SP_List2","1912345",801,701.50244140625,775.99755859375,673.5,93.75,87.5,87.5,87.5
"E","SP_List2","1992668",687.385009765625,573.0849609375,588.840087890625,613.5,93.75,100,93.75,100
"C","C_List02.csv","2",683,954.5,808,781,81.25,62.5,81.25,93.75
"D","D_List04.csv","2",749,738,676,710,93.75,87.5,93.75,87.5
