"Lang","List","ID","LHN_RT","LHY_RT","LVN_RT","LVY_RT","SHN_RT","SHY_RT","SVN_RT","SVY_RT","LHN_ACC","LHY_ACC","LVN_ACC","LVY_ACC","SHN_ACC","SHY_ACC","SVN_ACC","SVY_ACC"
"C","C_List01.csv","1",671.5,683,688.5,692,769,597.5,538,643.5,100,100,100,100,87.5,100,87.5,100
"D","D_List03.csv","1",502.5,562.5,509.5,502,505.5,503.5,526.5,484,75,100,100,87.5,100,75,100,75
"C","C_List04.csv","10",650,676.5,639,654.5,569.5,554,556.5,704.5,87.5,100,87.5,100,75,100,100,100
"D","D_List02.csv","10",853,700.5,699,640.5,650,718,587,610,87.5,100,100,100,100,100,100,100
"E","SP_List3","1075157",581.247436523438,583.4150390625,650.79248046875,540.295043945312,564.52734375,646.322509765625,600.107543945312,528.022583007812,100,87.5,100,100,75,100,100,100
"E","SP_List3","1089293",644.112548828125,728.884887695312,715.26513671875,674.639892578125,632.807495117188,563.252563476562,610.680053710938,647.487548828125,100,100,100,87.5,100,100,100,100
"C","C_List01.csv","11",719,789,758,730,692.5,905,614,803,87.5,87.5,100,100,100,87.5,87.5,87.5
"D","D_List03.csv","11",606,679,656,667,552,616,572,519.5,100,100,100,87.5,87.5,100,100,75
"E","SP_List3","1192455",951.85009765625,662.14501953125,720.0224609375,894.324951171875,708.864990234375,602.405029296875,665.849853515625,600.93505859375,87.5,100,100,87.5,87.5,87.5,62.5,87.5
"C","C_List01.csv","12",835,710,690,825,708.5,739,631,641,87.5,87.5,75,87.5,100,75,87.5,87.5
"D","D_List03.csv","12",502.5,633,736,638,510,542,560.5,463,100,100,87.5,100,100,87.5,100,87.5
"C","C_List02.csv","13",858,826.5,774,754,668.5,710.5,601.5,698,87.5,100,100,100,75,100,100,100
"D","D_List04.csv","13",820,792.5,936,792.5,703.5,657,664,782,87.5,100,87.5,100,100,87.5,87.5,100
"E","SP_List1","1396603",603.239990234375,461.72998046875,548.445068359375,508.25244140625,496.1875,728.574951171875,547.682495117188,538.250122070312,50,87.5,75,75,75,62.5,100,100
"C","C_List03.csv","14",565,717,719.5,790,583,659.5,587.5,671,87.5,100,75,87.5,75,100,100,100
"D","D_List01.csv","14",635.5,547.5,587,657,572,642.5,613.5,560,100,100,87.5,87.5,100,100,100,100
"C","C_List04.csv","15",505.5,554.5,525,512.5,498,541,483.5,430,75,100,87.5,100,62.5,100,75,87.5
"D","D_List02.csv","15",739,818,917.5,783,770,743.5,627,743,100,87.5,100,100,87.5,100,62.5,100
"E","SP_List1","1514138",764.614990234375,725.81494140625,679.817504882812,844.607421875,655.4375,718.627563476562,651.114990234375,652.482421875,87.5,100,100,75,100,100,100,100
"E","SP_List2","1538360",987.23486328125,768.774658203125,753.24267578125,684.397338867188,750.39013671875,583.830078125,670.09765625,678.329956054688,87.5,87.5,100,100,100,100,100,100
"E","SP_List3","155821",1012.8701171875,1084.82006835938,1171.88012695312,1165.03002929688,1021.43505859375,1027.669921875,990.045043945312,1027.81494140625,87.5,87.5,87.5,87.5,87.5,87.5,100,87.5
"C","C_List04.csv","16",612,659,637,570,583,607,624.5,607,100,100,87.5,100,100,100,100,87.5
"D","D_List02.csv","16",819,837.5,718,833.5,679.5,685.5,752,696,87.5,100,100,100,100,100,100,100
"E","SP_List4","1662250",514.790161132812,569.9775390625,548.364868164062,505.380004882812,548.469970703125,567.385009765625,499.007446289062,516.695068359375,100,100,100,100,87.5,100,100,100
"C","C_List03.csv","17",741,693.5,794.5,834,762.5,629,732,700.5,62.5,100,100,100,100,87.5,100,100
"D","D_List02.csv","17",809,720,887,696,738.5,653.5,703,796,100,100,87.5,100,100,100,87.5,100
"E","SP_List4","178408",587.262573242188,785.0849609375,674.3125,675.344970703125,783.840087890625,648.994995117188,614.804931640625,529.352416992188,100,100,100,62.5,87.5,100,100,100
"C","C_List04.csv","18",549,658,637,535,548,488.5,547.5,521.5,100,87.5,100,87.5,100,100,100,100
"D","D_List03.csv","18",745,773.5,724.5,984.5,590,657,637,764.5,87.5,100,100,100,87.5,87.5,100,100
"C","C_List01.csv","19",711.5,795,734.5,564,722,670,659,658,100,87.5,100,87.5,100,75,87.5,87.5
"E","SP_List2","1912345",768.9951171875,701.0048828125,801.5,702,775.99755859375,618.0048828125,751.99755859375,679.9951171875,87.5,87.5,100,87.5,100,87.5,75,87.5
"E","SP_List2","1992668",697.56494140625,593.007568359375,622.322509765625,573.0849609375,587.137451171875,512.287353515625,588.840087890625,690.27490234375,87.5,100,100,100,100,100,87.5,100
"C","C_List02.csv","2",750,976,628,900,689,781,860,769,75,62.5,87.5,62.5,62.5,87.5,100,100
"D","D_List04.csv","2",724,780,773,662,675,710,725.5,651,100,87.5,87.5,87.5,87.5,75,100,100
"C","C_List01.csv","20",693,703,779,679.5,613.5,746.5,705,611,87.5,87.5,100,100,100,100,87.5,100
"E","SP_List4","2003617",552.762451171875,606.845092773438,630.507446289062,605.5224609375,545.892456054688,565.294921875,593.244873046875,582.552490234375,100,100,100,100,100,87.5,87.5,100
"E","SP_List1","2013973",787.803100585938,895.742553710938,761.383666992188,933.458740234375,700.817993164062,682.091186523438,698.894287109375,705.154541015625,100,100,100,87.5,100,100,87.5,100
"E","SP_List1","2041651",849.531005859375,721.7109375,689.5205078125,875.174072265625,616.362182617188,555.812622070312,609.575561523438,728.582275390625,75,87.5,87.5,87.5,100,100,100,87.5
"E","SP_List3","2041708",599.43505859375,670.962524414062,687.672485351562,547.194946289062,556.6474609375,566.059936523438,627.455078125,551.737548828125,100,100,100,100,100,100,100,100
"E","SP_List4","2046175",634.234985351562,700.264892578125,843.56005859375,716.760009765625,584.23486328125,573.959838867188,552.7548828125,593,75,87.5,100,87.5,87.5,100,87.5,87.5
"E","SP_List4","2075254",696,615,703.49755859375,585.0048828125,530.5,506.00244140625,689,561,87.5,87.5,75,87.5,75,100,87.5,87.5
"E","SP_List3","2081409",790.02978515625,709.005004882812,864.367431640625,607.559814453125,510.784912109375,587.860107421875,612.275024414062,603.127563476562,87.5,75,100,87.5,62.5,87.5,75,75
"C","C_List02.csv","21",526.5,552,581,615,566.5,547,532,522,75,100,87.5,100,75,87.5,87.5,100
"E","SP_List3","2138666",784.780029296875,848.654907226562,807.947631835938,927.432373046875,838.85009765625,780.125,776.442504882812,810.780029296875,87.5,100,75,100,87.5,100,100,100
"C","C_List03.csv","22",956,954,890,886.5,786,797,782,889,75,100,75,75,50,87.5,87.5,87.5
"E","SP_List4","2204568",722.225341796875,988.400390625,928.99169921875,753.75048828125,658.03466796875,812.872436523438,793.174072265625,809.869018554688,87.5,62.5,100,75,87.5,100,87.5,75
"C","C_List04.csv","23",885.5,803,736,660,689,679,597,671,100,100,87.5,62.5,75,87.5,100,100
"C","C_List04.csv","24",513.5,593,673,723,712,630,588.5,514,100,87.5,87.5,100,87.5,87.5,100,87.5
"E","SP_List4","2459702",595.517578125,641.52978515625,556.677612304688,580.132446289062,507.729858398438,603.989990234375,600.525146484375,522.069946289062,100,87.5,100,100,100,87.5,100,100
"C","C_List01.csv","25",675,677,633.5,594,589,728,531.5,530.5,87.5,100,75,100,75,100,100,100
"E","SP_List2","2591558",853.5,923,957,894,829.5,793,821.50244140625,848,100,87.5,87.5,100,100,87.5,100,87.5
"C","C_List02.csv","26",615,685.5,716,728,558,733,479.5,566.5,100,75,100,100,100,87.5,75,100
"E","SP_List1","2614478",856.574951171875,751.85498046875,807.612426757812,823.917602539062,732.429931640625,803.530029296875,732.449951171875,744.484985351562,87.5,87.5,100,100,100,100,100,100
"E","SP_List2","2638089",703.0400390625,550.494873046875,767.81494140625,519.940063476562,474.477416992188,529.164794921875,459.50244140625,490.030029296875,87.5,100,100,75,100,87.5,100,87.5
