"Lang","List","ID","Size","Orientation","Match","RT","ACC"
"C","C_List01.csv","1","L","H","N",671.5,100
"C","C_List01.csv","1","L","H","Y",683,100
"C","C_List01.csv","1","L","V","N",688.5,100
"C","C_List01.csv","1","L","V","Y",692,100
"C","C_List01.csv","1","S","H","N",769,87.5
"C","C_List01.csv","1","S","H","Y",597.5,100
"C","C_List01.csv","1","S","V","N",538,87.5
"C","C_List01.csv","1","S","V","Y",643.5,100
"C","C_List01.csv","11","L","H","N",719,87.5
"C","C_List01.csv","11","L","H","Y",789,87.5
"C","C_List01.csv","11","L","V","N",758,100
"C","C_List01.csv","11","L","V","Y",730,100
"C","C_List01.csv","11","S","H","N",692.5,100
"C","C_List01.csv","11","S","H","Y",905,87.5
"C","C_List01.csv","11","S","V","N",614,87.5
"C","C_List01.csv","11","S","V","Y",803,87.5
"C","C_List01.csv","12","L","H","N",835,87.5
"C","C_List01.csv","12","L","H","Y",710,87.5
"C","C_List01.csv","12","L","V","N",690,75
"C","C_List01.csv","12","L","V","Y",825,87.5
"C","C_List01.csv","12","S","H","N",708.5,100
"C","C_List01.csv","12","S","H","Y",739,75
"C","C_List01.csv","12","S","V","N",631,87.5
"C","C_List01.csv","12","S","V","Y",641,87.5
"C","C_List01.csv","19","L","H","N",711.5,100
"C","C_List01.csv","19","L","H","Y",795,87.5
"C","C_List01.csv","19","L","V","N",734.5,100
"C","C_List01.csv","19","L","V","Y",564,87.5
"C","C_List01.csv","19","S","H","N",722,100
"C","C_List01.csv","19","S","H","Y",670,75
"C","C_List01.csv","19","S","V","N",659,87.5
"C","C_List01.csv","19","S","V","Y",658,87.5
"C","C_List01.csv","20","L","H","N",693,87.5
"C","C_List01.csv","20","L","H","Y",703,87.5
"C","C_List01.csv","20","L","V","N",779,100
"C","C_List01.csv","20","L","V","Y",679.5,100
"C","C_List01.csv","20","S","H","N",613.5,100
"C","C_List01.csv","20","S","H","Y",746.5,100
"C","C_List01.csv","20","S","V","N",705,87.5
"C","C_List01.csv","20","S","V","Y",611,100
"C","C_List01.csv","25","L","H","N",675,87.5
"C","C_List01.csv","25","L","H","Y",677,100
"C","C_List01.csv","25","L","V","N",633.5,75
"C","C_List01.csv","25","L","V","Y",594,100
"C","C_List01.csv","25","S","H","N",589,75
"C","C_List01.csv","25","S","H","Y",728,100
"C","C_List01.csv","25","S","V","N",531.5,100
"C","C_List01.csv","25","S","V","Y",530.5,100
"C","C_List01.csv","30","L","H","N",624,100
"C","C_List01.csv","30","L","H","Y",633.5,75
"C","C_List01.csv","30","L","V","N",770,87.5
"C","C_List01.csv","30","L","V","Y",517,75
"C","C_List01.csv","30","S","H","N",824,62.5
"C","C_List01.csv","30","S","H","Y",670,87.5
"C","C_List01.csv","30","S","V","N",616,87.5
"C","C_List01.csv","30","S","V","Y",567,87.5
"C","C_List01.csv","35","L","H","N",944,100
"C","C_List01.csv","35","L","H","Y",833.5,75
"C","C_List01.csv","35","L","V","N",821.5,100
"C","C_List01.csv","35","L","V","Y",677.5,75
"C","C_List01.csv","35","S","H","N",893,75
"C","C_List01.csv","35","S","H","Y",805.5,100
"C","C_List01.csv","35","S","V","N",695,87.5
"C","C_List01.csv","35","S","V","Y",725,100
"C","C_List01.csv","36","L","H","N",623,100
"C","C_List01.csv","36","L","H","Y",645,100
"C","C_List01.csv","36","L","V","N",781,100
"C","C_List01.csv","36","L","V","Y",522,100
"C","C_List01.csv","36","S","H","N",613,100
"C","C_List01.csv","36","S","H","Y",490,87.5
"C","C_List01.csv","36","S","V","N",503,100
"C","C_List01.csv","36","S","V","Y",509,100
"C","C_List01.csv","41","L","H","N",705.5,100
"C","C_List01.csv","41","L","H","Y",674,100
"C","C_List01.csv","41","L","V","N",609,100
"C","C_List01.csv","41","L","V","Y",625,100
"C","C_List01.csv","41","S","H","N",640,100
"C","C_List01.csv","41","S","H","Y",656,100
"C","C_List01.csv","41","S","V","N",583,87.5
"C","C_List01.csv","41","S","V","Y",624,87.5
"C","C_List01.csv","46","L","H","N",919.5,100
"C","C_List01.csv","46","L","H","Y",601,87.5
"C","C_List01.csv","46","L","V","N",724,100
"C","C_List01.csv","46","L","V","Y",746,87.5
"C","C_List01.csv","46","S","H","N",750,100
"C","C_List01.csv","46","S","H","Y",665,87.5
"C","C_List01.csv","46","S","V","N",941,87.5
"C","C_List01.csv","46","S","V","Y",590,75
"C","C_List01.csv","6","L","H","N",747.5,75
"C","C_List01.csv","6","L","H","Y",745,87.5
"C","C_List01.csv","6","L","V","N",764,100
"C","C_List01.csv","6","L","V","Y",790,100
"C","C_List01.csv","6","S","H","N",680,87.5
"C","C_List01.csv","6","S","H","Y",577,100
"C","C_List01.csv","6","S","V","N",610,75
"C","C_List01.csv","6","S","V","Y",570,87.5
"C","C_List02.csv","13","L","H","N",858,87.5
"C","C_List02.csv","13","L","H","Y",826.5,100
"C","C_List02.csv","13","L","V","N",774,100
"C","C_List02.csv","13","L","V","Y",754,100
"C","C_List02.csv","13","S","H","N",668.5,75
"C","C_List02.csv","13","S","H","Y",710.5,100
"C","C_List02.csv","13","S","V","N",601.5,100
"C","C_List02.csv","13","S","V","Y",698,100
"C","C_List02.csv","2","L","H","N",750,75
"C","C_List02.csv","2","L","H","Y",976,62.5
"C","C_List02.csv","2","L","V","N",628,87.5
"C","C_List02.csv","2","L","V","Y",900,62.5
"C","C_List02.csv","2","S","H","N",689,62.5
"C","C_List02.csv","2","S","H","Y",781,87.5
"C","C_List02.csv","2","S","V","N",860,100
"C","C_List02.csv","2","S","V","Y",769,100
"C","C_List02.csv","21","L","H","N",526.5,75
"C","C_List02.csv","21","L","H","Y",552,100
"C","C_List02.csv","21","L","V","N",581,87.5
"C","C_List02.csv","21","L","V","Y",615,100
"C","C_List02.csv","21","S","H","N",566.5,75
"C","C_List02.csv","21","S","H","Y",547,87.5
"C","C_List02.csv","21","S","V","N",532,87.5
"C","C_List02.csv","21","S","V","Y",522,100
"C","C_List02.csv","26","L","H","N",615,100
"C","C_List02.csv","26","L","H","Y",685.5,75
"C","C_List02.csv","26","L","V","N",716,100
"C","C_List02.csv","26","L","V","Y",728,100
"C","C_List02.csv","26","S","H","N",558,100
"C","C_List02.csv","26","S","H","Y",733,87.5
"C","C_List02.csv","26","S","V","N",479.5,75
"C","C_List02.csv","26","S","V","Y",566.5,100
"C","C_List02.csv","31","L","H","N",538,87.5
"C","C_List02.csv","31","L","H","Y",597.5,100
"C","C_List02.csv","31","L","V","N",557.5,100
"C","C_List02.csv","31","L","V","Y",677,100
"C","C_List02.csv","31","S","H","N",643.5,100
"C","C_List02.csv","31","S","H","Y",546.5,75
"C","C_List02.csv","31","S","V","N",522,100
"C","C_List02.csv","31","S","V","Y",577,87.5
"C","C_List02.csv","32","L","H","N",901,87.5
"C","C_List02.csv","32","L","H","Y",545,87.5
"C","C_List02.csv","32","L","V","N",659,100
"C","C_List02.csv","32","L","V","Y",674,87.5
"C","C_List02.csv","32","S","H","N",674,100
"C","C_List02.csv","32","S","H","Y",611,87.5
"C","C_List02.csv","32","S","V","N",600,100
"C","C_List02.csv","32","S","V","Y",725,87.5
"C","C_List02.csv","37","L","H","N",1196,87.5
"C","C_List02.csv","37","L","H","Y",871,87.5
