"Lang","Gender","Age","ID","List","Trial_Seq","Size","Orien","Match","Probe","Target","sentence_read_time","Target_response_time","correct","Comprehension_correct","datetime"
"C","F","20","49","C_List03.csv",0,"S","V","N","那支菊花掉在花店地上","STI/SMALL/daisy_r.jpg",3252,996,1,NA,"12/20/16 10:04:45"
"C","F","20","49","C_List03.csv",1,"F","F","F","那顆球就在桌球桌上","STI/Filler/faucet.jpg",2251,863,1,NA,"12/20/16 10:04:45"
"C","F","20","49","C_List03.csv",2,"F","F","F","那艘軍艦正駛向港口","STI/Filler/freighttruck.jpg",1140,861,1,NA,"12/20/16 10:04:45"
"C","F","20","49","C_List03.csv",3,"L","V","Y","獨木舟正從瀑布頂端落下","STI/LARGE/canoe_V.jpg",3115,1569,1,NA,"12/20/16 10:04:45"
"C","F","20","49","C_List03.csv",4,"F","F","F","那件帳篷架在空地上","STI/Filler/castle.jpg",2566,671,1,NA,"12/20/16 10:04:45"
"C","F","20","49","C_List03.csv",5,"F","F","F","蠟燭立在餐桌上","STI/Filler/041-bonbon_candy.jpg",1951,536,1,0,"12/20/16 10:04:45"
"C","F","20","49","C_List03.csv",6,"F","F","F","那間狗屋蓋在大門旁","STI/Filler/ironbarrel.jpg",2297,697,1,NA,"12/20/16 10:04:45"
"C","F","20","49","C_List03.csv",7,"F","F","F","那間雞舍在花園裡","STI/Filler/025-barre_bar.jpg",2019,690,1,NA,"12/20/16 10:04:45"
"C","F","20","49","C_List03.csv",8,"F","F","F","影印機在桌子旁邊","STI/Filler/cooler01.jpg",3950,619,1,NA,"12/20/16 10:04:45"
"C","F","20","49","C_List03.csv",9,"F","F","F","辦公椅放在辦公室裡","STI/Filler/microwave.jpg",2144,571,1,NA,"12/20/16 10:04:45"
"C","F","20","49","C_List03.csv",10,"F","F","F","玩具恐龍站立在桌子上","STI/Filler/usbkey.jpg",1476,619,1,1,"12/20/16 10:04:45"
"C","F","20","49","C_List03.csv",11,"L","H","N","這隻豬的屠體被掛起來","STI/LARGE/pig_H.jpg",2676,943,1,NA,"12/20/16 10:04:45"
"C","F","20","49","C_List03.csv",12,"S","H","N","那隻鞋靠在牆上","STI/SMALL/shoe.jpg",1966,568,0,NA,"12/20/16 10:04:45"
"C","F","20","49","C_List03.csv",13,"F","F","F","漢堡就在托盤裡","STI/Filler/earring01.jpg",2064,559,1,NA,"12/20/16 10:04:45"
"C","F","20","49","C_List03.csv",14,"F","F","F","飛鏢盤就掛在牆上","STI/Filler/mirror.jpg",1901,682,1,NA,"12/20/16 10:04:45"
"C","F","20","49","C_List03.csv",15,"F","F","F","那台計算器放在桌子上","STI/Filler/strap.jpg",1114,745,1,NA,"12/20/16 10:04:45"
"C","F","20","49","C_List03.csv",16,"L","H","Y","戰鬥機在雲層下飛行","STI/LARGE/jetfighter_H.jpg",2606,838,1,1,"12/20/16 10:04:45"
"C","F","20","49","C_List03.csv",17,"L","V","Y","那艘遊艇已沉入海中","STI/LARGE/boat_V.jpg",2056,851,0,NA,"12/20/16 10:04:45"
"C","F","20","49","C_List03.csv",18,"F","F","F","錄音帶放在錄音機裡","STI/Filler/166-klaxon_horn.jpg",5006,749,1,NA,"12/20/16 10:04:45"
"C","F","20","49","C_List03.csv",19,"S","H","N","那支螺絲起子正被使用","STI/SMALL/screwdriver04b.jpg",1244,511,1,1,"12/20/16 10:04:45"
"C","F","20","49","C_List03.csv",20,"F","F","F","小麥長在麥田裡","STI/Filler/089-chronometre_stop-watch.jpg",1422,688,1,NA,"12/20/16 10:04:45"
"C","F","20","49","C_List03.csv",21,"S","V","Y","那支保齡球瓶站在球道盡頭","STI/SMALL/248-quille_skittle_r.jpg",3225,664,1,1,"12/20/16 10:04:45"
"C","F","20","49","C_List03.csv",22,"L","V","N","那具窗框安裝在天花板","STI/LARGE/windowframe_V.jpg",3894,649,1,NA,"12/20/16 10:04:45"
"C","F","20","49","C_List03.csv",23,"L","H","N","砂石車正在傾倒砂石","STI/LARGE/dump-truck_H.JPG",2022,595,1,NA,"12/20/16 10:04:45"
"C","F","20","49","C_List03.csv",24,"S","H","N","保特瓶就放在冰箱裡","STI/SMALL/waterbottle01b.jpg",913,712,1,1,"12/20/16 10:04:45"
"C","F","20","49","C_List03.csv",25,"F","F","F","電腦顯示器放在書桌上","STI/Filler/fryingpan02a.jpg",1956,553,1,NA,"12/20/16 10:04:45"
"C","F","20","49","C_List03.csv",26,"S","H","N","剃刀放在杯子裡","STI/SMALL/razor01.jpg",1789,515,1,NA,"12/20/16 10:04:45"
"C","F","20","49","C_List03.csv",27,"S","V","Y","樹枝被插進土裡","STI/SMALL/branch02_r.jpg",949,605,1,NA,"12/20/16 10:04:45"
"C","F","20","49","C_List03.csv",28,"S","V","N","眼藥膏被收在抽屜裡","STI/SMALL/gluetube_r.jpg",1209,732,1,NA,"12/20/16 10:04:45"
"C","F","20","49","C_List03.csv",29,"F","F","F","乒乓球桌就在房間裡","STI/Filler/020-baignoire_bathtub.jpg",1233,670,1,1,"12/20/16 10:04:45"
"C","F","20","49","C_List03.csv",30,"F","F","F","撲克牌在魔術師手中","STI/Filler/weight01.jpg",978,1240,1,NA,"12/20/16 10:04:45"
