"Lang","List","ID","Size","Orientation","Match","RT","ACC"
"Egnlish","SP_List4","779337","L","H","N",698.177490234375,100
"Egnlish","SP_List4","779337","L","H","Y",806.125122070312,100
"Egnlish","SP_List4","779337","L","V","N",758.012451171875,100
"Egnlish","SP_List4","779337","L","V","Y",830.525146484375,87.5
"Egnlish","SP_List4","779337","S","H","N",640.220092773438,100
"Egnlish","SP_List4","779337","S","H","Y",691.537475585938,100
"Egnlish","SP_List4","779337","S","V","N",754.9775390625,100
"Egnlish","SP_List4","779337","S","V","Y",620.775146484375,87.5
"englis","SP_List2","5282778","L","H","N",794,87.5
"englis","SP_List2","5282778","L","H","Y",722.5,75
"englis","SP_List2","5282778","L","V","N",679,62.5
"englis","SP_List2","5282778","L","V","Y",744.99755859375,100
"englis","SP_List2","5282778","S","H","N",1042,62.5
"englis","SP_List2","5282778","S","H","Y",766.50244140625,100
"englis","SP_List2","5282778","S","V","N",810.9951171875,75
"englis","SP_List2","5282778","S","V","Y",739.00244140625,100
"english","SP_List1","1514138","L","H","N",764.614990234375,87.5
"english","SP_List1","1514138","L","H","Y",725.81494140625,100
"english","SP_List1","1514138","L","V","N",679.817504882812,100
"english","SP_List1","1514138","L","V","Y",844.607421875,75
"english","SP_List1","1514138","S","H","N",655.4375,100
"english","SP_List1","1514138","S","H","Y",718.627563476562,100
"english","SP_List1","1514138","S","V","N",651.114990234375,100
"english","SP_List1","1514138","S","V","Y",652.482421875,100
"English","SP_List1","2013973","L","H","N",787.803100585938,100
"English","SP_List1","2013973","L","H","Y",895.742553710938,100
"English","SP_List1","2013973","L","V","N",761.383666992188,100
"English","SP_List1","2013973","L","V","Y",933.458740234375,87.5
"English","SP_List1","2013973","S","H","N",700.817993164062,100
"English","SP_List1","2013973","S","H","Y",682.091186523438,100
"English","SP_List1","2013973","S","V","N",698.894287109375,87.5
"English","SP_List1","2013973","S","V","Y",705.154541015625,100
"English","SP_List1","2041651","L","H","N",849.531005859375,75
"English","SP_List1","2041651","L","H","Y",721.7109375,87.5
"English","SP_List1","2041651","L","V","N",689.5205078125,87.5
"English","SP_List1","2041651","L","V","Y",875.174072265625,87.5
"English","SP_List1","2041651","S","H","N",616.362182617188,100
"English","SP_List1","2041651","S","H","Y",555.812622070312,100
"English","SP_List1","2041651","S","V","N",609.575561523438,100
"English","SP_List1","2041651","S","V","Y",728.582275390625,87.5
"english","SP_List1","2614478","L","H","N",856.574951171875,87.5
"english","SP_List1","2614478","L","H","Y",751.85498046875,87.5
"english","SP_List1","2614478","L","V","N",807.612426757812,100
"english","SP_List1","2614478","L","V","Y",823.917602539062,100
"english","SP_List1","2614478","S","H","N",732.429931640625,100
"english","SP_List1","2614478","S","H","Y",803.530029296875,100
"english","SP_List1","2614478","S","V","N",732.449951171875,100
"english","SP_List1","2614478","S","V","Y",744.484985351562,100
"english","SP_List1","3051308","L","H","N",883.347534179688,100
"english","SP_List1","3051308","L","H","Y",544.519897460938,100
"english","SP_List1","3051308","L","V","N",604.530029296875,100
"english","SP_List1","3051308","L","V","Y",828.970092773438,100
"english","SP_List1","3051308","S","H","N",702.339965820312,100
"english","SP_List1","3051308","S","H","Y",632.474975585938,100
"english","SP_List1","3051308","S","V","N",939.610107421875,100
"english","SP_List1","3051308","S","V","Y",649.242431640625,100
"English","SP_List1","3066829","L","H","N",582.282470703125,100
"English","SP_List1","3066829","L","H","Y",604.5673828125,100
"English","SP_List1","3066829","L","V","N",696.130004882812,75
"English","SP_List1","3066829","L","V","Y",579.324951171875,100
"English","SP_List1","3066829","S","H","N",576.942504882812,100
"English","SP_List1","3066829","S","H","Y",609.695068359375,87.5
"English","SP_List1","3066829","S","V","N",561.300048828125,100
"English","SP_List1","3066829","S","V","Y",519.987426757812,100
"English","SP_List1","3477624","L","H","N",652.954956054688,100
"English","SP_List1","3477624","L","H","Y",613.750122070312,100
"English","SP_List1","3477624","L","V","N",693.009887695312,100
"English","SP_List1","3477624","L","V","Y",723.757446289062,100
"English","SP_List1","3477624","S","H","N",572.130004882812,100
"English","SP_List1","3477624","S","H","Y",649.472534179688,100
"English","SP_List1","3477624","S","V","N",543.33251953125,100
"English","SP_List1","3477624","S","V","Y",580.950073242188,100
"english","SP_List1","362184","L","H","N",849.489990234375,87.5
