"Lang","Gender","Age","ID","List","Trial_Seq","Size","Orien","Match","Item_index","sentence_read_time","Target_response_time","correct","Comprehension_correct","datetime"
"english","Female","53","155821","SP_List3","21","L","V","N","1","1343.610107421875","1290.530029296875",0,NA,"2016-12-07 14:54:50"
"english","Female","53","155821","SP_List3","99","L","V","N","2","1115.460205078125","1178.43994140625",1,NA,"2016-12-07 14:54:50"
"english","Female","53","155821","SP_List3","50","L","V","N","3","1766.440185546875","1015.010009765625",1,NA,"2016-12-07 14:54:50"
"english","Female","53","155821","SP_List3","80","L","V","N","4","779.14990234375","1389.18994140625",1,NA,"2016-12-07 14:54:50"
"english","Female","53","155821","SP_List3","29","L","V","N","5","1497.449951171875","1171.880126953125",1,NA,"2016-12-07 14:54:50"
"english","Female","53","155821","SP_List3","71","L","V","N","6","4454.425048828125","1291.60498046875",1,NA,"2016-12-07 14:54:50"
"english","Female","53","155821","SP_List3","36","L","V","N","7","1979.050048828125","1046.5400390625",1,NA,"2016-12-07 14:54:50"
"english","Female","53","155821","SP_List3","81","L","V","N","8","1171.0048828125","885.6201171875",1,NA,"2016-12-07 14:54:50"
"english","Female","53","155821","SP_List3","98","L","H","Y","9","931.52978515625","1107.804931640625",1,NA,"2016-12-07 14:54:50"
"english","Female","53","155821","SP_List3","101","L","H","Y","10","1043.315185546875","1084.820068359375",1,NA,"2016-12-07 14:54:50"
"english","Female","53","155821","SP_List3","125","L","H","Y","11","759.900146484375","1063.60498046875",1,NA,"2016-12-07 14:54:50"
"english","Female","53","155821","SP_List3","56","L","H","Y","12","966.255126953125","1324.625",1,NA,"2016-12-07 14:54:50"
"english","Female","53","155821","SP_List3","79","L","H","Y","13","1645.330078125","1112.074951171875",1,NA,"2016-12-07 14:54:50"
"english","Female","53","155821","SP_List3","66","L","H","Y","14","1667.400146484375","939.284912109375",1,NA,"2016-12-07 14:54:50"
"english","Female","53","155821","SP_List3","34","L","H","Y","15","1175.190185546875","1271.385009765625",0,NA,"2016-12-07 14:54:50"
"english","Female","53","155821","SP_List3","48","L","H","Y","16","2230.64501953125","1079.889892578125",1,NA,"2016-12-07 14:54:50"
"english","Female","53","155821","SP_List3","64","L","H","N","17","1027.044921875","1012.8701171875",1,NA,"2016-12-07 14:54:50"
"english","Female","53","155821","SP_List3","52","L","H","N","18","2225.425048828125","827.275146484375",1,NA,"2016-12-07 14:54:50"
"english","Female","53","155821","SP_List3","86","L","H","N","19","1053.809814453125","929.969970703125",1,NA,"2016-12-07 14:54:50"
"english","Female","53","155821","SP_List3","114","L","H","N","20","770.625","1029.630126953125",1,NA,"2016-12-07 14:54:50"
"english","Female","53","155821","SP_List3","49","L","H","N","21","2546.625","1062.72998046875",1,NA,"2016-12-07 14:54:50"
"english","Female","53","155821","SP_List3","47","L","H","N","22","1524.0400390625","1008.77001953125",0,NA,"2016-12-07 14:54:50"
"english","Female","53","155821","SP_List3","25","L","H","N","23","2909.489990234375","1045.455078125",1,NA,"2016-12-07 14:54:50"
"english","Female","53","155821","SP_List3","31","L","H","N","24","3572.704833984375","943.340087890625",1,NA,"2016-12-07 14:54:50"
"english","Female","53","155821","SP_List3","6","L","V","Y","25","2501.4248046875","1280.474853515625",1,NA,"2016-12-07 14:54:50"
"english","Female","53","155821","SP_List3","90","L","V","Y","26","1449.544921875","1265.10009765625",1,NA,"2016-12-07 14:54:50"
"english","Female","53","155821","SP_List3","41","L","V","Y","27","3027.914794921875","1110.0048828125",1,NA,"2016-12-07 14:54:50"
"english","Female","53","155821","SP_List3","28","L","V","Y","28","1597.14990234375","1072.190185546875",1,NA,"2016-12-07 14:54:50"
"english","Female","53","155821","SP_List3","112","L","V","Y","29","1416.22998046875","1165.030029296875",1,NA,"2016-12-07 14:54:50"
"english","Female","53","155821","SP_List3","87","L","V","Y","30","2273.644775390625","1444.48486328125",0,NA,"2016-12-07 14:54:50"
"english","Female","53","155821","SP_List3","2","L","V","Y","31","2308.384765625","1536.715087890625",1,NA,"2016-12-07 14:54:50"
"english","Female","53","155821","SP_List3","42","L","V","Y","32","1472.324951171875","942.31982421875",1,NA,"2016-12-07 14:54:50"
"english","Female","53","155821","SP_List3","39","S","V","N","33","3523.2451171875","807.955078125",1,NA,"2016-12-07 14:54:50"
"english","Female","53","155821","SP_List3","12","S","V","N","34","1021.704833984375","949.614990234375",1,NA,"2016-12-07 14:54:50"
"english","Female","53","155821","SP_List3","93","S","V","N","35","1034.02001953125","1072.46484375",1,NA,"2016-12-07 14:54:50"
"english","Female","53","155821","SP_List3","108","S","V","N","36","971.56494140625","1258.364990234375",1,NA,"2016-12-07 14:54:50"
"english","Female","53","155821","SP_List3","96","S","V","N","37","1245.514892578125","1030.47509765625",1,NA,"2016-12-07 14:54:50"
"english","Female","53","155821","SP_List3","73","S","V","N","38","1137.72509765625","1241.425048828125",1,NA,"2016-12-07 14:54:50"
"english","Female","53","155821","SP_List3","58","S","V","N","39","1274.02978515625","926.679931640625",1,NA,"2016-12-07 14:54:50"
"english","Female","53","155821","SP_List3","83","S","V","N","40","2542.574951171875","946.40478515625",1,NA,"2016-12-07 14:54:50"
"english","Female","53","155821","SP_List3","95","S","H","Y","41","1326.89990234375","1306.5751953125",1,NA,"2016-12-07 14:54:50"
"english","Female","53","155821","SP_List3","113","S","H","Y","42","1228.205078125","1071.119873046875",1,NA,"2016-12-07 14:54:50"
"english","Female","53","155821","SP_List3","40","S","H","Y","43","2271.9150390625","953.419921875",1,NA,"2016-12-07 14:54:50"
"english","Female","53","155821","SP_List3","68","S","H","Y","44","1062.52001953125","1027.669921875",1,NA,"2016-12-07 14:54:50"
"english","Female","53","155821","SP_List3","4","S","H","Y","45","2988.72998046875","1861.085205078125",1,NA,"2016-12-07 14:54:50"
"english","Female","53","155821","SP_List3","45","S","H","Y","46","1309.830078125","901.465087890625",1,NA,"2016-12-07 14:54:50"
"english","Female","53","155821","SP_List3","38","S","H","Y","47","1433.445068359375","1154.679931640625",0,NA,"2016-12-07 14:54:50"
