"","ID","Size","Orientation","Match","RT","ACC"
"1","subj001","L","H","N",519.849975585938,100
"2","subj001","L","H","Y",632.335205078125,84.6153846153846
"3","subj001","L","V","N",824.985107421875,100
"4","subj001","L","V","Y",535.929931640625,88.8888888888889
"5","subj001","S","H","N",487.739990234375,77.7777777777778
"6","subj001","S","H","Y",572.192504882812,100
"7","subj001","S","V","N",643.73486328125,83.3333333333333
"8","subj001","S","V","Y",524.22998046875,90.9090909090909
"9","subj002","L","H","N",555.897583007812,100
"10","subj002","L","H","Y",574.294921875,90
"11","subj002","L","V","N",585.4150390625,71.4285714285714
"12","subj002","L","V","Y",581.27001953125,100
"13","subj002","S","H","N",592,77.7777777777778
"14","subj002","S","H","Y",641.890014648438,100
"15","subj002","S","V","N",633.1875,100
"16","subj002","S","V","Y",655.9951171875,71.4285714285714
"17","subj003","L","H","N",665.184936523438,100
"18","subj003","L","H","Y",601.91259765625,66.6666666666667
"19","subj003","L","V","N",617.49755859375,100
"20","subj003","L","V","Y",626.56494140625,90
"21","subj003","S","H","N",602.654907226562,90.9090909090909
"22","subj003","S","H","Y",584.672485351562,85.7142857142857
"23","subj003","S","V","N",631.7451171875,85.7142857142857
"24","subj003","S","V","Y",387.68017578125,100
"25","subj004","L","H","N",631.865234375,90
"26","subj004","L","H","Y",678.6298828125,80
"27","subj004","L","V","N",743.835083007812,85.7142857142857
"28","subj004","L","V","Y",650.922485351562,100
"29","subj004","S","H","N",498.639892578125,100
"30","subj004","S","H","Y",602.16015625,100
"31","subj004","S","V","N",560.77001953125,62.5
"32","subj004","S","V","Y",477.397583007812,100
"33","subj005","L","H","N",614.12255859375,100
"34","subj005","L","H","Y",571.37744140625,100
"35","subj005","L","V","N",630.0400390625,100
"36","subj005","L","V","Y",611.059814453125,77.7777777777778
"37","subj005","S","H","N",471.3701171875,100
"38","subj005","S","H","Y",875.18505859375,100
"39","subj005","S","V","N",553.570068359375,100
"40","subj005","S","V","Y",533.339965820312,75
"41","subj006","L","H","N",677.375,100
"42","subj006","L","H","Y",547.550048828125,85.7142857142857
"43","subj006","L","V","N",692.73486328125,75
"44","subj006","L","V","Y",650.760131835938,100
"45","subj006","S","H","N",519.242553710938,66.6666666666667
"46","subj006","S","H","Y",714,77.7777777777778
"47","subj006","S","V","N",523.3251953125,75
"48","subj006","S","V","Y",585.117553710938,85.7142857142857
"49","subj007","L","H","N",674.9951171875,100
"50","subj007","L","H","Y",617.835083007812,100
"51","subj007","L","V","N",544.282592773438,80
"52","subj007","L","V","Y",547.492431640625,80
"53","subj007","S","H","N",571.437622070312,88.8888888888889
"54","subj007","S","H","Y",576.31005859375,87.5
"55","subj007","S","V","N",626.08984375,77.7777777777778
"56","subj007","S","V","Y",617.619995117188,100
"57","subj008","L","H","N",629.759765625,100
"58","subj008","L","H","Y",725.204833984375,87.5
"59","subj008","L","V","N",685.119873046875,100
"60","subj008","L","V","Y",629.722534179688,66.6666666666667
"61","subj008","S","H","N",508.592407226562,100
