"List","Match","Orien","Probe","Size","Target","acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_Probe_Prac_response","correct_Probe_response","correct_Start_D","correct_Start_response_C","correct_Target_response","correct_Target_response_Prac","correct_Welcome_D","correct_Welcome_response_C","correct_count","correct_response","count_Chinese","count_Dutch","count_EXP02","count_End_C","count_End_D","count_End_E","count_English","count_Exp_loop_C","count_Exp_loop_D","count_Exp_loop_E","count_Exp_seq_C","count_Exp_seq_D","count_Exp_seq_E","count_First_Fixation","count_First_Fixation_Prac","count_Language_Selection","count_List_Select_C","count_List_Select_D","count_List_Select_E","count_Prac_C","count_Prac_Count","count_Prac_D","count_Prac_E","count_Prac_Reset_C","count_Prac_Reset_D","count_Prac_Reset_E","count_Prac_Trial","count_Prac_loop_C","count_Prac_loop_D","count_Prac_loop_E","count_Prac_seq_C","count_Prac_seq_D","count_Prac_seq_E","count_Prac_setup_C","count_Prac_setup_D","count_Prac_setup_E","count_Probe","count_Probe_Prac","count_Probe_Prac_response","count_Probe_response","count_Second_Fixation","count_Second_Fixation_Prac","count_Start_C","count_Start_D","count_Start_E","count_Start_response_C","count_Target","count_Target_Prac","count_Target_response","count_Target_response_Prac","count_Target_response_correct","count_Target_response_correct_Prac","count_Target_response_noans","count_Target_response_noans_Prac","count_Target_response_wrong","count_Target_response_wrong_Prac","count_Trial","count_Trial_Break","count_Trial_logger","count_Welcome_C","count_Welcome_D","count_Welcome_E","count_Welcome_response_C","count_reset_random","datetime","description","disable_garbage_collection","empty_column","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","form_response","fullscreen","height","keyboard_backend","language1","language2","language3","live_row","live_row_Exp_loop_D","live_row_Prac_D","live_row_Prac_loop_D","logfile","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","reset_loop","response","response_End_C","response_End_D","response_End_E","response_Probe_Prac_response","response_Probe_response","response_Start_D","response_Start_E","response_Start_response_C","response_Target_response","response_Target_response_Prac","response_Trial_Break","response_Welcome_D","response_Welcome_E","response_Welcome_response_C","response_time","response_time_End_C","response_time_End_D","response_time_End_E","response_time_Probe_Prac_response","response_time_Probe_response","response_time_Start_D","response_time_Start_E","response_time_Start_response_C","response_time_Target_response","response_time_Target_response_Prac","response_time_Trial_Break","response_time_Welcome_D","response_time_Welcome_E","response_time_Welcome_response_C","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","time_Chinese","time_Dutch","time_EXP02","time_End_C","time_End_D","time_End_E","time_English","time_Exp_loop_C","time_Exp_loop_D","time_Exp_loop_E","time_Exp_seq_C","time_Exp_seq_D","time_Exp_seq_E","time_First_Fixation","time_First_Fixation_Prac","time_Language_Selection","time_List_Select_C","time_List_Select_D","time_List_Select_E","time_Prac_C","time_Prac_Count","time_Prac_D","time_Prac_E","time_Prac_Reset_C","time_Prac_Reset_D","time_Prac_Reset_E","time_Prac_Trial","time_Prac_loop_C","time_Prac_loop_D","time_Prac_loop_E","time_Prac_seq_C","time_Prac_seq_D","time_Prac_seq_E","time_Prac_setup_C","time_Prac_setup_D","time_Prac_setup_E","time_Probe","time_Probe_Prac","time_Probe_Prac_response","time_Probe_response","time_Second_Fixation","time_Second_Fixation_Prac","time_Start_C","time_Start_D","time_Start_E","time_Start_response_C","time_Target","time_Target_Prac","time_Target_response","time_Target_response_Prac","time_Target_response_correct","time_Target_response_correct_Prac","time_Target_response_noans","time_Target_response_noans_Prac","time_Target_response_wrong","time_Target_response_wrong_Prac","time_Trial","time_Trial_Break","time_Trial_logger","time_Welcome_C","time_Welcome_D","time_Welcome_E","time_Welcome_response_C","time_reset_random","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"D_List01.csv","F","F","De bal lag op de biljarttafel","F","STI_EXP02/Filler/faucet.jpg","39.2857142857","39.2857142857","1791.67857143","1791.67857143","black","yes","xpyriment","legacy","legacy","0","uniform","1","0","0","0","NA","1","1","undefined","NA","6","f","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12","0","0","0","0","0","12","0","0","NA","3","NA","12","NA","3","NA","NA","3","NA","0","0","0","0","12","12","0","0","12","0","0","0","0","0","12","0","12","0","12","0","12","0","12","0","NA","0","0","0","0","0","2","11/02/16 10:06:20","Matching Tasks","yes","","Simulation2016_EXP02V2.1.0.osexp","D:\Users\ebluser\Desktop\csc","no","chinese-japanese-korean","no","18","no","white","no","Dutch","yes","768","legacy","no","yes","no","0","0","4","5","NL-F-33-01.csv","xpyriment","Jazzy James","3.1.3","0","0","f","NA","NA","NA","space","space","space","NA","NA","f","j","NA","space","NA","NA","646","NA","NA","NA","1108","1962","4767","NA","NA","646","878","NA","96873","NA","NA","2","legacy","1024","2","48000","-16","EXP02","1","odd","NA","5583","4020","NA","NA","NA","NA","NA","189046","NA","NA","189045","NA","189533","180175","4020","NA","189045","NA","NA","184211","102471","NA","NA","157370","NA","180169","NA","157370","NA","NA","157369","NA","NA","102471","NA","190551","181193","181193","190551","192519","182310","NA","184278","NA","NA","193036","182827","193036","182827","193703","183711","NA","122812","NA","156806","189529","NA","194203","NA","5598","NA","NA","189045","Simulation2016_EXP02","11","50167","28","yes","1024"
"D_List01.csv","N","V","Het varkenskarkas lag op de tafel","L","STI_EXP02/LARGE/pig_V.jpg","40","40","1784.16666667","1784.16666667","black","yes","xpyriment","legacy","legacy","0","uniform","1","0","0","0","NA","1","1","undefined","NA","6","j","0","0","0","0","0","0","0","0","0","0","0","0","0","1","12","0","0","0","0","0","12","0","0","NA","3","NA","12","NA","3","NA","NA","3","NA","0","0","0","1","12","12","1","1","12","0","0","0","0","1","12","1","12","1","12","1","12","1","12","1","NA","1","0","0","0","0","2","11/02/16 10:06:20","Matching Tasks","yes","","Simulation2016_EXP02V2.1.0.osexp","D:\Users\ebluser\Desktop\csc","no","chinese-japanese-korean","no","18","no","white","no","Dutch","yes","768","legacy","no","yes","no","1","1","4","5","NL-F-33-01.csv","xpyriment","Jazzy James","3.1.3","0","0","j","NA","NA","NA","space","space","space","NA","NA","j","j","NA","space","NA","NA","1528","NA","NA","NA","1108","1830","4767","NA","NA","1528","878","NA","96873","NA","NA","2","legacy","1024","2","48000","-16","EXP02","1","odd","NA","5583","4020","NA","NA","NA","NA","NA","189046","NA","NA","189045","NA","194887","180175","4020","NA","189045","NA","NA","184211","102471","NA","NA","157370","NA","180169","NA","157370","NA","NA","157369","NA","NA","102471","NA","195905","181193","181193","195905","197756","182310","NA","184278","NA","NA","198273","182827","198273","182827","199808","183711","200325","122812","NA","156806","194880","NA","200825","NA","5598","NA","NA","189045","Simulation2016_EXP02","12","53525","30","yes","1024"
"D_List01.csv","N","V","De raket werd vervoerd naar het lanceerplatform","L","STI_EXP02/LARGE/rocket_V.jpg","40.625","40.625","1789","1789","black","yes","xpyriment","legacy","legacy","0","uniform","1","0","0","0","NA","1","1","undefined","NA","6","j","0","0","0","0","0","0","0","0","0","0","0","0","0","2","12","0","0","0","0","0","12","0","0","NA","3","NA","12","NA","3","NA","NA","3","NA","0","0","0","2","12","12","2","2","12","0","0","0","0","2","12","2","12","2","12","2","12","2","12","2","NA","2","0","0","0","0","2","11/02/16 10:06:20","Matching Tasks","yes","","Simulation2016_EXP02V2.1.0.osexp","D:\Users\ebluser\Desktop\csc","no","chinese-japanese-korean","no","18","no","white","no","Dutch","yes","768","legacy","no","yes","no","2","2","4","5","NL-F-33-01.csv","xpyriment","Jazzy James","3.1.3","0","0","j","NA","NA","NA","space","space","space","NA","NA","j","j","NA","space","NA","NA","959","NA","NA","NA","1108","2764","4767","NA","NA","959","878","NA","96873","NA","NA","2","legacy","1024","2","48000","-16","EXP02","1","odd","NA","5583","4020","NA","NA","NA","NA","NA","189046","NA","NA","189045","NA","201359","180175","4020","NA","189045","NA","NA","184211","102471","NA","NA","157370","NA","180169","NA","157370","NA","NA","157369","NA","NA","102471","NA","202377","181193","181193","202377","205146","182310","NA","184278","NA","NA","205663","182827","205663","182827","206631","183711","200325","122812","NA","156806","201341","NA","207131","NA","5598","NA","NA","189045","Simulation2016_EXP02","13","57248","32","yes","1024"
"D_List01.csv","F","F","De loods stond naast het vliegtuig.","F","STI_EXP02/Filler/cow.jpg","41.1764705882","41.1764705882","1762.29411765","1762.29411765","black","yes","xpyriment","legacy","legacy","0","uniform","1","0","0","0","NA","1","1","undefined","NA","6","f","0","0","0","0","0","0","0","0","0","0","0","0","0","3","12","0","0","0","0","0","12","0","0","NA","3","NA","12","NA","3","NA","NA","3","NA","0","0","0","3","12","12","3","3","12","0","0","0","0","3","12","3","12","3","12","3","12","3","12","3","NA","3","0","0","0","0","2","11/02/16 10:06:20","Matching Tasks","yes","","Simulation2016_EXP02V2.1.0.osexp","D:\Users\ebluser\Desktop\csc","no","chinese-japanese-korean","no","18","no","white","no","Dutch","yes","768","legacy","no","yes","no","3","3","4","5","NL-F-33-01.csv","xpyriment","Jazzy James","3.1.3","0","0","f","NA","NA","NA","space","space","space","NA","NA","f","j","NA","space","NA","NA","599","NA","NA","NA","1108","2071","4767","NA","NA","599","878","NA","96873","NA","NA","2","legacy","1024","2","48000","-16","EXP02","1","odd","NA","5583","4020","NA","NA","NA","NA","NA","189046","NA","NA","189045","NA","207665","180175","4020","NA","189045","NA","NA","184211","102471","NA","NA","157370","NA","180169","NA","157370","NA","NA","157369","NA","NA","102471","NA","208682","181193","181193","208682","210767","182310","NA","184278","NA","NA","211284","182827","211284","182827","211901","183711","200325","122812","NA","156806","207645","NA","212401","NA","5598","NA","NA","189045","Simulation2016_EXP02","14","59918","34","yes","1024"
"D_List01.csv","N","V","De piano werd rechtop in de vrachtwagen gelegd","L","STI_EXP02/LARGE/Uprightpiano_V.jpg","41.6666666667","41.6666666667","1764.41666667","1764.41666667","black","yes","xpyriment","legacy","legacy","0","uniform","1","0","0","0","NA","1","1","undefined","NA","6","j","0","0","0","0","0","0","0","0","0","0","0","0","0","4","12","0","0","0","0","0","12","0","0","NA","3","NA","12","NA","3","NA","NA","3","NA","0","0","0","4","12","12","4","4","12","0","0","0","0","4","12","4","12","4","12","4","12","4","12","4","NA","4","0","0","0","0","2","11/02/16 10:06:20","Matching Tasks","yes","","Simulation2016_EXP02V2.1.0.osexp","D:\Users\ebluser\Desktop\csc","no","chinese-japanese-korean","no","18","no","white","no","Dutch","yes","768","legacy","no","yes","no","4","4","4","5","NL-F-33-01.csv","xpyriment","Jazzy James","3.1.3","0","0","j","NA","NA","NA","space","space","space","NA","NA","j","j","NA","space","NA","NA","1891","NA","NA","NA","1108","1710","4767","NA","NA","1891","878","NA","96873","NA","NA","2","legacy","1024","2","48000","-16","EXP02","1","odd","NA","5583","4020","NA","NA","NA","NA","NA","189046","NA","NA","189045","NA","212936","180175","4020","NA","189045","NA","NA","184211","102471","NA","NA","157370","NA","180169","NA","157370","NA","NA","157369","NA","NA","102471","NA","213953","181193","181193","213953","215671","182310","NA","184278","NA","NA","216188","182827","216188","182827","218089","183711","218607","122812","NA","156806","212917","NA","219107","NA","5598","NA","NA","189045","Simulation2016_EXP02","15","63519","36","yes","1024"
"D_List01.csv","Y","V","De fles stond op de plank.","S","STI_EXP02/SMALL/beerbottle_r.jpg","42.1052631579","42.1052631579","1733.44736842","1733.44736842","black","yes","xpyriment","legacy","legacy","0","uniform","1","0","0","0","NA","1","1","undefined","NA","6","j","0","0","0","0","0","0","0","0","0","0","0","0","0","5","12","0","0","0","0","0","12","0","0","NA","3","NA","12","NA","3","NA","NA","3","NA","0","0","0","5","12","12","5","5","12","0","0","0","0","5","12","5","12","5","12","5","12","5","12","5","NA","5","0","0","0","0","2","11/02/16 10:06:20","Matching Tasks","yes","","Simulation2016_EXP02V2.1.0.osexp","D:\Users\ebluser\Desktop\csc","no","chinese-japanese-korean","no","18","no","white","no","Dutch","yes","768","legacy","no","yes","no","5","5","4","5","NL-F-33-01.csv","xpyriment","Jazzy James","3.1.3","0","0","j","NA","NA","NA","space","space","space","NA","NA","j","j","NA","space","NA","NA","697","NA","NA","NA","1108","1655","4767","NA","NA","697","878","NA","96873","NA","NA","2","legacy","1024","2","48000","-16","EXP02","1","odd","NA","5583","4020","NA","NA","NA","NA","NA","189046","NA","NA","189045","NA","219674","180175","4020","NA","189045","NA","NA","184211","102471","NA","NA","157370","NA","180169","NA","157370","NA","NA","157369","NA","NA","102471","NA","220692","181193","181193","220692","222361","182310","NA","184278","NA","NA","222878","182827","222878","182827","223595","183711","218607","122812","NA","156806","219669","NA","224095","NA","5598","NA","NA","189045","Simulation2016_EXP02","16","65871","38","yes","1024"
"D_List01.csv","Y","H","De zuurstok lag in de snoepdoos.","S","STI_EXP02/SMALL/candycane01a.jpg","42.5","42.5","1720.65","1720.65","black","yes","xpyriment","legacy","legacy","0","uniform","1","0","0","0","NA","1","1","undefined","NA","6","j","0","0","0","0","0","0","0","0","0","0","0","0","0","6","12","0","0","0","0","0","12","0","0","NA","3","NA","12","NA","3","NA","NA","3","NA","0","0","0","6","12","12","6","6","12","0","0","0","0","6","12","6","12","6","12","6","12","6","12","6","NA","6","0","0","0","0","2","11/02/16 10:06:20","Matching Tasks","yes","","Simulation2016_EXP02V2.1.0.osexp","D:\Users\ebluser\Desktop\csc","no","chinese-japanese-korean","no","18","no","white","no","Dutch","yes","768","legacy","no","yes","no","6","6","4","5","NL-F-33-01.csv","xpyriment","Jazzy James","3.1.3","0","0","j","NA","NA","NA","space","space","space","NA","NA","j","j","NA","space","NA","NA","672","NA","NA","NA","1108","2283","4767","NA","NA","672","878","NA","96873","NA","NA","2","legacy","1024","2","48000","-16","EXP02","1","odd","NA","5583","4020","NA","NA","NA","NA","NA","189046","NA","NA","189045","NA","224679","180175","4020","NA","189045","NA","NA","184211","102471","NA","NA","157370","NA","180169","NA","157370","NA","NA","157369","NA","NA","102471","NA","225696","181193","181193","225696","227998","182310","NA","184278","NA","NA","228515","182827","228515","182827","229199","183711","218607","122812","NA","156806","224660","NA","229699","NA","5598","NA","NA","189045","Simulation2016_EXP02","17","68826","40","yes","1024"
"D_List01.csv","F","F","De map stond op de plank","F","STI_EXP02/Filler/pillow.jpg","42.8571428571","42.8571428571","1683.14285714","1683.14285714","black","yes","xpyriment","legacy","legacy","0","uniform","1","0","0","0","NA","1","1","undefined","NA","6","f","0","0","0","0","0","0","0","0","0","0","0","0","0","7","12","0","0","0","0","0","12","0","0","NA","3","NA","12","NA","3","NA","NA","3","NA","0","0","0","7","12","12","7","7","12","0","0","0","0","7","12","7","12","7","12","7","12","7","12","7","NA","7","0","0","0","0","2","11/02/16 10:06:20","Matching Tasks","yes","","Simulation2016_EXP02V2.1.0.osexp","D:\Users\ebluser\Desktop\csc","no","chinese-japanese-korean","no","18","no","white","no","Dutch","yes","768","legacy","no","yes","no","7","7","4","5","NL-F-33-01.csv","xpyriment","Jazzy James","3.1.3","0","0","f","NA","NA","NA","space","space","space","NA","NA","f","j","NA","space","NA","NA","634","NA","NA","NA","1108","1232","4767","NA","NA","634","878","NA","96873","NA","NA","2","legacy","1024","2","48000","-16","EXP02","1","odd","NA","5583","4020","NA","NA","NA","NA","NA","189046","NA","NA","189045","NA","230250","180175","4020","NA","189045","NA","NA","184211","102471","NA","NA","157370","NA","180169","NA","157370","NA","NA","157369","NA","NA","102471","NA","231267","181193","181193","231267","232518","182310","NA","184278","NA","NA","233035","182827","233035","182827","233686","183711","218607","122812","NA","156806","230228","NA","234186","NA","5598","NA","NA","189045","Simulation2016_EXP02","18","70692","42","yes","1024"
"D_List01.csv","F","F","De tafeltennistafel was in de kamer.","F","STI_EXP02/Filler/staple.jpg","43.1818181818","43.1818181818","1670.61363636","1670.61363636","black","yes","xpyriment","legacy","legacy","0","uniform","1","0","0","0","NA","1","1","undefined","NA","6","f","0","0","0","0","0","0","0","0","0","0","0","0","0","8","12","0","0","0","0","0","12","0","0","NA","3","NA","12","NA","3","NA","NA","3","NA","0","0","0","8","12","12","8","8","12","0","0","0","0","8","12","8","12","8","12","8","12","8","12","8","NA","8","0","0","0","0","2","11/02/16 10:06:20","Matching Tasks","yes","","Simulation2016_EXP02V2.1.0.osexp","D:\Users\ebluser\Desktop\csc","no","chinese-japanese-korean","no","18","no","white","no","Dutch","yes","768","legacy","no","yes","no","8","8","4","5","NL-F-33-01.csv","xpyriment","Jazzy James","3.1.3","0","0","f","NA","NA","NA","space","space","space","NA","NA","f","j","NA","space","NA","NA","947","NA","NA","NA","1108","1868","4767","NA","NA","947","878","NA","96873","NA","NA","2","legacy","1024","2","48000","-16","EXP02","1","odd","NA","5583","4020","NA","NA","NA","NA","NA","189046","NA","NA","189045","NA","234720","180175","4020","NA","189045","NA","NA","184211","102471","NA","NA","157370","NA","180169","NA","157370","NA","NA","157369","NA","NA","102471","NA","235737","181193","181193","235737","237622","182310","NA","184278","NA","NA","238139","182827","238139","182827","239107","183711","218607","122812","NA","156806","234701","NA","239607","NA","5598","NA","NA","189045","Simulation2016_EXP02","19","73507","44","yes","1024"
"D_List01.csv","Y","V","Het ijslepel stond in de waterbak.","S","STI_EXP02/SMALL/measuringspoon_r.jpg","43.4782608696","43.4782608696","1654.02173913","1654.02173913","black","yes","xpyriment","legacy","legacy","0","uniform","1","0","0","0","NA","1","1","undefined","NA","6","j","0","0","0","0","0","0","0","0","0","0","0","0","0","9","12","0","0","0","0","0","12","0","0","NA","3","NA","12","NA","3","NA","NA","3","NA","0","0","0","9","12","12","9","9","12","0","0","0","0","9","12","9","12","9","12","9","12","9","12","9","NA","9","0","0","0","0","2","11/02/16 10:06:20","Matching Tasks","yes","","Simulation2016_EXP02V2.1.0.osexp","D:\Users\ebluser\Desktop\csc","no","chinese-japanese-korean","no","18","no","white","no","Dutch","yes","768","legacy","no","yes","no","9","9","4","5","NL-F-33-01.csv","xpyriment","Jazzy James","3.1.3","0","0","j","NA","NA","NA","space","space","space","NA","NA","j","j","NA","space","NA","NA","792","NA","NA","NA","1108","1786","4767","NA","NA","792","878","NA","96873","NA","NA","2","legacy","1024","2","48000","-16","EXP02","1","odd","NA","5583","4020","NA","NA","NA","NA","NA","189046","NA","NA","189045","NA","240142","180175","4020","NA","189045","NA","NA","184211","102471","NA","NA","157370","NA","180169","NA","157370","NA","NA","157369","NA","NA","102471","NA","241159","181193","181193","241159","242961","182310","NA","184278","NA","NA","243478","182827","243478","182827","244278","183711","218607","122812","NA","156806","240129","NA","244778","NA","5598","NA","NA","189045","Simulation2016_EXP02","20","76085","46","yes","1024"
