"List","Match","Orien","Probe","Size","Target","acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_Probe_Prac_response","correct_Probe_response","correct_Start_D","correct_Start_response_C","correct_Target_response","correct_Target_response_Prac","correct_Welcome_D","correct_Welcome_response_C","correct_count","correct_response","count_Chinese","count_Dutch","count_EXP02","count_End_C","count_End_D","count_End_E","count_English","count_Exp_loop_C","count_Exp_loop_D","count_Exp_loop_E","count_Exp_seq_C","count_Exp_seq_D","count_Exp_seq_E","count_First_Fixation","count_First_Fixation_Prac","count_Language_Selection","count_List_Select_C","count_List_Select_D","count_List_Select_E","count_Prac_C","count_Prac_Count","count_Prac_D","count_Prac_E","count_Prac_Reset_C","count_Prac_Reset_D","count_Prac_Reset_E","count_Prac_Trial","count_Prac_loop_C","count_Prac_loop_D","count_Prac_loop_E","count_Prac_seq_C","count_Prac_seq_D","count_Prac_seq_E","count_Prac_setup_C","count_Prac_setup_D","count_Prac_setup_E","count_Probe","count_Probe_Prac","count_Probe_Prac_response","count_Probe_response","count_Second_Fixation","count_Second_Fixation_Prac","count_Start_C","count_Start_D","count_Start_E","count_Start_response_C","count_Target","count_Target_Prac","count_Target_response","count_Target_response_Prac","count_Target_response_correct","count_Target_response_correct_Prac","count_Target_response_noans","count_Target_response_noans_Prac","count_Target_response_wrong","count_Target_response_wrong_Prac","count_Trial","count_Trial_Break","count_Trial_logger","count_Welcome_C","count_Welcome_D","count_Welcome_E","count_Welcome_response_C","count_reset_random","datetime","description","disable_garbage_collection","empty_column","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","form_response","fullscreen","height","keyboard_backend","language1","language2","language3","live_row","live_row_Exp_loop_D","live_row_Prac_D","live_row_Prac_loop_D","logfile","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","reset_loop","response","response_End_C","response_End_D","response_End_E","response_Probe_Prac_response","response_Probe_response","response_Start_D","response_Start_E","response_Start_response_C","response_Target_response","response_Target_response_Prac","response_Trial_Break","response_Welcome_D","response_Welcome_E","response_Welcome_response_C","response_time","response_time_End_C","response_time_End_D","response_time_End_E","response_time_Probe_Prac_response","response_time_Probe_response","response_time_Start_D","response_time_Start_E","response_time_Start_response_C","response_time_Target_response","response_time_Target_response_Prac","response_time_Trial_Break","response_time_Welcome_D","response_time_Welcome_E","response_time_Welcome_response_C","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","time_Chinese","time_Dutch","time_EXP02","time_End_C","time_End_D","time_End_E","time_English","time_Exp_loop_C","time_Exp_loop_D","time_Exp_loop_E","time_Exp_seq_C","time_Exp_seq_D","time_Exp_seq_E","time_First_Fixation","time_First_Fixation_Prac","time_Language_Selection","time_List_Select_C","time_List_Select_D","time_List_Select_E","time_Prac_C","time_Prac_Count","time_Prac_D","time_Prac_E","time_Prac_Reset_C","time_Prac_Reset_D","time_Prac_Reset_E","time_Prac_Trial","time_Prac_loop_C","time_Prac_loop_D","time_Prac_loop_E","time_Prac_seq_C","time_Prac_seq_D","time_Prac_seq_E","time_Prac_setup_C","time_Prac_setup_D","time_Prac_setup_E","time_Probe","time_Probe_Prac","time_Probe_Prac_response","time_Probe_response","time_Second_Fixation","time_Second_Fixation_Prac","time_Start_C","time_Start_D","time_Start_E","time_Start_response_C","time_Target","time_Target_Prac","time_Target_response","time_Target_response_Prac","time_Target_response_correct","time_Target_response_correct_Prac","time_Target_response_noans","time_Target_response_noans_Prac","time_Target_response_wrong","time_Target_response_wrong_Prac","time_Trial","time_Trial_Break","time_Trial_logger","time_Welcome_C","time_Welcome_D","time_Welcome_E","time_Welcome_response_C","time_reset_random","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"D_List04.csv","Y","H","De hengel werd vastgehouden door de visser","S","STI_EXP02/SMALL/fishingrod.jpg","38.8888888889","38.8888888889","2966.94444444","2966.94444444","black","yes","xpyriment","legacy","legacy","0","uniform","1","0","0","0","NA","1","1","undefined","NA","6","j","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","7","0","0","NA","2","NA","7","NA","2","NA","NA","2","NA","0","0","0","0","7","7","0","0","7","0","0","0","0","0","7","0","7","0","7","0","7","0","7","0","NA","0","0","0","0","0","2","11/11/16 16:29:39","Matching Tasks","yes","","Simulation2016_EXP02V2.1.0.osexp","D:\Users\ebluser\Desktop\csc","no","chinese-japanese-korean","no","18","no","white","no","Dutch","yes","768","legacy","no","yes","no","0","0","3","5","NL-f-29-25.csv","xpyriment","Jazzy James","3.1.3","0","0","j","NA","NA","NA","space","space","space","NA","NA","j","f","NA","space","NA","NA","782","NA","NA","NA","2512","2745","12418","NA","NA","782","997","NA","56390","NA","NA","2","legacy","1024","2","48000","-16","EXP02","25","odd","NA","13291","3760","NA","NA","NA","NA","NA","153714","NA","NA","153714","NA","154239","135640","3761","NA","153714","NA","NA","141211","69696","NA","NA","106702","NA","135632","NA","106702","NA","NA","106702","NA","NA","69696","NA","155256","136658","136658","155257","158008","139176","NA","141295","NA","NA","158526","139694","158526","139694","159326","140711","NA","90620","NA","106133","154201","NA","159826","NA","13306","NA","NA","153714","Simulation2016_EXP02","7","53405","18","yes","1024"
"D_List04.csv","N","H","De graanschil was net geplukt door de boer.","S","STI_EXP02/SMALL/cornhusk.jpg","35","35","2876.4","2876.4","black","yes","xpyriment","legacy","legacy","0","uniform","0","0","0","0","NA","0","1","undefined","NA","6","j","0","0","0","0","0","0","0","0","0","0","0","0","0","1","7","0","0","0","0","0","7","0","0","NA","2","NA","7","NA","2","NA","NA","2","NA","0","0","0","1","7","7","1","1","7","0","0","0","0","1","7","1","7","1","7","1","7","1","7","1","NA","1","0","0","0","0","2","11/11/16 16:29:39","Matching Tasks","yes","","Simulation2016_EXP02V2.1.0.osexp","D:\Users\ebluser\Desktop\csc","no","chinese-japanese-korean","no","18","no","white","no","Dutch","yes","768","legacy","no","yes","no","1","1","3","5","NL-f-29-25.csv","xpyriment","Jazzy James","3.1.3","0","0","f","NA","NA","NA","space","space","space","NA","NA","f","f","NA","space","NA","NA","1067","NA","NA","NA","2512","3056","12418","NA","NA","1067","997","NA","56390","NA","NA","2","legacy","1024","2","48000","-16","EXP02","25","odd","NA","13291","3760","NA","NA","NA","NA","NA","153714","NA","NA","153714","NA","160811","135640","3761","NA","153714","NA","NA","141211","69696","NA","NA","106702","NA","135632","NA","106702","NA","NA","106702","NA","NA","69696","NA","161828","136658","136658","161828","164898","139176","NA","141295","NA","NA","165415","139694","165415","139694","159326","140711","NA","90620","166499","106133","160785","NA","166999","NA","13306","NA","NA","153714","Simulation2016_EXP02","7","57528","20","yes","1024"
"D_List04.csv","F","F","De tafeltennistafel was in de kamer.","F","STI_EXP02/Filler/staple.jpg","36.3636363636","36.3636363636","2795.22727273","2795.22727273","black","yes","xpyriment","legacy","legacy","0","uniform","1","0","0","0","NA","1","1","undefined","NA","6","f","0","0","0","0","0","0","0","0","0","0","0","0","0","2","7","0","0","0","0","0","7","0","0","NA","2","NA","7","NA","2","NA","NA","2","NA","0","0","0","2","7","7","2","2","7","0","0","0","0","2","7","2","7","2","7","2","7","2","7","2","NA","2","0","0","0","0","2","11/11/16 16:29:39","Matching Tasks","yes","","Simulation2016_EXP02V2.1.0.osexp","D:\Users\ebluser\Desktop\csc","no","chinese-japanese-korean","no","18","no","white","no","Dutch","yes","768","legacy","no","yes","no","2","2","3","5","NL-f-29-25.csv","xpyriment","Jazzy James","3.1.3","0","0","f","NA","NA","NA","space","space","space","NA","NA","f","f","NA","space","NA","NA","912","NA","NA","NA","2512","3055","12418","NA","NA","912","997","NA","56390","NA","NA","2","legacy","1024","2","48000","-16","EXP02","25","odd","NA","13291","3760","NA","NA","NA","NA","NA","153714","NA","NA","153714","NA","167517","135640","3761","NA","153714","NA","NA","141211","69696","NA","NA","106702","NA","135632","NA","106702","NA","NA","106702","NA","NA","69696","NA","168534","136658","136658","168534","171603","139176","NA","141295","NA","NA","172120","139694","172120","139694","173038","140711","NA","90620","166499","106133","167506","NA","173538","NA","13306","NA","NA","153714","Simulation2016_EXP02","8","61495","22","yes","1024"
"D_List04.csv","F","F","De telefoon stond op de bijzetttafel","F","STI_EXP02/Filler/Generic_High_Speed_Train_01.jpg","37.5","37.5","2697.20833333","2697.20833333","black","yes","xpyriment","legacy","legacy","0","uniform","1","0","0","0","NA","1","1","undefined","NA","6","f","0","0","0","0","0","0","0","0","0","0","0","0","0","3","7","0","0","0","0","0","7","0","0","NA","2","NA","7","NA","2","NA","NA","2","NA","0","0","0","3","7","7","3","3","7","0","0","0","0","3","7","3","7","3","7","3","7","3","7","3","NA","3","0","0","0","0","2","11/11/16 16:29:39","Matching Tasks","yes","","Simulation2016_EXP02V2.1.0.osexp","D:\Users\ebluser\Desktop\csc","no","chinese-japanese-korean","no","18","no","white","no","Dutch","yes","768","legacy","no","yes","no","3","3","3","5","NL-f-29-25.csv","xpyriment","Jazzy James","3.1.3","0","0","f","NA","NA","NA","space","space","space","NA","NA","f","f","NA","space","NA","NA","1013","NA","NA","NA","2512","2225","12418","NA","NA","1013","997","NA","56390","NA","NA","2","legacy","1024","2","48000","-16","EXP02","25","odd","NA","13291","3760","NA","NA","NA","NA","NA","153714","NA","NA","153714","NA","174105","135640","3761","NA","153714","NA","NA","141211","69696","NA","NA","106702","NA","135632","NA","106702","NA","NA","106702","NA","NA","69696","NA","175123","136658","136658","175123","177358","139176","NA","141295","NA","NA","177875","139694","177875","139694","178909","140711","NA","90620","166499","106133","174089","NA","179409","NA","13306","NA","NA","153714","Simulation2016_EXP02","9","64733","24","yes","1024"
"D_List04.csv","F","F","De garnaal zat in het aquarium","F","STI_EXP02/Filler/laptopopen.jpg","38.4615384615","38.4615384615","2642.23076923","2642.23076923","black","yes","xpyriment","legacy","legacy","0","uniform","1","0","0","0","NA","1","1","undefined","NA","6","f","0","0","0","0","0","0","0","0","0","0","0","0","0","4","7","0","0","0","0","0","7","0","0","NA","2","NA","7","NA","2","NA","NA","2","NA","0","0","0","4","7","7","4","4","7","0","0","0","0","4","7","4","7","4","7","4","7","4","7","4","NA","4","0","0","0","0","2","11/11/16 16:29:39","Matching Tasks","yes","","Simulation2016_EXP02V2.1.0.osexp","D:\Users\ebluser\Desktop\csc","no","chinese-japanese-korean","no","18","no","white","no","Dutch","yes","768","legacy","no","yes","no","4","4","3","5","NL-f-29-25.csv","xpyriment","Jazzy James","3.1.3","0","0","f","NA","NA","NA","space","space","space","NA","NA","f","f","NA","space","NA","NA","830","NA","NA","NA","2512","3135","12418","NA","NA","830","997","NA","56390","NA","NA","2","legacy","1024","2","48000","-16","EXP02","25","odd","NA","13291","3760","NA","NA","NA","NA","NA","153714","NA","NA","153714","NA","179960","135640","3761","NA","153714","NA","NA","141211","69696","NA","NA","106702","NA","135632","NA","106702","NA","NA","106702","NA","NA","69696","NA","180978","136658","136658","180978","184131","139176","NA","141295","NA","NA","184648","139694","184648","139694","185498","140711","NA","90620","166499","106133","179945","NA","185998","NA","13306","NA","NA","153714","Simulation2016_EXP02","10","68698","26","yes","1024"
"D_List04.csv","F","F","De appel lag op de tafel.","F","STI_EXP02/Filler/075-carte_playing-card.jpg","39.2857142857","39.2857142857","2542.14285714","2542.14285714","black","yes","xpyriment","legacy","legacy","0","uniform","1","0","0","0","NA","1","1","undefined","NA","6","f","0","0","0","0","0","0","0","0","0","0","0","0","0","5","7","0","0","0","0","0","7","0","0","NA","2","NA","7","NA","2","NA","NA","2","NA","0","0","0","5","7","7","5","5","7","0","0","0","0","5","7","5","7","5","7","5","7","5","7","5","NA","5","0","0","0","0","2","11/11/16 16:29:39","Matching Tasks","yes","","Simulation2016_EXP02V2.1.0.osexp","D:\Users\ebluser\Desktop\csc","no","chinese-japanese-korean","no","18","no","white","no","Dutch","yes","768","legacy","no","yes","no","5","5","3","5","NL-f-29-25.csv","xpyriment","Jazzy James","3.1.3","0","0","f","NA","NA","NA","space","space","space","NA","NA","f","f","NA","space","NA","NA","867","NA","NA","NA","2512","1615","12418","NA","NA","867","997","NA","56390","NA","NA","2","legacy","1024","2","48000","-16","EXP02","25","odd","NA","13291","3760","NA","NA","NA","NA","NA","153714","NA","NA","153714","NA","186549","135640","3761","NA","153714","NA","NA","141211","69696","NA","NA","106702","NA","135632","NA","106702","NA","NA","106702","NA","NA","69696","NA","187567","136658","136658","187567","189201","139176","NA","141295","NA","NA","189718","139694","189718","139694","190602","140711","NA","90620","166499","106133","186530","NA","191102","NA","13306","NA","NA","153714","Simulation2016_EXP02","11","71180","28","yes","1024"
"D_List04.csv","Y","V","De schoen stond tegen de muur","S","STI_EXP02/SMALL/shoe_r.jpg","40","40","2470.73333333","2470.73333333","black","yes","xpyriment","legacy","legacy","0","uniform","1","0","0","0","NA","1","1","undefined","NA","6","j","0","0","0","0","0","0","0","0","0","0","0","0","0","6","7","0","0","0","0","0","7","0","0","NA","2","NA","7","NA","2","NA","NA","2","NA","0","0","0","6","7","7","6","6","7","0","0","0","0","6","7","6","7","6","7","6","7","6","7","6","NA","6","0","0","0","0","2","11/11/16 16:29:39","Matching Tasks","yes","","Simulation2016_EXP02V2.1.0.osexp","D:\Users\ebluser\Desktop\csc","no","chinese-japanese-korean","no","18","no","white","no","Dutch","yes","768","legacy","no","yes","no","6","6","3","5","NL-f-29-25.csv","xpyriment","Jazzy James","3.1.3","0","0","j","NA","NA","NA","space","space","space","NA","NA","j","f","NA","space","NA","NA","800","NA","NA","NA","2512","2142","12418","NA","NA","800","997","NA","56390","NA","NA","2","legacy","1024","2","48000","-16","EXP02","25","odd","NA","13291","3760","NA","NA","NA","NA","NA","153714","NA","NA","153714","NA","191636","135640","3761","NA","153714","NA","NA","141211","69696","NA","NA","106702","NA","135632","NA","106702","NA","NA","106702","NA","NA","69696","NA","192654","136658","136658","192654","194805","139176","NA","141295","NA","NA","195322","139694","195322","139694","196140","140711","NA","90620","166499","106133","191631","NA","196640","NA","13306","NA","NA","153714","Simulation2016_EXP02","12","74122","30","yes","1024"
"D_List04.csv","N","V","De zuurstok lag in de snoepdoos.","S","STI_EXP02/SMALL/candycane01a_r.jpg","40.625","40.625","2409.875","2409.875","black","yes","xpyriment","legacy","legacy","0","uniform","1","0","0","0","NA","1","1","undefined","NA","6","j","0","0","0","0","0","0","0","0","0","0","0","0","0","7","7","0","0","0","0","0","7","0","0","NA","2","NA","7","NA","2","NA","NA","2","NA","0","0","0","7","7","7","7","7","7","0","0","0","0","7","7","7","7","7","7","7","7","7","7","7","NA","7","0","0","0","0","2","11/11/16 16:29:39","Matching Tasks","yes","","Simulation2016_EXP02V2.1.0.osexp","D:\Users\ebluser\Desktop\csc","no","chinese-japanese-korean","no","18","no","white","no","Dutch","yes","768","legacy","no","yes","no","7","7","3","5","NL-f-29-25.csv","xpyriment","Jazzy James","3.1.3","0","0","j","NA","NA","NA","space","space","space","NA","NA","j","f","NA","space","NA","NA","909","NA","NA","NA","2512","2085","12418","NA","NA","909","997","NA","56390","NA","NA","2","legacy","1024","2","48000","-16","EXP02","25","odd","NA","13291","3760","NA","NA","NA","NA","NA","153714","NA","NA","153714","NA","197191","135640","3761","NA","153714","NA","NA","141211","69696","NA","NA","106702","NA","135632","NA","106702","NA","NA","106702","NA","NA","69696","NA","198209","136658","136658","198209","200311","139176","NA","141295","NA","NA","200828","139694","200828","139694","201745","140711","NA","90620","166499","106133","197178","NA","202245","NA","13306","NA","NA","153714","Simulation2016_EXP02","13","77116","32","yes","1024"
"D_List04.csv","F","F","De boekenplank was in de kamer","F","STI_EXP02/Filler/sailboat.jpg","41.1764705882","41.1764705882","2352.64705882","2352.64705882","black","yes","xpyriment","legacy","legacy","0","uniform","1","0","0","0","NA","1","1","undefined","NA","6","f","0","0","0","0","0","0","0","0","0","0","0","0","0","8","7","0","0","0","0","0","7","0","0","NA","2","NA","7","NA","2","NA","NA","2","NA","0","0","0","8","7","7","8","8","7","0","0","0","0","8","7","8","7","8","7","8","7","8","7","8","NA","8","0","0","0","0","2","11/11/16 16:29:39","Matching Tasks","yes","","Simulation2016_EXP02V2.1.0.osexp","D:\Users\ebluser\Desktop\csc","no","chinese-japanese-korean","no","18","no","white","no","Dutch","yes","768","legacy","no","yes","no","8","8","3","5","NL-f-29-25.csv","xpyriment","Jazzy James","3.1.3","0","0","f","NA","NA","NA","space","space","space","NA","NA","f","f","NA","space","NA","NA","763","NA","NA","NA","2512","2111","12418","NA","NA","763","997","NA","56390","NA","NA","2","legacy","1024","2","48000","-16","EXP02","25","odd","NA","13291","3760","NA","NA","NA","NA","NA","153714","NA","NA","153714","NA","202779","135640","3761","NA","153714","NA","NA","141211","69696","NA","NA","106702","NA","135632","NA","106702","NA","NA","106702","NA","NA","69696","NA","203797","136658","136658","203797","205915","139176","NA","141295","NA","NA","206432","139694","206432","139694","207216","140711","NA","90620","166499","106133","202767","NA","207716","NA","13306","NA","NA","153714","Simulation2016_EXP02","14","79990","34","yes","1024"
"D_List04.csv","N","V","Het bureau was voor het raam geplaatst.","L","STI_EXP02/LARGE/desk_V.jpg","38.8888888889","38.8888888889","2342.30555556","2342.30555556","black","yes","xpyriment","legacy","legacy","0","uniform","0","0","0","0","NA","0","1","undefined","NA","6","j","0","0","0","0","0","0","0","0","0","0","0","0","0","9","7","0","0","0","0","0","7","0","0","NA","2","NA","7","NA","2","NA","NA","2","NA","0","0","0","9","7","7","9","9","7","0","0","0","0","9","7","9","7","9","7","9","7","9","7","9","NA","9","0","0","0","0","2","11/11/16 16:29:39","Matching Tasks","yes","","Simulation2016_EXP02V2.1.0.osexp","D:\Users\ebluser\Desktop\csc","no","chinese-japanese-korean","no","18","no","white","no","Dutch","yes","768","legacy","no","yes","no","9","9","3","5","NL-f-29-25.csv","xpyriment","Jazzy James","3.1.3","0","0","None","NA","NA","NA","space","space","space","NA","NA","None","f","NA","space","NA","NA","2000","NA","NA","NA","2512","2333","12418","NA","NA","2000","997","NA","56390","NA","NA","2","legacy","1024","2","48000","-16","EXP02","25","odd","NA","13291","3760","NA","NA","NA","NA","NA","153714","NA","NA","153714","NA","208250","135640","3761","NA","153714","NA","NA","141211","69696","NA","NA","106702","NA","135632","NA","106702","NA","NA","106702","NA","NA","69696","NA","209267","136658","136658","209267","211619","139176","NA","141295","NA","NA","212136","139694","212136","139694","207216","140711","214672","90620","214154","106133","208236","NA","215172","NA","13306","NA","NA","153714","Simulation2016_EXP02","14","84323","36","yes","1024"
