"List","Match","Orien","Probe","Size","Target","acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_Probe_Prac_response","correct_Probe_response","correct_Start_response_C","correct_Target_response","correct_Target_response_Prac","correct_Welcome_response_C","correct_count","correct_response","count_Chinese","count_Dutch","count_EXP02","count_End_C","count_End_D","count_End_E","count_English","count_Exp_loop_C","count_Exp_loop_D","count_Exp_loop_E","count_Exp_seq_C","count_Exp_seq_D","count_Exp_seq_E","count_First_Fixation","count_First_Fixation_Prac","count_Language_Selection","count_List_Select_C","count_List_Select_D","count_List_Select_E","count_Prac_C","count_Prac_Count","count_Prac_D","count_Prac_E","count_Prac_Reset_C","count_Prac_Reset_D","count_Prac_Reset_E","count_Prac_Trial","count_Prac_loop_C","count_Prac_loop_D","count_Prac_loop_E","count_Prac_seq_C","count_Prac_seq_D","count_Prac_seq_E","count_Prac_setup_C","count_Prac_setup_D","count_Prac_setup_E","count_Probe","count_Probe_Prac","count_Probe_Prac_response","count_Probe_response","count_Second_Fixation","count_Second_Fixation_Prac","count_Start_C","count_Start_D","count_Start_E","count_Start_response_C","count_Target","count_Target_Prac","count_Target_response","count_Target_response_Prac","count_Target_response_correct","count_Target_response_correct_Prac","count_Target_response_noans","count_Target_response_noans_Prac","count_Target_response_wrong","count_Target_response_wrong_Prac","count_Trial","count_Trial_Break","count_Trial_logger","count_Welcome_C","count_Welcome_D","count_Welcome_E","count_Welcome_response_C","count_reset_random","datetime","description","disable_garbage_collection","empty_column","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","form_response","fullscreen","height","keyboard_backend","language1","language2","language3","live_row","live_row_Exp_loop_C","live_row_Prac_C","live_row_Prac_loop_C","logfile","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","reset_loop","response","response_End_C","response_End_D","response_End_E","response_Probe_Prac_response","response_Probe_response","response_Start_D","response_Start_E","response_Start_response_C","response_Target_response","response_Target_response_Prac","response_Trial_Break","response_Welcome_D","response_Welcome_E","response_Welcome_response_C","response_time","response_time_End_C","response_time_End_D","response_time_End_E","response_time_Probe_Prac_response","response_time_Probe_response","response_time_Start_D","response_time_Start_E","response_time_Start_response_C","response_time_Target_response","response_time_Target_response_Prac","response_time_Trial_Break","response_time_Welcome_D","response_time_Welcome_E","response_time_Welcome_response_C","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","time_Chinese","time_Dutch","time_EXP02","time_End_C","time_End_D","time_End_E","time_English","time_Exp_loop_C","time_Exp_loop_D","time_Exp_loop_E","time_Exp_seq_C","time_Exp_seq_D","time_Exp_seq_E","time_First_Fixation","time_First_Fixation_Prac","time_Language_Selection","time_List_Select_C","time_List_Select_D","time_List_Select_E","time_Prac_C","time_Prac_Count","time_Prac_D","time_Prac_E","time_Prac_Reset_C","time_Prac_Reset_D","time_Prac_Reset_E","time_Prac_Trial","time_Prac_loop_C","time_Prac_loop_D","time_Prac_loop_E","time_Prac_seq_C","time_Prac_seq_D","time_Prac_seq_E","time_Prac_setup_C","time_Prac_setup_D","time_Prac_setup_E","time_Probe","time_Probe_Prac","time_Probe_Prac_response","time_Probe_response","time_Second_Fixation","time_Second_Fixation_Prac","time_Start_C","time_Start_D","time_Start_E","time_Start_response_C","time_Target","time_Target_Prac","time_Target_response","time_Target_response_Prac","time_Target_response_correct","time_Target_response_correct_Prac","time_Target_response_noans","time_Target_response_noans_Prac","time_Target_response_wrong","time_Target_response_wrong_Prac","time_Trial","time_Trial_Break","time_Trial_logger","time_Welcome_C","time_Welcome_D","time_Welcome_E","time_Welcome_response_C","time_reset_random","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"C_List03.csv","Y","V","鑰匙圈掛在牆上","S","STI_EXP02/SMALL/keychain_r.jpg","38.0952380952","38.0952380952","8389.04545455","8389.04545455","black","yes","xpyriment","legacy","legacy","0","uniform","1","0","0","0","1","1","undefined","6","j","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","0","0","0","0","0","8","0","0","2","NA","NA","8","2","NA","NA","2","NA","NA","0","0","0","0","8","8","0","0","8","0","0","0","0","0","8","0","8","0","8","0","8","0","8","0","NA","0","0","0","0","0","2","10/18/16 10:10:07","Matching Tasks","yes","","Simulation2016_EXP02V2.1.0.osexp","D:\Users\ebluser\Desktop\CSC","no","chinese-japanese-korean","no","18","no","white","no","Chinese","yes","768","legacy","yes","no","no","0","0","3","5","C_P-03.csv","xpyriment","Jazzy James","3.1.2","0","0","j","NA","NA","NA","space","space","NA","NA","space","j","j","NA","NA","NA","space","820","NA","NA","NA","1320","1442","NA","NA","30586","820","584","NA","NA","NA","115871","2","legacy","1024","2","48000","-16","EXP02","3","odd","52661","NA","4737","NA","NA","NA","NA","263728","NA","NA","263728","NA","NA","264767","229088","4737","263728","NA","NA","168548","233058","NA","NA","201597","NA","NA","229082","201598","NA","NA","201597","NA","NA","168548","NA","NA","265785","230106","230106","265785","267236","231440","233141","NA","NA","233141","267753","231957","267753","231957","268587","232557","NA","201031","NA","200514","264750","NA","269087","52677","NA","NA","52677","263728","Simulation2016_EXP02","8","184559","22","yes","1024"
"C_List03.csv","F","F","貨物列車在鐵路上行駛","F","STI_EXP02/Filler/156-hot-dog_hot-dog.jpg","39.1304347826","39.1304347826","7843.75","7843.75","black","yes","xpyriment","legacy","legacy","0","uniform","1","0","0","0","1","1","undefined","6","f","0","0","0","0","0","0","0","0","0","0","0","0","0","1","8","0","0","0","0","0","8","0","0","2","NA","NA","8","2","NA","NA","2","NA","NA","0","0","0","1","8","8","1","1","8","0","0","0","0","1","8","1","8","1","8","1","8","1","8","1","NA","1","0","0","0","0","2","10/18/16 10:10:07","Matching Tasks","yes","","Simulation2016_EXP02V2.1.0.osexp","D:\Users\ebluser\Desktop\CSC","no","chinese-japanese-korean","no","18","no","white","no","Chinese","yes","768","legacy","yes","no","no","1","1","3","5","C_P-03.csv","xpyriment","Jazzy James","3.1.2","0","0","f","NA","NA","NA","space","space","NA","NA","space","f","j","NA","NA","NA","space","745","NA","NA","NA","1320","2946","NA","NA","30586","745","584","NA","NA","NA","115871","2","legacy","1024","2","48000","-16","EXP02","3","odd","52661","NA","4737","NA","NA","NA","NA","263728","NA","NA","263728","NA","NA","270839","229088","4737","263728","NA","NA","168548","233058","NA","NA","201597","NA","NA","229082","201598","NA","NA","201597","NA","NA","168548","NA","NA","271856","230106","230106","271856","274809","231440","233141","NA","NA","233141","275326","231957","275326","231957","276076","232557","NA","201031","NA","200514","270833","NA","276576","52677","NA","NA","52677","263728","Simulation2016_EXP02","9","188250","24","yes","1024"
"C_List03.csv","Y","H","那台自動販賣機躺在貨車中","L","STI_EXP02/LARGE/vending_H.jpg","40","40","7366.69230769","7366.69230769","black","yes","xpyriment","legacy","legacy","0","uniform","1","0","0","0","1","1","undefined","6","j","0","0","0","0","0","0","0","0","0","0","0","0","0","2","8","0","0","0","0","0","8","0","0","2","NA","NA","8","2","NA","NA","2","NA","NA","0","0","0","2","8","8","2","2","8","0","0","0","0","2","8","2","8","2","8","2","8","2","8","2","NA","2","0","0","0","0","2","10/18/16 10:10:07","Matching Tasks","yes","","Simulation2016_EXP02V2.1.0.osexp","D:\Users\ebluser\Desktop\CSC","no","chinese-japanese-korean","no","18","no","white","no","Chinese","yes","768","legacy","yes","no","no","2","2","3","5","C_P-03.csv","xpyriment","Jazzy James","3.1.2","0","0","j","NA","NA","NA","space","space","NA","NA","space","j","j","NA","NA","NA","space","886","NA","NA","NA","1320","2398","NA","NA","30586","886","584","NA","NA","NA","115871","2","legacy","1024","2","48000","-16","EXP02","3","odd","52661","NA","4737","NA","NA","NA","NA","263728","NA","NA","263728","NA","NA","277578","229088","4737","263728","NA","NA","168548","233058","NA","NA","201597","NA","NA","229082","201598","NA","NA","201597","NA","NA","168548","NA","NA","278596","230106","230106","278596","281014","231440","233141","NA","NA","233141","281531","231957","281531","231957","282432","232557","NA","201031","NA","200514","277564","NA","282932","52677","NA","NA","52677","263728","Simulation2016_EXP02","10","191534","26","yes","1024"
"C_List03.csv","N","V","那台吉普車行駛在馬路上","L","STI_EXP02/LARGE/jeep_V.jpg","37.037037037","37.037037037","6922.03571429","6922.03571429","black","yes","xpyriment","legacy","legacy","0","uniform","0","0","0","0","0","1","undefined","6","j","0","0","0","0","0","0","0","0","0","0","0","0","0","3","8","0","0","0","0","0","8","0","0","2","NA","NA","8","2","NA","NA","2","NA","NA","0","0","0","3","8","8","3","3","8","0","0","0","0","3","8","3","8","3","8","3","8","3","8","3","NA","3","0","0","0","0","2","10/18/16 10:10:07","Matching Tasks","yes","","Simulation2016_EXP02V2.1.0.osexp","D:\Users\ebluser\Desktop\CSC","no","chinese-japanese-korean","no","18","no","white","no","Chinese","yes","768","legacy","yes","no","no","3","3","3","5","C_P-03.csv","xpyriment","Jazzy James","3.1.2","0","0","f","NA","NA","NA","space","space","NA","NA","space","f","j","NA","NA","NA","space","822","NA","NA","NA","1320","1461","NA","NA","30586","822","584","NA","NA","NA","115871","2","legacy","1024","2","48000","-16","EXP02","3","odd","52661","NA","4737","NA","NA","NA","NA","263728","NA","NA","263728","NA","NA","284033","229088","4737","263728","NA","NA","168548","233058","NA","NA","201597","NA","NA","229082","201598","NA","NA","201597","NA","NA","168548","NA","NA","285051","230106","230106","285051","286518","231440","233141","NA","NA","233141","287035","231957","287036","231957","282432","232557","NA","201031","287869","200514","284014","NA","288369","52677","NA","NA","52677","263728","Simulation2016_EXP02","10","193817","28","yes","1024"
"C_List03.csv","N","V","漏斗就放在碗盤旁邊","S","STI_EXP02/SMALL/funnel_r.jpg","34.4827586207","34.4827586207","6566.2","6566.2","black","yes","xpyriment","legacy","legacy","0","uniform","0","0","0","0","0","1","undefined","6","j","0","0","0","0","0","0","0","0","0","0","0","0","0","4","8","0","0","0","0","0","8","0","0","2","NA","NA","8","2","NA","NA","2","NA","NA","0","0","0","4","8","8","4","4","8","0","0","0","0","4","8","4","8","4","8","4","8","4","8","4","NA","4","0","0","0","0","2","10/18/16 10:10:07","Matching Tasks","yes","","Simulation2016_EXP02V2.1.0.osexp","D:\Users\ebluser\Desktop\CSC","no","chinese-japanese-korean","no","18","no","white","no","Chinese","yes","768","legacy","yes","no","no","4","4","3","5","C_P-03.csv","xpyriment","Jazzy James","3.1.2","0","0","f","NA","NA","NA","space","space","NA","NA","space","f","j","NA","NA","NA","space","860","NA","NA","NA","1320","2309","NA","NA","30586","860","584","NA","NA","NA","115871","2","legacy","1024","2","48000","-16","EXP02","3","odd","52661","NA","4737","NA","NA","NA","NA","263728","NA","NA","263728","NA","NA","289337","229088","4737","263728","NA","NA","168548","233058","NA","NA","201597","NA","NA","229082","201598","NA","NA","201597","NA","NA","168548","NA","NA","290355","230106","230106","290355","292673","231440","233141","NA","NA","233141","293190","231957","293190","231957","282432","232557","NA","201031","294059","200514","289319","NA","294559","52677","NA","NA","52677","263728","Simulation2016_EXP02","10","196986","30","yes","1024"
"C_List03.csv","F","F","那隻鋸子放在工具箱中","F","STI_EXP02/Filler/034-biberon_feeding-bottle.jpg","35.4838709677","35.4838709677","6264.28125","6264.28125","black","yes","xpyriment","legacy","legacy","0","uniform","1","0","0","0","1","1","undefined","6","f","0","0","0","0","0","0","0","0","0","0","0","0","0","5","8","0","0","0","0","0","8","0","0","2","NA","NA","8","2","NA","NA","2","NA","NA","0","0","0","5","8","8","5","5","8","0","0","0","0","5","8","5","8","5","8","5","8","5","8","5","NA","5","0","0","0","0","2","10/18/16 10:10:07","Matching Tasks","yes","","Simulation2016_EXP02V2.1.0.osexp","D:\Users\ebluser\Desktop\CSC","no","chinese-japanese-korean","no","18","no","white","no","Chinese","yes","768","legacy","yes","no","no","5","5","3","5","C_P-03.csv","xpyriment","Jazzy James","3.1.2","0","0","f","NA","NA","NA","space","space","NA","NA","space","f","j","NA","NA","NA","space","736","NA","NA","NA","1320","2735","NA","NA","30586","736","584","NA","NA","NA","115871","2","legacy","1024","2","48000","-16","EXP02","3","odd","52661","NA","4737","NA","NA","NA","NA","263728","NA","NA","263728","NA","NA","295526","229088","4737","263728","NA","NA","168548","233058","NA","NA","201597","NA","NA","229082","201598","NA","NA","201597","NA","NA","168548","NA","NA","296544","230106","230106","296544","299296","231440","233141","NA","NA","233141","299813","231957","299813","231957","300563","232557","NA","201031","294059","200514","295510","NA","301064","52677","NA","NA","52677","263728","Simulation2016_EXP02","11","200457","32","yes","1024"
"C_List03.csv","F","F","這卷底片就在相機中","F","STI_EXP02/Filler/025-barre_bar.jpg","36.3636363636","36.3636363636","5978.97058824","5978.97058824","black","yes","xpyriment","legacy","legacy","0","uniform","1","0","0","0","1","1","undefined","6","f","0","0","0","0","0","0","0","0","0","0","0","0","0","6","8","0","0","0","0","0","8","0","0","2","NA","NA","8","2","NA","NA","2","NA","NA","0","0","0","6","8","8","6","6","8","0","0","0","0","6","8","6","8","6","8","6","8","6","8","6","NA","6","0","0","0","0","2","10/18/16 10:10:07","Matching Tasks","yes","","Simulation2016_EXP02V2.1.0.osexp","D:\Users\ebluser\Desktop\CSC","no","chinese-japanese-korean","no","18","no","white","no","Chinese","yes","768","legacy","yes","no","no","6","6","3","5","C_P-03.csv","xpyriment","Jazzy James","3.1.2","0","0","f","NA","NA","NA","space","space","NA","NA","space","f","j","NA","NA","NA","space","659","NA","NA","NA","1320","2169","NA","NA","30586","659","584","NA","NA","NA","115871","2","legacy","1024","2","48000","-16","EXP02","3","odd","52661","NA","4737","NA","NA","NA","NA","263728","NA","NA","263728","NA","NA","302015","229088","4737","263728","NA","NA","168548","233058","NA","NA","201597","NA","NA","229082","201598","NA","NA","201597","NA","NA","168548","NA","NA","303032","230106","230106","303032","305217","231440","233141","NA","NA","233141","305734","231957","305734","231957","306401","232557","NA","201031","294059","200514","302000","NA","306901","52677","NA","NA","52677","263728","Simulation2016_EXP02","12","203285","34","yes","1024"
"C_List03.csv","F","F","那座燈塔位於港口入口","F","STI_EXP02/Filler/submarine.jpg","37.1428571429","37.1428571429","5734.36111111","5734.36111111","black","yes","xpyriment","legacy","legacy","0","uniform","1","0","0","0","1","1","undefined","6","f","0","0","0","0","0","0","0","0","0","0","0","0","0","7","8","0","0","0","0","0","8","0","0","2","NA","NA","8","2","NA","NA","2","NA","NA","0","0","0","7","8","8","7","7","8","0","0","0","0","7","8","7","8","7","8","7","8","7","8","7","NA","7","0","0","0","0","2","10/18/16 10:10:07","Matching Tasks","yes","","Simulation2016_EXP02V2.1.0.osexp","D:\Users\ebluser\Desktop\CSC","no","chinese-japanese-korean","no","18","no","white","no","Chinese","yes","768","legacy","yes","no","no","7","7","3","5","C_P-03.csv","xpyriment","Jazzy James","3.1.2","0","0","f","NA","NA","NA","space","space","NA","NA","space","f","j","NA","NA","NA","space","1163","NA","NA","NA","1320","1989","NA","NA","30586","1163","584","NA","NA","NA","115871","2","legacy","1024","2","48000","-16","EXP02","3","odd","52661","NA","4737","NA","NA","NA","NA","263728","NA","NA","263728","NA","NA","307886","229088","4737","263728","NA","NA","168548","233058","NA","NA","201597","NA","NA","229082","201598","NA","NA","201597","NA","NA","168548","NA","NA","308903","230106","230106","308903","310905","231440","233141","NA","NA","233141","311423","231957","311423","231957","312607","232557","NA","201031","294059","200514","307872","NA","313107","52677","NA","NA","52677","263728","Simulation2016_EXP02","13","206437","36","yes","1024"
"C_List03.csv","Y","H","停車場閘門擋住準備繳費的車子","L","STI_EXP02/LARGE/gate_arms_H.jpg","35.1351351351","35.1351351351","5541.78947368","5541.78947368","black","yes","xpyriment","legacy","legacy","0","uniform","0","0","0","0","0","1","undefined","6","j","0","0","0","0","0","0","0","0","0","0","0","0","0","8","8","0","0","0","0","0","8","0","0","2","NA","NA","8","2","NA","NA","2","NA","NA","0","0","0","8","8","8","8","8","8","0","0","0","0","8","8","8","8","8","8","8","8","8","8","8","NA","8","0","0","0","0","2","10/18/16 10:10:07","Matching Tasks","yes","","Simulation2016_EXP02V2.1.0.osexp","D:\Users\ebluser\Desktop\CSC","no","chinese-japanese-korean","no","18","no","white","no","Chinese","yes","768","legacy","yes","no","no","8","8","3","5","C_P-03.csv","xpyriment","Jazzy James","3.1.2","0","0","f","NA","NA","NA","space","space","NA","NA","space","f","j","NA","NA","NA","space","1082","NA","NA","NA","1320","3069","NA","NA","30586","1082","584","NA","NA","NA","115871","2","legacy","1024","2","48000","-16","EXP02","3","odd","52661","NA","4737","NA","NA","NA","NA","263728","NA","NA","263728","NA","NA","314075","229088","4737","263728","NA","NA","168548","233058","NA","NA","201597","NA","NA","229082","201598","NA","NA","201597","NA","NA","168548","NA","NA","315092","230106","230106","315092","318178","231440","233141","NA","NA","233141","318695","231957","318695","231957","312607","232557","NA","201031","319796","200514","314055","NA","320296","52677","NA","NA","52677","263728","Simulation2016_EXP02","13","210588","38","yes","1024"
"C_List03.csv","N","V","那座釣橋橫跨護城河","L","STI_EXP02/LARGE/Drawbridge_V.jpg","33.3333333333","33.3333333333","5365.15","5365.15","black","yes","xpyriment","legacy","legacy","0","uniform","0","0","0","0","0","1","undefined","6","j","0","0","0","0","0","0","0","0","0","0","0","0","0","9","8","0","0","0","0","0","8","0","0","2","NA","NA","8","2","NA","NA","2","NA","NA","0","0","0","9","8","8","9","9","8","0","0","0","0","9","8","9","8","9","8","9","8","9","8","9","NA","9","0","0","0","0","2","10/18/16 10:10:07","Matching Tasks","yes","","Simulation2016_EXP02V2.1.0.osexp","D:\Users\ebluser\Desktop\CSC","no","chinese-japanese-korean","no","18","no","white","no","Chinese","yes","768","legacy","yes","no","no","9","9","3","5","C_P-03.csv","xpyriment","Jazzy James","3.1.2","0","0","f","NA","NA","NA","space","space","NA","NA","space","f","j","NA","NA","NA","space","1118","NA","NA","NA","1320","2900","NA","NA","30586","1118","584","NA","NA","NA","115871","2","legacy","1024","2","48000","-16","EXP02","3","odd","52661","NA","4737","NA","NA","NA","NA","263728","NA","NA","263728","NA","NA","321280","229088","4737","263728","NA","NA","168548","233058","NA","NA","201597","NA","NA","229082","201598","NA","NA","201597","NA","NA","168548","NA","NA","322298","230106","230106","322298","325217","231440","233141","NA","NA","233141","325734","231957","325734","231957","312607","232557","NA","201031","326868","200514","321262","NA","327368","52677","NA","NA","52677","263728","Simulation2016_EXP02","13","214606","40","yes","1024"
