List1,List2,List3,List4,Match,Pic,Probe,Target,acc,accuracy,average_response_time,avg_rt,background,bidi,canvas_backend,clock_backend,color_backend,compensation,condition1,condition2,condition3,condition4,coordinates,correct,correct_Probe_response_C,correct_Probe_response_E,correct_Response_Q1,correct_Response_Q2,correct_Response_Q3,correct_Target_response_C,correct_Target_response_E,correct_response,count_1st_Move_Prac_loop_C,count_1st_Move_Prac_loop_E,count_1st_Move_seq_C,count_1st_Move_seq_E,count_1st_Observe_Prac_loop_C,count_1st_Observe_Prac_loop_E,count_1st_Observe_seq_C,count_1st_Observe_seq_E,count_3rd_Move_Prac_loop_C,count_3rd_Move_Prac_loop_E,count_3rd_Move_seq_C,count_3rd_Move_seq_E,count_3rd_Observe_Prac_loop_C,count_3rd_Observe_Prac_loop_E,count_3rd_Observe_seq_C,count_3rd_Observe_seq_E,count_Afer_Experiment,count_Chinese,count_Condition_Selection_C,count_Condition_Selection_E,count_EXP01,count_End_C,count_End_E,count_English,count_First_Fixation_C,count_First_Fixation_E,count_Language_Selection,count_List01_loop_C1,count_List01_loop_C2,count_List01_loop_C3,count_List01_loop_C4,count_List01_loop_E1,count_List01_loop_E2,count_List01_loop_E3,count_List01_loop_E4,count_List02_loop_C1,count_List02_loop_C2,count_List02_loop_C3,count_List02_loop_C4,count_List02_loop_E1,count_List02_loop_E2,count_List02_loop_E3,count_List02_loop_E4,count_List03_loop_C1,count_List03_loop_C2,count_List03_loop_C3,count_List03_loop_C4,count_List03_loop_E1,count_List03_loop_E2,count_List03_loop_E3,count_List03_loop_E4,count_List04_loop_C1,count_List04_loop_C2,count_List04_loop_C3,count_List04_loop_C4,count_List04_loop_E1,count_List04_loop_E2,count_List04_loop_E3,count_List04_loop_E4,count_List_Selection_cond1_C,count_List_Selection_cond1_E,count_List_Selection_cond2_C,count_List_Selection_cond2_E,count_List_Selection_cond3_C,count_List_Selection_cond3_E,count_List_Selection_cond4_C,count_List_Selection_cond4_E,count_Prac_seq_C,count_Prac_seq_E,count_Probe_C,count_Probe_E,count_Probe_response_C,count_Probe_response_E,count_Q1,count_Q2,count_Q3,count_Q4,count_Ready_C,count_Ready_E,count_Response_Q1,count_Response_Q2,count_Response_Q3,count_Second_Fixation_C,count_Second_Fixation_E,count_Start_C,count_Start_E,count_Target_C,count_Target_E,count_Target_response_C,count_Target_response_E,count_Target_response_correct_C,count_Target_response_correct_E,count_Target_response_noans_C,count_Target_response_noans_E,count_Target_response_wrong_C,count_Target_response_wrong_E,count_Trial_Break_C,count_Trial_Break_E,count_Trial_C,count_Trial_E,count_Trial_logger_C,count_Trial_logger_E,count_Welcome_C,count_Welcome_E,datetime,description,experiment_file,experiment_path,font_bold,font_family,font_italic,font_size,foreground,form_response,fullscreen,height,keyboard_backend,language1,language2,logfile,mouse_backend,opensesame_codename,opensesame_version,repeat_cycle,response,response_End_C,response_End_E,response_Probe_response_C,response_Probe_response_E,response_Q4,response_Ready_C,response_Ready_E,response_Response_Q1,response_Response_Q2,response_Response_Q3,response_Start_C,response_Start_E,response_Target_response_C,response_Target_response_E,response_Trial_Break_C,response_Trial_Break_E,response_Welcome_C,response_Welcome_E,response_time,response_time_End_C,response_time_End_E,response_time_Probe_response_C,response_time_Probe_response_E,response_time_Q4,response_time_Ready_C,response_time_Ready_E,response_time_Response_Q1,response_time_Response_Q2,response_time_Response_Q3,response_time_Start_C,response_time_Start_E,response_time_Target_response_C,response_time_Target_response_E,response_time_Trial_Break_C,response_time_Trial_Break_E,response_time_Welcome_C,response_time_Welcome_E,sampler_backend,size,start,subject_nr,subject_parity,time_1st_Move_Prac_loop_C,time_1st_Move_Prac_loop_E,time_1st_Move_seq_C,time_1st_Move_seq_E,time_1st_Observe_Prac_loop_C,time_1st_Observe_Prac_loop_E,time_1st_Observe_seq_C,time_1st_Observe_seq_E,time_3rd_Move_Prac_loop_C,time_3rd_Move_Prac_loop_E,time_3rd_Move_seq_C,time_3rd_Move_seq_E,time_3rd_Observe_Prac_loop_C,time_3rd_Observe_Prac_loop_E,time_3rd_Observe_seq_C,time_3rd_Observe_seq_E,time_Afer_Experiment,time_Chinese,time_Condition_Selection_C,time_Condition_Selection_E,time_EXP01,time_End_C,time_End_E,time_English,time_First_Fixation_C,time_First_Fixation_E,time_Language_Selection,time_List01_loop_C1,time_List01_loop_C2,time_List01_loop_C3,time_List01_loop_C4,time_List01_loop_E1,time_List01_loop_E2,time_List01_loop_E3,time_List01_loop_E4,time_List02_loop_C1,time_List02_loop_C2,time_List02_loop_C3,time_List02_loop_C4,time_List02_loop_E1,time_List02_loop_E2,time_List02_loop_E3,time_List02_loop_E4,time_List03_loop_C1,time_List03_loop_C2,time_List03_loop_C3,time_List03_loop_C4,time_List03_loop_E1,time_List03_loop_E2,time_List03_loop_E3,time_List03_loop_E4,time_List04_loop_C1,time_List04_loop_C2,time_List04_loop_C3,time_List04_loop_C4,time_List04_loop_E1,time_List04_loop_E2,time_List04_loop_E3,time_List04_loop_E4,time_List_Selection_cond1_C,time_List_Selection_cond1_E,time_List_Selection_cond2_C,time_List_Selection_cond2_E,time_List_Selection_cond3_C,time_List_Selection_cond3_E,time_List_Selection_cond4_C,time_List_Selection_cond4_E,time_Prac_seq_C,time_Prac_seq_E,time_Probe_C,time_Probe_E,time_Probe_response_C,time_Probe_response_E,time_Q1,time_Q2,time_Q3,time_Q4,time_Ready_C,time_Ready_E,time_Response_Q1,time_Response_Q2,time_Response_Q3,time_Second_Fixation_C,time_Second_Fixation_E,time_Start_C,time_Start_E,time_Target_C,time_Target_E,time_Target_response_C,time_Target_response_E,time_Target_response_correct_C,time_Target_response_correct_E,time_Target_response_noans_C,time_Target_response_noans_E,time_Target_response_wrong_C,time_Target_response_wrong_E,time_Trial_Break_C,time_Trial_Break_E,time_Trial_C,time_Trial_E,time_Trial_logger_C,time_Trial_logger_E,time_Welcome_C,time_Welcome_E,title,total_correct,total_response_time,total_responses,uniform_coordinates,width
no,no,no,no,NA,NA,I see the unpacked cokkies.,STI/Prac-03.jpg,0,0,2651,2651,black,yes,xpyriment,legacy,legacy,0,yes,no,no,no,uniform,0,NA,0,NA,NA,NA,NA,0,z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,NA,0,NA,0,0,0,04/13/16 10:06:00,Matching Tasks,Simulation2016_EXP01V1.3.0.osexp,D:\Users\ebluser\Desktop\CSC_SIM,no,chinese-japanese-korean,no,18,white,1st_Observe,yes,768,legacy,no,yes,E-C1-L1-001.csv,xpyriment,Interactive Ising,3.0.7,0,None,NA,NA,NA,space,NA,NA,NA,NA,NA,NA,NA,NA,NA,None,NA,NA,NA,space,1500,NA,NA,NA,3802,NA,NA,NA,NA,NA,NA,NA,NA,NA,1500,NA,NA,NA,93301,legacy,NA,EXP01,1,odd,NA,NA,NA,NA,NA,105109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9826,8300,NA,NA,9826,NA,106419,8300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105108,NA,107436,NA,107436,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,111256,NA,NA,NA,111773,NA,111773,NA,NA,NA,113808,NA,113291,NA,NA,NA,106399,NA,114308,NA,11807,Simulation2016_EXP01,0,5302,2,yes,1024
no,no,no,no,NA,NA,I see the galss vase.,STI/Prac-02.jpg,25,25,2141,2141,black,yes,xpyriment,legacy,legacy,0,yes,no,no,no,uniform,1,NA,0,NA,NA,NA,NA,1,/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,NA,1,0,0,0,0,0,0,0,0,0,NA,1,0,0,NA,1,NA,1,NA,1,NA,1,NA,1,NA,NA,NA,1,NA,1,0,0,04/13/16 10:06:00,Matching Tasks,Simulation2016_EXP01V1.3.0.osexp,D:\Users\ebluser\Desktop\CSC_SIM,no,chinese-japanese-korean,no,18,white,1st_Observe,yes,768,legacy,no,yes,E-C1-L1-001.csv,xpyriment,Interactive Ising,3.0.7,0,/,NA,NA,NA,space,NA,NA,NA,NA,NA,NA,NA,NA,NA,/,NA,NA,NA,space,1238,NA,NA,NA,2027,NA,NA,NA,NA,NA,NA,NA,NA,NA,1238,NA,NA,NA,93301,legacy,NA,EXP01,1,odd,NA,NA,NA,NA,NA,105109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9826,8300,NA,NA,9826,NA,115743,8300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105108,NA,116760,NA,116760,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,118795,NA,NA,NA,119312,NA,119312,NA,120564,NA,113808,NA,113291,NA,NA,NA,115735,NA,121064,NA,11807,Simulation2016_EXP01,1,8567,4,yes,1024
no,no,no,no,NA,NA,I see the table filled with stuff.,STI/Prac-01.jpg,16.6666666667,16.6666666667,1877,1877,black,yes,xpyriment,legacy,legacy,0,yes,no,no,no,uniform,0,NA,0,NA,NA,NA,NA,0,/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,2,NA,2,0,0,0,0,0,0,0,0,0,NA,2,0,0,NA,2,NA,2,NA,2,NA,2,NA,2,NA,NA,NA,2,NA,2,0,0,04/13/16 10:06:00,Matching Tasks,Simulation2016_EXP01V1.3.0.osexp,D:\Users\ebluser\Desktop\CSC_SIM,no,chinese-japanese-korean,no,18,white,1st_Observe,yes,768,legacy,no,yes,E-C1-L1-001.csv,xpyriment,Interactive Ising,3.0.7,0,z,NA,NA,NA,space,NA,NA,NA,NA,NA,NA,NA,NA,NA,z,NA,NA,NA,space,701,NA,NA,NA,1994,NA,NA,NA,NA,NA,NA,NA,NA,NA,701,NA,NA,NA,93301,legacy,NA,EXP01,1,odd,NA,NA,NA,NA,NA,105109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9826,8300,NA,NA,9826,NA,122482,8300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105108,NA,123499,NA,123499,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,125501,NA,NA,NA,126018,NA,126018,NA,120564,NA,113808,NA,126735,NA,NA,NA,122473,NA,127235,NA,11807,Simulation2016_EXP01,1,11262,6,yes,1024
no,no,no,no,NA,NA,I see the dirty dish.,STI/Prac-04.jpg,25,25,2158,2158,black,yes,xpyriment,legacy,legacy,0,yes,no,no,no,uniform,1,NA,0,NA,NA,NA,NA,1,z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,3,NA,3,0,0,0,0,0,0,0,0,0,NA,3,0,0,NA,3,NA,3,NA,3,NA,3,NA,3,NA,NA,NA,3,NA,3,0,0,04/13/16 10:06:00,Matching Tasks,Simulation2016_EXP01V1.3.0.osexp,D:\Users\ebluser\Desktop\CSC_SIM,no,chinese-japanese-korean,no,18,white,1st_Observe,yes,768,legacy,no,yes,E-C1-L1-001.csv,xpyriment,Interactive Ising,3.0.7,0,z,NA,NA,NA,space,NA,NA,NA,NA,NA,NA,NA,NA,NA,z,NA,NA,NA,space,1082,NA,NA,NA,4927,NA,NA,NA,NA,NA,NA,NA,NA,NA,1082,NA,NA,NA,93301,legacy,NA,EXP01,1,odd,NA,NA,NA,NA,NA,105109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9826,8300,NA,NA,9826,NA,128687,8300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105108,NA,129704,NA,129704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,134641,NA,NA,NA,135158,NA,135159,NA,136259,NA,113808,NA,126735,NA,NA,NA,128671,NA,136759,NA,11807,Simulation2016_EXP01,2,17271,8,yes,1024
yes,no,no,no,D,P,I see the scarf dorped on the ground.,STI/105-crevette_shrimp.jpg,30,30,2133,2133,black,yes,xpyriment,legacy,legacy,0,yes,no,no,no,uniform,1,NA,0,NA,NA,NA,NA,1,z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,4,NA,4,0,0,0,0,0,0,0,0,0,NA,4,0,0,NA,4,NA,4,NA,4,NA,4,NA,4,NA,NA,NA,4,NA,4,0,0,04/13/16 10:06:00,Matching Tasks,Simulation2016_EXP01V1.3.0.osexp,D:\Users\ebluser\Desktop\CSC_SIM,no,chinese-japanese-korean,no,18,white,LIST01,yes,768,legacy,no,yes,E-C1-L1-001.csv,xpyriment,Interactive Ising,3.0.7,0,z,NA,NA,NA,space,NA,NA,space,NA,NA,NA,NA,space,NA,z,NA,NA,NA,space,739,NA,NA,NA,3328,NA,NA,34327,NA,NA,NA,NA,8513,NA,739,NA,NA,NA,93301,legacy,D,EXP01,1,odd,NA,NA,NA,NA,NA,105109,NA,145323,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9826,8300,NA,NA,9826,NA,183015,8300,NA,NA,NA,NA,181613,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,145323,NA,NA,NA,NA,NA,NA,NA,105108,NA,184032,NA,184032,NA,NA,NA,NA,NA,147285,NA,NA,NA,NA,187368,NA,136810,NA,187885,NA,187885,NA,188636,NA,113808,NA,126735,NA,NA,NA,183008,NA,189136,NA,11807,Simulation2016_EXP01,3,21338,10,yes,1024
yes,no,no,no,N,D,I see the falling roadster.,STI/convertible.jpg,33.3333333333,33.3333333333,2235,2235,black,yes,xpyriment,legacy,legacy,0,yes,no,no,no,uniform,1,NA,0,NA,NA,NA,NA,1,/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,5,NA,5,0,0,0,0,0,0,0,0,0,NA,5,0,0,NA,5,NA,5,NA,5,NA,5,NA,5,NA,NA,NA,5,NA,5,0,0,04/13/16 10:06:00,Matching Tasks,Simulation2016_EXP01V1.3.0.osexp,D:\Users\ebluser\Desktop\CSC_SIM,no,chinese-japanese-korean,no,18,white,LIST01,yes,768,legacy,no,yes,E-C1-L1-001.csv,xpyriment,Interactive Ising,3.0.7,0,/,NA,NA,NA,space,NA,NA,space,NA,NA,NA,NA,space,NA,/,NA,NA,NA,space,997,NA,NA,NA,4485,NA,NA,34327,NA,NA,NA,NA,8513,NA,997,NA,NA,NA,93301,legacy,L,EXP01,1,odd,NA,NA,NA,NA,NA,105109,NA,145323,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9826,8300,NA,NA,9826,NA,190667,8300,NA,NA,NA,NA,181613,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,145323,NA,NA,NA,NA,NA,NA,NA,105108,NA,191689,NA,191689,NA,NA,NA,NA,NA,147285,NA,NA,NA,NA,196193,NA,136810,NA,196710,NA,196710,NA,197727,NA,113808,NA,126735,NA,NA,NA,190641,NA,198227,NA,11807,Simulation2016_EXP01,4,26820,12,yes,1024
yes,no,no,no,D,P,I see the cap on the table.,STI/166-klaxon_horn.jpg,35.7142857143,35.7142857143,2080,2080,black,yes,xpyriment,legacy,legacy,0,yes,no,no,no,uniform,1,NA,0,NA,NA,NA,NA,1,z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,6,NA,6,0,0,0,0,0,0,0,0,0,NA,6,0,0,NA,6,NA,6,NA,6,NA,6,NA,6,NA,NA,NA,6,NA,6,0,0,04/13/16 10:06:00,Matching Tasks,Simulation2016_EXP01V1.3.0.osexp,D:\Users\ebluser\Desktop\CSC_SIM,no,chinese-japanese-korean,no,18,white,LIST01,yes,768,legacy,no,yes,E-C1-L1-001.csv,xpyriment,Interactive Ising,3.0.7,0,z,NA,NA,NA,space,NA,NA,space,NA,NA,NA,NA,space,NA,z,NA,NA,NA,space,726,NA,NA,NA,1587,NA,NA,34327,NA,NA,NA,NA,8513,NA,726,NA,NA,NA,93301,legacy,D,EXP01,1,odd,NA,NA,NA,NA,NA,105109,NA,145323,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9826,8300,NA,NA,9826,NA,200046,8300,NA,NA,NA,NA,181613,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,145323,NA,NA,NA,NA,NA,NA,NA,105108,NA,201063,NA,201063,NA,NA,NA,NA,NA,147285,NA,NA,NA,NA,202664,NA,136810,NA,203265,NA,203265,NA,204115,NA,113808,NA,126735,NA,NA,NA,199958,NA,204615,NA,11807,Simulation2016_EXP01,5,29133,14,yes,1024
yes,no,no,no,Y,R,I see the basketball stand lay on the ground.,STI/basketballhoop01_r.jpg,31.25,31.25,2005,2005,black,yes,xpyriment,legacy,legacy,0,yes,no,no,no,uniform,0,NA,0,NA,NA,NA,NA,0,/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,7,NA,7,0,0,0,0,0,0,0,0,0,NA,7,0,0,NA,7,NA,7,NA,7,NA,7,NA,7,NA,NA,NA,7,NA,7,0,0,04/13/16 10:06:00,Matching Tasks,Simulation2016_EXP01V1.3.0.osexp,D:\Users\ebluser\Desktop\CSC_SIM,no,chinese-japanese-korean,no,18,white,LIST01,yes,768,legacy,no,yes,E-C1-L1-001.csv,xpyriment,Interactive Ising,3.0.7,0,z,NA,NA,NA,space,NA,NA,space,NA,NA,NA,NA,space,NA,z,NA,NA,NA,space,1229,NA,NA,NA,1719,NA,NA,34327,NA,NA,NA,NA,8513,NA,1229,NA,NA,NA,93301,legacy,L,EXP01,1,odd,NA,NA,NA,NA,NA,105109,NA,145323,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9826,8300,NA,NA,9826,NA,206084,8300,NA,NA,NA,NA,181613,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,145323,NA,NA,NA,NA,NA,NA,NA,105108,NA,207101,NA,207101,NA,NA,NA,NA,NA,147285,NA,NA,NA,NA,208837,NA,136810,NA,209354,NA,209354,NA,204115,NA,113808,NA,210605,NA,NA,NA,206060,NA,211105,NA,11807,Simulation2016_EXP01,5,32081,16,yes,1024
yes,no,no,no,N,R,I see the tanker truck that is coming to me.,STI/tankertruck_r.jpg,33.3333333333,33.3333333333,2002,2002,black,yes,xpyriment,legacy,legacy,0,yes,no,no,no,uniform,1,NA,0,NA,NA,NA,NA,1,/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,8,NA,8,0,0,0,0,0,0,0,0,0,NA,8,0,0,NA,8,NA,8,NA,8,NA,8,NA,8,NA,NA,NA,8,NA,8,0,0,04/13/16 10:06:00,Matching Tasks,Simulation2016_EXP01V1.3.0.osexp,D:\Users\ebluser\Desktop\CSC_SIM,no,chinese-japanese-korean,no,18,white,LIST01,yes,768,legacy,no,yes,E-C1-L1-001.csv,xpyriment,Interactive Ising,3.0.7,0,/,NA,NA,NA,space,NA,NA,space,NA,NA,NA,NA,space,NA,/,NA,NA,NA,space,616,NA,NA,NA,3354,NA,NA,34327,NA,NA,NA,NA,8513,NA,616,NA,NA,NA,93301,legacy,L,EXP01,1,odd,NA,NA,NA,NA,NA,105109,NA,145323,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9826,8300,NA,NA,9826,NA,212573,8300,NA,NA,NA,NA,181613,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,145323,NA,NA,NA,NA,NA,NA,NA,105108,NA,213590,NA,213590,NA,NA,NA,NA,NA,147285,NA,NA,NA,NA,216960,NA,136810,NA,217477,NA,217477,NA,218110,NA,113808,NA,210605,NA,NA,NA,212564,NA,218610,NA,11807,Simulation2016_EXP01,6,36051,18,yes,1024
yes,no,no,no,Y,R,I see the spoon hanged on the rack.,STI/measuringspoon_r.jpg,30,30,1981,1981,black,yes,xpyriment,legacy,legacy,0,yes,no,no,no,uniform,0,NA,0,NA,NA,NA,NA,0,/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,9,NA,9,0,0,0,0,0,0,0,0,0,NA,9,0,0,NA,9,NA,9,NA,9,NA,9,NA,9,NA,NA,NA,9,NA,9,0,0,04/13/16 10:06:00,Matching Tasks,Simulation2016_EXP01V1.3.0.osexp,D:\Users\ebluser\Desktop\CSC_SIM,no,chinese-japanese-korean,no,18,white,LIST01,yes,768,legacy,no,yes,E-C1-L1-001.csv,xpyriment,Interactive Ising,3.0.7,0,z,NA,NA,NA,space,NA,NA,space,NA,NA,NA,NA,space,NA,z,NA,NA,NA,space,882,NA,NA,NA,2699,NA,NA,34327,NA,NA,NA,NA,8513,NA,882,NA,NA,NA,93301,legacy,S,EXP01,1,odd,NA,NA,NA,NA,NA,105109,NA,145323,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9826,8300,NA,NA,9826,NA,220029,8300,NA,NA,NA,NA,181613,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,145323,NA,NA,NA,NA,NA,NA,NA,105108,NA,221046,NA,221046,NA,NA,NA,NA,NA,147285,NA,NA,NA,NA,223765,NA,136810,NA,224282,NA,224282,NA,218110,NA,113808,NA,225183,NA,NA,NA,220006,NA,225684,NA,11807,Simulation2016_EXP01,6,39632,20,yes,1024
