"List1","List2","List3","List4","Match","Pic","Probe","Target","acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compensation","condition1","condition2","condition3","condition4","coordinates","correct","correct_Probe_response_C","correct_Probe_response_E","correct_Target_response_C","correct_Target_response_E","correct_response","count_1st_Move_Prac_loop_C","count_1st_Move_Prac_loop_E","count_1st_Move_seq_C","count_1st_Move_seq_E","count_1st_Observe_Prac_loop_C","count_1st_Observe_Prac_loop_E","count_1st_Observe_seq_C","count_1st_Observe_seq_E","count_3rd_Move_Prac_loop_C","count_3rd_Move_Prac_loop_E","count_3rd_Move_seq_C","count_3rd_Move_seq_E","count_3rd_Observe_Prac_loop_C","count_3rd_Observe_Prac_loop_E","count_3rd_Observe_seq_C","count_3rd_Observe_seq_E","count_Chinese","count_Condition_Selection_C","count_Condition_Selection_E","count_EXP01","count_End_C","count_End_E","count_English","count_First_Fixation_C","count_First_Fixation_E","count_Language_Selection","count_List01_loop_C1","count_List01_loop_C2","count_List01_loop_C3","count_List01_loop_C4","count_List01_loop_E1","count_List01_loop_E2","count_List01_loop_E3","count_List01_loop_E4","count_List02_loop_C1","count_List02_loop_C2","count_List02_loop_C3","count_List02_loop_C4","count_List02_loop_E1","count_List02_loop_E2","count_List02_loop_E3","count_List02_loop_E4","count_List03_loop_C1","count_List03_loop_C2","count_List03_loop_C3","count_List03_loop_C4","count_List03_loop_E1","count_List03_loop_E2","count_List03_loop_E3","count_List03_loop_E4","count_List04_loop_C1","count_List04_loop_C2","count_List04_loop_C3","count_List04_loop_C4","count_List04_loop_E1","count_List04_loop_E2","count_List04_loop_E3","count_List04_loop_E4","count_List_Selection_cond1_C","count_List_Selection_cond1_E","count_List_Selection_cond2_C","count_List_Selection_cond2_E","count_List_Selection_cond3_C","count_List_Selection_cond3_E","count_List_Selection_cond4_C","count_List_Selection_cond4_E","count_Prac_seq_C","count_Prac_seq_E","count_Probe_C","count_Probe_E","count_Probe_response_C","count_Probe_response_E","count_Second_Fixation_C","count_Second_Fixation_E","count_Start_C","count_Start_E","count_Target_C","count_Target_E","count_Target_response_C","count_Target_response_E","count_Target_response_correct_C","count_Target_response_correct_E","count_Target_response_noans_C","count_Target_response_noans_E","count_Target_response_wrong_C","count_Target_response_wrong_E","count_Trial_Break_C","count_Trial_Break_E","count_Trial_C","count_Trial_E","count_Trial_logger_C","count_Trial_logger_E","count_Welcome_C","count_Welcome_E","datetime","description","experiment_path","font_bold","font_family","font_italic","font_size","foreground","form_response","height","keyboard_backend","language1","language2","logfile","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_End_C","response_End_E","response_Probe_response_C","response_Probe_response_E","response_Start_C","response_Start_E","response_Target_response_C","response_Target_response_E","response_Trial_Break_C","response_Trial_Break_E","response_Welcome_C","response_Welcome_E","response_time","response_time_End_C","response_time_End_E","response_time_Probe_response_C","response_time_Probe_response_E","response_time_Start_C","response_time_Start_E","response_time_Target_response_C","response_time_Target_response_E","response_time_Trial_Break_C","response_time_Trial_Break_E","response_time_Welcome_C","response_time_Welcome_E","sampler_backend","size","start","subject_nr","subject_parity","time_1st_Move_Prac_loop_C","time_1st_Move_Prac_loop_E","time_1st_Move_seq_C","time_1st_Move_seq_E","time_1st_Observe_Prac_loop_C","time_1st_Observe_Prac_loop_E","time_1st_Observe_seq_C","time_1st_Observe_seq_E","time_3rd_Move_Prac_loop_C","time_3rd_Move_Prac_loop_E","time_3rd_Move_seq_C","time_3rd_Move_seq_E","time_3rd_Observe_Prac_loop_C","time_3rd_Observe_Prac_loop_E","time_3rd_Observe_seq_C","time_3rd_Observe_seq_E","time_Chinese","time_Condition_Selection_C","time_Condition_Selection_E","time_EXP01","time_End_C","time_End_E","time_English","time_First_Fixation_C","time_First_Fixation_E","time_Language_Selection","time_List01_loop_C1","time_List01_loop_C2","time_List01_loop_C3","time_List01_loop_C4","time_List01_loop_E1","time_List01_loop_E2","time_List01_loop_E3","time_List01_loop_E4","time_List02_loop_C1","time_List02_loop_C2","time_List02_loop_C3","time_List02_loop_C4","time_List02_loop_E1","time_List02_loop_E2","time_List02_loop_E3","time_List02_loop_E4","time_List03_loop_C1","time_List03_loop_C2","time_List03_loop_C3","time_List03_loop_C4","time_List03_loop_E1","time_List03_loop_E2","time_List03_loop_E3","time_List03_loop_E4","time_List04_loop_C1","time_List04_loop_C2","time_List04_loop_C3","time_List04_loop_C4","time_List04_loop_E1","time_List04_loop_E2","time_List04_loop_E3","time_List04_loop_E4","time_List_Selection_cond1_C","time_List_Selection_cond1_E","time_List_Selection_cond2_C","time_List_Selection_cond2_E","time_List_Selection_cond3_C","time_List_Selection_cond3_E","time_List_Selection_cond4_C","time_List_Selection_cond4_E","time_Prac_seq_C","time_Prac_seq_E","time_Probe_C","time_Probe_E","time_Probe_response_C","time_Probe_response_E","time_Second_Fixation_C","time_Second_Fixation_E","time_Start_C","time_Start_E","time_Target_C","time_Target_E","time_Target_response_C","time_Target_response_E","time_Target_response_correct_C","time_Target_response_correct_E","time_Target_response_noans_C","time_Target_response_noans_E","time_Target_response_wrong_C","time_Target_response_wrong_E","time_Trial_Break_C","time_Trial_Break_E","time_Trial_C","time_Trial_E","time_Trial_logger_C","time_Trial_logger_E","time_Welcome_C","time_Welcome_E","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"no","no","no","no","NA","NA","我看到要清洗的盤子","STI/Prac-04.jpg","0","0","1583","1583","black","no","xpyriment","legacy","legacy","0","yes","no","no","no","uniform","0","0","NA","0","NA","z","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","0","NA","0","NA","0","0","0","NA","0","NA","0","NA","0","NA","0","NA","NA","NA","0","NA","0","NA","0","0","04/21/16 12:41:37","Matching Tasks","C:/Users/60941sch/EXPs/SIM2016","no","chinese-japanese-korean","no","18","white","第一觀","768","legacy","yes","no","C-C1-L2-015","xpyriment","Interactive Ising","3.0.5","0","None","NA","NA","space","NA","NA","NA","None","NA","NA","NA","space","NA","1500","NA","NA","1667","NA","NA","NA","1500","NA","NA","NA","1724","NA","legacy","NA","EXP01","0","even","NA","NA","NA","NA","41063","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","38390","38390","NA","2371","NA","NA","NA","41753","NA","2371","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","41063","NA","42786","NA","42787","NA","44485","NA","NA","NA","45018","NA","45018","NA","NA","NA","47083","NA","46550","NA","NA","NA","41744","NA","47583","NA","39338","NA","Simulation2016_EXP01","0","3167","2","yes","1024"
"no","no","no","no","NA","NA","我看到玻璃做的花瓶","STI/Prac-02.jpg","0","0","1190","1190","black","no","xpyriment","legacy","legacy","0","yes","no","no","no","uniform","0","0","NA","0","NA","/","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","NA","1","NA","1","NA","0","0","1","NA","1","NA","1","NA","1","NA","1","NA","NA","NA","1","NA","1","NA","0","0","04/21/16 12:41:37","Matching Tasks","C:/Users/60941sch/EXPs/SIM2016","no","chinese-japanese-korean","no","18","white","第一觀","768","legacy","yes","no","C-C1-L2-015","xpyriment","Interactive Ising","3.0.5","0","None","NA","NA","space","NA","NA","NA","None","NA","NA","NA","space","NA","1500","NA","NA","94","NA","NA","NA","1500","NA","NA","NA","1724","NA","legacy","NA","EXP01","0","even","NA","NA","NA","NA","41063","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","38390","38390","NA","2371","NA","NA","NA","48399","NA","2371","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","41063","NA","49432","NA","49432","NA","49548","NA","NA","NA","50081","NA","50081","NA","NA","NA","52147","NA","51614","NA","NA","NA","48375","NA","52647","NA","39338","NA","Simulation2016_EXP01","0","4761","4","yes","1024"
"no","no","no","no","NA","NA","我看到沒人吃過的餅乾","STI/Prac-03.jpg","16.6666666667","16.6666666667","1252","1252","black","no","xpyriment","legacy","legacy","0","yes","no","no","no","uniform","1","0","NA","1","NA","z","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","NA","2","NA","2","NA","0","0","2","NA","2","NA","2","NA","2","NA","2","NA","NA","NA","2","NA","2","NA","0","0","04/21/16 12:41:37","Matching Tasks","C:/Users/60941sch/EXPs/SIM2016","no","chinese-japanese-korean","no","18","white","第一觀","768","legacy","yes","no","C-C1-L2-015","xpyriment","Interactive Ising","3.0.5","0","z","NA","NA","space","NA","NA","NA","z","NA","NA","NA","space","NA","889","NA","NA","1865","NA","NA","NA","889","NA","NA","NA","1724","NA","legacy","NA","EXP01","0","even","NA","NA","NA","NA","41063","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","38390","38390","NA","2371","NA","NA","NA","53412","NA","2371","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","41063","NA","54445","NA","54445","NA","56344","NA","NA","NA","56876","NA","56877","NA","57793","NA","52147","NA","51614","NA","NA","NA","53390","NA","58293","NA","39338","NA","Simulation2016_EXP01","1","7515","6","yes","1024"
"no","no","no","no","NA","NA","我看 到放滿東西的桌子","STI/Prac-01.jpg","25","25","1204","1204","black","no","xpyriment","legacy","legacy","0","yes","no","no","no","uniform","1","0","NA","1","NA","/","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","NA","3","NA","3","NA","0","0","3","NA","3","NA","3","NA","3","NA","3","NA","NA","NA","3","NA","3","NA","0","0","04/21/16 12:41:37","Matching Tasks","C:/Users/60941sch/EXPs/SIM2016","no","chinese-japanese-korean","no","18","white","第一觀","768","legacy","yes","no","C-C1-L2-015","xpyriment","Interactive Ising","3.0.5","0","/","NA","NA","space","NA","NA","NA","/","NA","NA","NA","space","NA","750","NA","NA","1371","NA","NA","NA","750","NA","NA","NA","1724","NA","legacy","NA","EXP01","0","even","NA","NA","NA","NA","41063","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","38390","38390","NA","2371","NA","NA","NA","59059","NA","2371","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","41063","NA","60091","NA","60091","NA","61491","NA","NA","NA","62024","NA","62024","NA","62806","NA","52147","NA","51614","NA","NA","NA","59030","NA","63306","NA","39338","NA","Simulation2016_EXP01","2","9636","8","yes","1024"
"no","yes","no","no","Y","R","我看見一輛摔到山崖下的露營車","STI/064-camping-car_camper_r.jpg","30","30","1146","1146","black","no","xpyriment","legacy","legacy","0","yes","no","no","no","uniform","1","0","NA","1","NA","/","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","NA","4","NA","4","NA","0","0","4","NA","4","NA","4","NA","4","NA","4","NA","NA","NA","4","NA","4","NA","0","0","04/21/16 12:41:37","Matching Tasks","C:/Users/60941sch/EXPs/SIM2016","no","chinese-japanese-korean","no","18","white","列表2","768","legacy","yes","no","C-C1-L2-015","xpyriment","Interactive Ising","3.0.5","0","/","NA","NA","space","NA","space","NA","/","NA","NA","NA","space","NA","649","NA","NA","1182","NA","1018","NA","649","NA","NA","NA","1724","NA","legacy","L","EXP01","0","even","NA","NA","NA","NA","41063","NA","64374","NA","NA","NA","NA","NA","NA","NA","NA","NA","38390","38390","NA","2371","NA","NA","NA","67903","NA","2371","NA","NA","NA","NA","NA","NA","NA","NA","67171","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","64374","NA","NA","NA","NA","NA","NA","NA","41063","NA","68936","NA","68936","NA","70152","NA","63356","NA","70685","NA","70685","NA","71368","NA","52147","NA","51614","NA","NA","NA","67875","NA","71868","NA","39338","NA","Simulation2016_EXP01","3","11467","10","yes","1024"
"no","yes","no","no","Y","D","我看到放在超市架子的保特瓶","STI/waterbottle01b.jpg","33.3333333333","33.3333333333","1131","1131","black","no","xpyriment","legacy","legacy","0","yes","no","no","no","uniform","1","0","NA","1","NA","/","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","NA","5","NA","5","NA","0","0","5","NA","5","NA","5","NA","5","NA","5","NA","NA","NA","5","NA","5","NA","0","0","04/21/16 12:41:37","Matching Tasks","C:/Users/60941sch/EXPs/SIM2016","no","chinese-japanese-korean","no","18","white","列表2","768","legacy","yes","no","C-C1-L2-015","xpyriment","Interactive Ising","3.0.5","0","/","NA","NA","space","NA","space","NA","/","NA","NA","NA","space","NA","592","NA","NA","1522","NA","1018","NA","592","NA","NA","NA","1724","NA","legacy","S","EXP01","0","even","NA","NA","NA","NA","41063","NA","64374","NA","NA","NA","NA","NA","NA","NA","NA","NA","38390","38390","NA","2371","NA","NA","NA","72666","NA","2371","NA","NA","NA","NA","NA","NA","NA","NA","67171","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","64374","NA","NA","NA","NA","NA","NA","NA","41063","NA","73700","NA","73700","NA","75248","NA","63356","NA","75782","NA","75782","NA","76398","NA","52147","NA","51614","NA","NA","NA","72641","NA","76898","NA","39338","NA","Simulation2016_EXP01","4","13581","12","yes","1024"
"no","yes","no","no","D","P","我看見擺放在桌上的雙指戒","STI/kiwi03.jpg","35.7142857143","35.7142857143","1084","1084","black","no","xpyriment","legacy","legacy","0","yes","no","no","no","uniform","1","0","NA","1","NA","z","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","NA","6","NA","6","NA","0","0","6","NA","6","NA","6","NA","6","NA","6","NA","NA","NA","6","NA","6","NA","0","0","04/21/16 12:41:37","Matching Tasks","C:/Users/60941sch/EXPs/SIM2016","no","chinese-japanese-korean","no","18","white","列表2","768","legacy","yes","no","C-C1-L2-015","xpyriment","Interactive Ising","3.0.5","0","z","NA","NA","space","NA","space","NA","z","NA","NA","NA","space","NA","537","NA","NA","1065","NA","1018","NA","537","NA","NA","NA","1724","NA","legacy","D","EXP01","0","even","NA","NA","NA","NA","41063","NA","64374","NA","NA","NA","NA","NA","NA","NA","NA","NA","38390","38390","NA","2371","NA","NA","NA","77796","NA","2371","NA","NA","NA","NA","NA","NA","NA","NA","67171","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","64374","NA","NA","NA","NA","NA","NA","NA","41063","NA","78829","NA","78829","NA","79928","NA","63356","NA","80461","NA","80461","NA","81028","NA","52147","NA","51614","NA","NA","NA","77771","NA","81528","NA","39338","NA","Simulation2016_EXP01","5","15183","14","yes","1024"
"no","yes","no","no","D","P","我看見從相機裡拿出來的膠卷底片","STI/fryingpan02a.jpg","37.5","37.5","1041","1041","black","no","xpyriment","legacy","legacy","0","yes","no","no","no","uniform","1","0","NA","1","NA","z","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","NA","7","NA","7","NA","0","0","7","NA","7","NA","7","NA","7","NA","7","NA","NA","NA","7","NA","7","NA","0","0","04/21/16 12:41:37","Matching Tasks","C:/Users/60941sch/EXPs/SIM2016","no","chinese-japanese-korean","no","18","white","列表2","768","legacy","yes","no","C-C1-L2-015","xpyriment","Interactive Ising","3.0.5","0","z","NA","NA","space","NA","space","NA","z","NA","NA","NA","space","NA","572","NA","NA","902","NA","1018","NA","572","NA","NA","NA","1724","NA","legacy","D","EXP01","0","even","NA","NA","NA","NA","41063","NA","64374","NA","NA","NA","NA","NA","NA","NA","NA","NA","38390","38390","NA","2371","NA","NA","NA","82327","NA","2371","NA","NA","NA","NA","NA","NA","NA","NA","67171","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","64374","NA","NA","NA","NA","NA","NA","NA","41063","NA","83360","NA","83360","NA","84292","NA","63356","NA","84826","NA","84826","NA","85425","NA","52147","NA","51614","NA","NA","NA","82307","NA","85925","NA","39338","NA","Simulation2016_EXP01","6","16657","16","yes","1024"
"no","yes","no","no","D","P","我在海灘看見一隻螃蟹","STI/candle08b.jpg","38.8888888889","38.8888888889","984","984","black","no","xpyriment","legacy","legacy","0","yes","no","no","no","uniform","1","0","NA","1","NA","z","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","NA","8","NA","8","NA","0","0","8","NA","8","NA","8","NA","8","NA","8","NA","NA","NA","8","NA","8","NA","0","0","04/21/16 12:41:37","Matching Tasks","C:/Users/60941sch/EXPs/SIM2016","no","chinese-japanese-korean","no","18","white","列表2","768","legacy","yes","no","C-C1-L2-015","xpyriment","Interactive Ising","3.0.5","0","z","NA","NA","space","NA","space","NA","z","NA","NA","NA","space","NA","492","NA","NA","569","NA","1018","NA","492","NA","NA","NA","1724","NA","legacy","D","EXP01","0","even","NA","NA","NA","NA","41063","NA","64374","NA","NA","NA","NA","NA","NA","NA","NA","NA","38390","38390","NA","2371","NA","NA","NA","86724","NA","2371","NA","NA","NA","NA","NA","NA","NA","NA","67171","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","64374","NA","NA","NA","NA","NA","NA","NA","41063","NA","87757","NA","87757","NA","88357","NA","63356","NA","88889","NA","88890","NA","89406","NA","52147","NA","51614","NA","NA","NA","86690","NA","89906","NA","39338","NA","Simulation2016_EXP01","7","17718","18","yes","1024"
"no","yes","no","no","D","P","我看見放在工具箱裡面的螺絲起子","STI/wheel01.jpg","40","40","965","965","black","no","xpyriment","legacy","legacy","0","yes","no","no","no","uniform","1","0","NA","1","NA","z","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","NA","9","NA","9","NA","0","0","9","NA","9","NA","9","NA","9","NA","9","NA","NA","NA","9","NA","9","NA","0","0","04/21/16 12:41:37","Matching Tasks","C:/Users/60941sch/EXPs/SIM2016","no","chinese-japanese-korean","no","18","white","列表2","768","legacy","yes","no","C-C1-L2-015","xpyriment","Interactive Ising","3.0.5","0","z","NA","NA","space","NA","space","NA","z","NA","NA","NA","space","NA","941","NA","NA","653","NA","1018","NA","941","NA","NA","NA","1724","NA","legacy","D","EXP01","0","even","NA","NA","NA","NA","41063","NA","64374","NA","NA","NA","NA","NA","NA","NA","NA","NA","38390","38390","NA","2371","NA","NA","NA","90688","NA","2371","NA","NA","NA","NA","NA","NA","NA","NA","67171","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","64374","NA","NA","NA","NA","NA","NA","NA","41063","NA","91721","NA","91721","NA","92404","NA","63356","NA","92937","NA","92937","NA","93903","NA","52147","NA","51614","NA","NA","NA","90659","NA","94403","NA","39338","NA","Simulation2016_EXP01","8","19312","20","yes","1024"
