"","List","ID","LN_RT","LY_RT","SN_RT","SY_RT","LN_ACC","LY_ACC","SN_ACC","SY_ACC"
"1","List1","pilot1027001",678.012573242188,603.097534179688,520.300048828125,573.5048828125,100,100,81.25,100
"2","List1","pilot1027002",611.0048828125,568.56494140625,680.93994140625,574.06982421875,94.4444444444444,95.4545454545455,87.5,100
"3","List1","pilot1027003",596,609.597534179688,560.525146484375,593.482421875,91.6666666666667,100,93.75,100
"4","List1","pilot1027004",640.9951171875,640.802490234375,617.8349609375,593.615234375,93.75,91.6666666666667,81.25,93.75
"5","List1","pilot1027005",590.824951171875,624.672485351562,624.75146484375,616.9375,100,92.3076923076923,93.75,87.5
"6","List1","pilot1027006",567.210083007812,561.367431640625,611.099853515625,543.489990234375,100,83.3333333333333,93.75,100
"7","List1","pilot1027007",705.43505859375,586.202514648438,660.544921875,566,91.6666666666667,83.3333333333333,93.75,93.75
"8","List1","pilot1027008",620,539.99755859375,616.819580078125,544.127563476562,83.3333333333333,100,100,100
"9","List1","pilot1027009",626.859985351562,549.60009765625,562.342529296875,536,92.3076923076923,100,80,100
"10","List1","pilot1027010",689.494873046875,540.0048828125,668,569.85498046875,100,90.4761904761905,86.6666666666667,100
"11","List1","pilot1027011",551.469970703125,561.780029296875,570,560,84.6153846153846,100,92.8571428571429,83.3333333333333
"12","List1","pilot1027012",611.27001953125,576.60986328125,661.330078125,578.039794921875,95,75,92.8571428571429,83.3333333333333
"13","List1","pilot1027013",620.320068359375,607.607543945312,566.3701171875,532,92.8571428571429,100,100,89.4736842105263
"14","List1","pilot1027014",541.234985351562,573.1748046875,602.099853515625,595.945068359375,100,83.3333333333333,100,78.9473684210526
"15","List1","pilot1027015",748.10498046875,537.324951171875,445.550048828125,583.392578125,80,88.8888888888889,91.6666666666667,90
"16","List1","pilot1027016",603.690063476562,551.99755859375,538.534912109375,549.81005859375,90.9090909090909,88.8888888888889,84.6153846153846,78.9473684210526
"17","List1","pilot1027017",640,544.349853515625,570.875122070312,567.465087890625,92.8571428571429,90,100,95
