"","List","ID","LHY_RT","LHY_ACC","LHN_RT","LHN_ACC","LVY_RT","LVY_ACC","LVN_RT","LVN_ACC","SHY_RT","SHY_ACC","SHN_RT","SHN_ACC","SVY_RT","SVY_ACC","SVN_RT","SVN_ACC"
"1","List1","pilot1027001",623.289916992188,100,758.427490234375,100,560.464965820312,100,565.885131835938,100,549.577392578125,100,548.2275390625,85.7142857142857,583.329956054688,100,511.35498046875,77.7777777777778
"2","List1","pilot1027002",562.9951171875,100,590.557495117188,92.3076923076923,585.727294921875,90.9090909090909,621.340087890625,100,560.62744140625,100,653.2099609375,71.4285714285714,600.339965820312,100,705.5400390625,100
"3","List1","pilot1027003",523.929931640625,100,539.977416992188,100,680,100,644.215087890625,75,555.8125,100,583.239990234375,83.3333333333333,749.052490234375,100,535.945068359375,100
"4","List1","pilot1027004",617.0400390625,91.6666666666667,640.9951171875,91.6666666666667,664.56494140625,91.6666666666667,633.467529296875,100,659.662475585938,100,582.472534179688,66.6666666666667,588.0048828125,91.6666666666667,642.369873046875,90
"5","List1","pilot1027005",496.885009765625,100,566.912475585938,100,678.0048828125,87.5,690.005126953125,100,574.492431640625,100,655.155029296875,80,638.262451171875,83.3333333333333,624.75146484375,100
"6","List1","pilot1027006",570.827514648438,90.9090909090909,567.210083007812,100,558.91748046875,76.9230769230769,553.20751953125,100,559.984985351562,100,616.64501953125,80,543.489990234375,100,611.099853515625,100
"7","List1","pilot1027007",681.56982421875,75,698.50244140625,85.7142857142857,531,87.5,705.43505859375,100,628.83740234375,100,488,75,566,91.6666666666667,702.712646484375,100
"8","List1","pilot1027008",586,100,621.390014648438,83.3333333333333,528,100,615,83.3333333333333,611.572509765625,100,616.510009765625,100,502.595092773438,100,639.447143554688,100
"9","List1","pilot1027009",497.840087890625,100,557.007446289062,85.7142857142857,636.927490234375,100,673.307373046875,100,514.43505859375,100,559.99755859375,66.6666666666667,537.93994140625,100,562.342529296875,83.3333333333333
"10","List1","pilot1027010",531.59765625,100,718.704833984375,100,633,84.6153846153846,556.552490234375,100,506.9951171875,100,607.00244140625,66.6666666666667,576.929931640625,100,668,91.6666666666667
"11","List1","pilot1027011",517.364990234375,100,528.68505859375,71.4285714285714,576.890014648438,100,564.272338867188,100,585.635009765625,100,570.5,100,539.694946289062,72.7272727272727,565.429931640625,91.6666666666667
"12","List1","pilot1027012",766.9951171875,71.4285714285714,672.929931640625,92.3076923076923,551.250122070312,76.9230769230769,521.39990234375,100,583.809936523438,85.7142857142857,628.210083007812,100,578.039794921875,81.8181818181818,661.330078125,91.6666666666667
"13","List1","pilot1027013",441.377563476562,100,588.89990234375,83.3333333333333,685.87255859375,100,640.170043945312,100,527.369873046875,100,657.0048828125,100,585.222412109375,80,540.3681640625,100
"14","List1","pilot1027014",611.9951171875,83.3333333333333,541.234985351562,100,563.484985351562,83.3333333333333,536.50244140625,100,635.237426757812,88.8888888888889,473,100,595.945068359375,70,636.824951171875,100
"15","List1","pilot1027015",948,100,662.050048828125,83.3333333333333,523.64990234375,87.5,815,77.7777777777778,590.9150390625,100,,,531.679931640625,77.7777777777778,445.550048828125,91.6666666666667
"16","List1","pilot1027016",515.5849609375,83.3333333333333,659.714965820312,92.3076923076923,597,91.6666666666667,575.467529296875,88.8888888888889,564.5,90,462,100,537.894897460938,66.6666666666667,543.782470703125,83.3333333333333
"17","List1","pilot1027017",552.06005859375,50,840.710083007812,80,542.79736328125,100,606,100,582.464965820312,100,,,476.179931640625,87.5,570.875122070312,100
"18","List1","pilot1027018",532.090087890625,100,662.629760742188,92.3076923076923,631.5,90.9090909090909,600.224853515625,77.7777777777778,571.947509765625,100,,,510.9951171875,87.5,561.822509765625,83.3333333333333
"19","List1","pilot1027019",770,100,696.50244140625,100,544.150024414062,100,628,77.7777777777778,599.275024414062,100,528.942504882812,100,479.867553710938,85.7142857142857,580.58251953125,90.9090909090909
"20","List1","pilot1027020",625.387451171875,100,642,91.6666666666667,633.364990234375,100,786.949951171875,77.7777777777778,568.812377929688,83.3333333333333,653.9951171875,100,610.30517578125,100,534.52001953125,100
"21","List1","pilot1027021",785.362548828125,100,656,100,558.714965820312,100,615.320068359375,100,629.072509765625,100,570,75,501.934936523438,100,548.794921875,90
"22","List1","pilot1027022",562.914794921875,100,722.769775390625,100,511.21240234375,90.9090909090909,655.9951171875,100,558.47509765625,91.6666666666667,559.957641601562,66.6666666666667,480,83.3333333333333,510.87255859375,72.7272727272727
"23","List1","pilot1027023",558.994873046875,75,1236.67993164062,33.3333333333333,700.905029296875,87.5,651,88.8888888888889,572.597412109375,100,510.044921875,80,492,100,433.0498046875,90
"24","List1","pilot1027024",653.294921875,100,563.465087890625,100,607.947509765625,90.9090909090909,542.172485351562,80,593.0400390625,100,589.844848632812,80,614.297485351562,80,603,90
"25","List1","pilot1027025",603.107543945312,80,771,100,522.7451171875,100,598.337524414062,88.8888888888889,561.142578125,83.3333333333333,598.47509765625,100,553.175048828125,75,544.6201171875,77.7777777777778
