"","ID","Size","Orientation","Match","RT","ACC"
"1","pilot1027001","L","H","N",758.427490234375,100
"2","pilot1027001","L","H","Y",623.289916992188,100
"3","pilot1027001","L","V","N",565.885131835938,100
"4","pilot1027001","L","V","Y",560.464965820312,100
"5","pilot1027001","S","H","N",548.2275390625,85.7142857142857
"6","pilot1027001","S","H","Y",549.577392578125,100
"7","pilot1027001","S","V","N",511.35498046875,77.7777777777778
"8","pilot1027001","S","V","Y",583.329956054688,100
"9","pilot1027002","L","H","N",590.557495117188,92.3076923076923
"10","pilot1027002","L","H","Y",562.9951171875,100
"11","pilot1027002","L","V","N",621.340087890625,100
"12","pilot1027002","L","V","Y",585.727294921875,90.9090909090909
"13","pilot1027002","S","H","N",653.2099609375,71.4285714285714
"14","pilot1027002","S","H","Y",560.62744140625,100
"15","pilot1027002","S","V","N",705.5400390625,100
"16","pilot1027002","S","V","Y",600.339965820312,100
"17","pilot1027003","L","H","N",539.977416992188,100
"18","pilot1027003","L","H","Y",523.929931640625,100
"19","pilot1027003","L","V","N",644.215087890625,75
"20","pilot1027003","L","V","Y",680,100
"21","pilot1027003","S","H","N",583.239990234375,83.3333333333333
"22","pilot1027003","S","H","Y",555.8125,100
"23","pilot1027003","S","V","N",535.945068359375,100
"24","pilot1027003","S","V","Y",749.052490234375,100
"25","pilot1027004","L","H","N",640.9951171875,91.6666666666667
"26","pilot1027004","L","H","Y",617.0400390625,91.6666666666667
"27","pilot1027004","L","V","N",633.467529296875,100
"28","pilot1027004","L","V","Y",664.56494140625,91.6666666666667
"29","pilot1027004","S","H","N",582.472534179688,66.6666666666667
"30","pilot1027004","S","H","Y",659.662475585938,100
"31","pilot1027004","S","V","N",642.369873046875,90
"32","pilot1027004","S","V","Y",588.0048828125,91.6666666666667
"33","pilot1027005","L","H","N",566.912475585938,100
"34","pilot1027005","L","H","Y",496.885009765625,100
"35","pilot1027005","L","V","N",690.005126953125,100
"36","pilot1027005","L","V","Y",678.0048828125,87.5
"37","pilot1027005","S","H","N",655.155029296875,80
"38","pilot1027005","S","H","Y",574.492431640625,100
"39","pilot1027005","S","V","N",624.75146484375,100
"40","pilot1027005","S","V","Y",638.262451171875,83.3333333333333
"41","pilot1027006","L","H","N",567.210083007812,100
"42","pilot1027006","L","H","Y",570.827514648438,90.9090909090909
"43","pilot1027006","L","V","N",553.20751953125,100
"44","pilot1027006","L","V","Y",558.91748046875,76.9230769230769
"45","pilot1027006","S","H","N",616.64501953125,80
"46","pilot1027006","S","H","Y",559.984985351562,100
"47","pilot1027006","S","V","N",611.099853515625,100
"48","pilot1027006","S","V","Y",543.489990234375,100
"49","pilot1027007","L","H","N",698.50244140625,85.7142857142857
"50","pilot1027007","L","H","Y",681.56982421875,75
"51","pilot1027007","L","V","N",705.43505859375,100
"52","pilot1027007","L","V","Y",531,87.5
"53","pilot1027007","S","H","N",488,75
"54","pilot1027007","S","H","Y",628.83740234375,100
"55","pilot1027007","S","V","N",702.712646484375,100
"56","pilot1027007","S","V","Y",566,91.6666666666667
"57","pilot1027008","L","H","N",621.390014648438,83.3333333333333
"58","pilot1027008","L","H","Y",586,100
"59","pilot1027008","L","V","N",615,83.3333333333333
"60","pilot1027008","L","V","Y",528,100
"61","pilot1027008","S","H","N",616.510009765625,100
"62","pilot1027008","S","H","Y",611.572509765625,100
"63","pilot1027008","S","V","N",639.447143554688,100
"64","pilot1027008","S","V","Y",502.595092773438,100
"65","pilot1027009","L","H","N",557.007446289062,85.7142857142857
"66","pilot1027009","L","H","Y",497.840087890625,100
"67","pilot1027009","L","V","N",673.307373046875,100
"68","pilot1027009","L","V","Y",636.927490234375,100
"69","pilot1027009","S","H","N",559.99755859375,66.6666666666667
"70","pilot1027009","S","H","Y",514.43505859375,100
"71","pilot1027009","S","V","N",562.342529296875,83.3333333333333
"72","pilot1027009","S","V","Y",537.93994140625,100
"73","pilot1027010","L","H","N",718.704833984375,100
"74","pilot1027010","L","H","Y",531.59765625,100
"75","pilot1027010","L","V","N",556.552490234375,100
"76","pilot1027010","L","V","Y",633,84.6153846153846
"77","pilot1027010","S","H","N",607.00244140625,66.6666666666667
"78","pilot1027010","S","H","Y",506.9951171875,100
"79","pilot1027010","S","V","N",668,91.6666666666667
"80","pilot1027010","S","V","Y",576.929931640625,100
"81","pilot1027011","L","H","N",528.68505859375,71.4285714285714
"82","pilot1027011","L","H","Y",517.364990234375,100
"83","pilot1027011","L","V","N",564.272338867188,100
"84","pilot1027011","L","V","Y",576.890014648438,100
"85","pilot1027011","S","H","N",570.5,100
"86","pilot1027011","S","H","Y",585.635009765625,100
"87","pilot1027011","S","V","N",565.429931640625,91.6666666666667
"88","pilot1027011","S","V","Y",539.694946289062,72.7272727272727
"89","pilot1027012","L","H","N",672.929931640625,92.3076923076923
"90","pilot1027012","L","H","Y",766.9951171875,71.4285714285714
"91","pilot1027012","L","V","N",521.39990234375,100
"92","pilot1027012","L","V","Y",551.250122070312,76.9230769230769
"93","pilot1027012","S","H","N",628.210083007812,100
"94","pilot1027012","S","H","Y",583.809936523438,85.7142857142857
"95","pilot1027012","S","V","N",661.330078125,91.6666666666667
"96","pilot1027012","S","V","Y",578.039794921875,81.8181818181818
"97","pilot1027013","L","H","N",588.89990234375,83.3333333333333
"98","pilot1027013","L","H","Y",441.377563476562,100
"99","pilot1027013","L","V","N",640.170043945312,100
"100","pilot1027013","L","V","Y",685.87255859375,100
"101","pilot1027013","S","H","N",657.0048828125,100
"102","pilot1027013","S","H","Y",527.369873046875,100
"103","pilot1027013","S","V","N",540.3681640625,100
"104","pilot1027013","S","V","Y",585.222412109375,80
"105","pilot1027014","L","H","N",541.234985351562,100
"106","pilot1027014","L","H","Y",611.9951171875,83.3333333333333
"107","pilot1027014","L","V","N",536.50244140625,100
"108","pilot1027014","L","V","Y",563.484985351562,83.3333333333333
"109","pilot1027014","S","H","N",473,100
