"","List","ID","Size","Match","RT","ACC"
"1","List1","pilot1027001","L","N",678.012573242188,100
"2","List1","pilot1027001","L","Y",603.097534179688,100
"3","List1","pilot1027001","S","N",520.300048828125,81.25
"4","List1","pilot1027001","S","Y",573.5048828125,100
"5","List1","pilot1027002","L","N",611.0048828125,94.4444444444444
"6","List1","pilot1027002","L","Y",568.56494140625,95.4545454545455
"7","List1","pilot1027002","S","N",680.93994140625,87.5
"8","List1","pilot1027002","S","Y",574.06982421875,100
"9","List1","pilot1027003","L","N",596,91.6666666666667
"10","List1","pilot1027003","L","Y",609.597534179688,100
"11","List1","pilot1027003","S","N",560.525146484375,93.75
"12","List1","pilot1027003","S","Y",593.482421875,100
"13","List1","pilot1027004","L","N",640.9951171875,93.75
"14","List1","pilot1027004","L","Y",640.802490234375,91.6666666666667
"15","List1","pilot1027004","S","N",617.8349609375,81.25
"16","List1","pilot1027004","S","Y",593.615234375,93.75
"17","List1","pilot1027005","L","N",590.824951171875,100
"18","List1","pilot1027005","L","Y",624.672485351562,92.3076923076923
"19","List1","pilot1027005","S","N",624.75146484375,93.75
"20","List1","pilot1027005","S","Y",616.9375,87.5
"21","List1","pilot1027006","L","N",567.210083007812,100
"22","List1","pilot1027006","L","Y",561.367431640625,83.3333333333333
"23","List1","pilot1027006","S","N",611.099853515625,93.75
"24","List1","pilot1027006","S","Y",543.489990234375,100
"25","List1","pilot1027007","L","N",705.43505859375,91.6666666666667
"26","List1","pilot1027007","L","Y",586.202514648438,83.3333333333333
"27","List1","pilot1027007","S","N",660.544921875,93.75
"28","List1","pilot1027007","S","Y",566,93.75
"29","List1","pilot1027008","L","N",620,83.3333333333333
"30","List1","pilot1027008","L","Y",539.99755859375,100
"31","List1","pilot1027008","S","N",616.819580078125,100
"32","List1","pilot1027008","S","Y",544.127563476562,100
"33","List1","pilot1027009","L","N",626.859985351562,92.3076923076923
"34","List1","pilot1027009","L","Y",549.60009765625,100
"35","List1","pilot1027009","S","N",562.342529296875,80
"36","List1","pilot1027009","S","Y",536,100
"37","List1","pilot1027010","L","N",689.494873046875,100
"38","List1","pilot1027010","L","Y",540.0048828125,90.4761904761905
"39","List1","pilot1027010","S","N",668,86.6666666666667
"40","List1","pilot1027010","S","Y",569.85498046875,100
"41","List1","pilot1027011","L","N",551.469970703125,84.6153846153846
"42","List1","pilot1027011","L","Y",561.780029296875,100
"43","List1","pilot1027011","S","N",570,92.8571428571429
"44","List1","pilot1027011","S","Y",560,83.3333333333333
"45","List1","pilot1027012","L","N",611.27001953125,95
"46","List1","pilot1027012","L","Y",576.60986328125,75
"47","List1","pilot1027012","S","N",661.330078125,92.8571428571429
"48","List1","pilot1027012","S","Y",578.039794921875,83.3333333333333
"49","List1","pilot1027013","L","N",620.320068359375,92.8571428571429
"50","List1","pilot1027013","L","Y",607.607543945312,100
"51","List1","pilot1027013","S","N",566.3701171875,100
"52","List1","pilot1027013","S","Y",532,89.4736842105263
"53","List1","pilot1027014","L","N",541.234985351562,100
"54","List1","pilot1027014","L","Y",573.1748046875,83.3333333333333
"55","List1","pilot1027014","S","N",602.099853515625,100
"56","List1","pilot1027014","S","Y",595.945068359375,78.9473684210526
"57","List1","pilot1027015","L","N",748.10498046875,80
"58","List1","pilot1027015","L","Y",537.324951171875,88.8888888888889
"59","List1","pilot1027015","S","N",445.550048828125,91.6666666666667
"60","List1","pilot1027015","S","Y",583.392578125,90
"61","List1","pilot1027016","L","N",603.690063476562,90.9090909090909
"62","List1","pilot1027016","L","Y",551.99755859375,88.8888888888889
"63","List1","pilot1027016","S","N",538.534912109375,84.6153846153846
"64","List1","pilot1027016","S","Y",549.81005859375,78.9473684210526
"65","List1","pilot1027017","L","N",640,92.8571428571429
"66","List1","pilot1027017","L","Y",544.349853515625,90
"67","List1","pilot1027017","S","N",570.875122070312,100
"68","List1","pilot1027017","S","Y",567.465087890625,95
"69","List1","pilot1027018","L","N",645,86.3636363636364
"70","List1","pilot1027018","L","Y",620.275146484375,94.4444444444444
"71","List1","pilot1027018","S","N",561.822509765625,83.3333333333333
"72","List1","pilot1027018","S","Y",539.364990234375,95
"73","List1","pilot1027019","L","N",628,84.6153846153846
"74","List1","pilot1027019","L","Y",610.06982421875,100
"75","List1","pilot1027019","S","N",580.58251953125,92.3076923076923
"76","List1","pilot1027019","S","Y",540.657592773438,94.7368421052632
"77","List1","pilot1027020","L","N",668.392456054688,85.7142857142857
"78","List1","pilot1027020","L","Y",633.364990234375,100
"79","List1","pilot1027020","S","N",534.52001953125,100
"80","List1","pilot1027020","S","Y",589.47021484375,89.4736842105263
"81","List1","pilot1027021","L","N",620.017578125,100
"82","List1","pilot1027021","L","Y",558.714965820312,100
"83","List1","pilot1027021","S","N",569.580078125,85.7142857142857
"84","List1","pilot1027021","S","Y",547.95361328125,100
"85","List1","pilot1027022","L","N",706.33251953125,100
"86","List1","pilot1027022","L","Y",516.2548828125,94.4444444444444
"87","List1","pilot1027022","S","N",524.760131835938,71.4285714285714
"88","List1","pilot1027022","S","Y",551.400024414062,88.8888888888889
"89","List1","pilot1027023","L","N",659,75
"90","List1","pilot1027023","L","Y",591.445068359375,83.3333333333333
"91","List1","pilot1027023","S","N",472.104736328125,86.6666666666667
"92","List1","pilot1027023","S","Y",532.91015625,100
"93","List1","pilot1027024","L","N",563.465087890625,90.4761904761905
"94","List1","pilot1027024","L","Y",610.967407226562,94.7368421052632
"95","List1","pilot1027024","S","N",603,86.6666666666667
"96","List1","pilot1027024","S","Y",593.0400390625,94.1176470588235
"97","List1","pilot1027025","L","N",662.830078125,91.6666666666667
"98","List1","pilot1027025","L","Y",524.52490234375,91.6666666666667
"99","List1","pilot1027025","S","N",566.115112304688,87.5
"100","List1","pilot1027025","S","Y",553.175048828125,81.25
"101","List2","pilot1027026","L","N",612.069946289062,90
"102","List2","pilot1027026","L","Y",622.625,85
"103","List2","pilot1027026","S","N",519.31494140625,81.25
"104","List2","pilot1027026","S","Y",602.9951171875,93.75
"105","List2","pilot1027027","L","N",622.5,83.3333333333333
"106","List2","pilot1027027","L","Y",831.110107421875,83.3333333333333
"107","List2","pilot1027027","S","N",593.695068359375,87.5
"108","List2","pilot1027027","S","Y",614.090087890625,93.75
"109","List2","pilot1027028","L","N",644.349853515625,89.4736842105263
"110","List2","pilot1027028","L","Y",706.820068359375,100
"111","List2","pilot1027028","S","N",541.74755859375,82.3529411764706
"112","List2","pilot1027028","S","Y",551.167602539062,93.3333333333333
"113","List2","pilot1027029","L","N",692.949951171875,91.6666666666667
"114","List2","pilot1027029","L","Y",635.194946289062,100
"115","List2","pilot1027029","S","N",571.93994140625,100
"116","List2","pilot1027029","S","Y",649.152465820312,80
"117","List2","pilot1027030","L","N",594,89.4736842105263
"118","List2","pilot1027030","L","Y",631.882446289062,95.2380952380952
"119","List2","pilot1027030","S","N",549.692260742188,94.1176470588235
"120","List2","pilot1027030","S","Y",584.012451171875,93.3333333333333
"121","List2","pilot1027031","L","N",630.875,84.6153846153846
"122","List2","pilot1027031","L","Y",644,100
"123","List2","pilot1027031","S","N",620.77490234375,100
"124","List2","pilot1027031","S","Y",557.0048828125,86.6666666666667
"125","List2","pilot1027032","L","N",562.784912109375,84.2105263157895
"126","List2","pilot1027032","L","Y",617,100
"127","List2","pilot1027032","S","N",610.97998046875,94.1176470588235
"128","List2","pilot1027032","S","Y",584.7275390625,93.3333333333333
"129","List2","pilot1027033","L","N",665.470092773438,92.3076923076923
"130","List2","pilot1027033","L","Y",567.0048828125,100
"131","List2","pilot1027033","S","N",499.049926757812,94.1176470588235
"132","List2","pilot1027033","S","Y",544.117553710938,93.3333333333333
"133","List2","pilot1027034","L","N",621.110107421875,75
"134","List2","pilot1027034","L","Y",582.690063476562,90
"135","List2","pilot1027034","S","N",583.865112304688,100
"136","List2","pilot1027034","S","Y",518.407470703125,87.5
"137","List2","pilot1027035","L","N",620.990234375,84.6153846153846
"138","List2","pilot1027035","L","Y",647.5,100
"139","List2","pilot1027035","S","N",523.444946289062,100
"140","List2","pilot1027035","S","Y",533.0048828125,81.25
"141","List2","pilot1027036","L","N",597.905029296875,94.7368421052632
"142","List2","pilot1027036","L","Y",614.974975585938,95.2380952380952
"143","List2","pilot1027036","S","N",593.709838867188,100
"144","List2","pilot1027036","S","Y",548.1650390625,87.5
"145","List2","pilot1027037","L","N",735.112548828125,92.3076923076923
"146","List2","pilot1027037","L","Y",683,100
"147","List2","pilot1027037","S","N",546,93.75
"148","List2","pilot1027037","S","Y",573.699951171875,93.75
"149","List2","pilot1027038","L","N",645.39501953125,89.4736842105263
"150","List2","pilot1027038","L","Y",575.43505859375,90.4761904761905
"151","List2","pilot1027038","S","N",681.760009765625,87.5
"152","List2","pilot1027038","S","Y",508.484985351562,87.5
"153","List2","pilot1027039","L","N",688.5849609375,100
"154","List2","pilot1027039","L","Y",529.1650390625,100
"155","List2","pilot1027039","S","N",603.387451171875,100
"156","List2","pilot1027039","S","Y",571.85009765625,93.75
"157","List2","pilot1027040","L","N",657.914916992188,88.8888888888889
"158","List2","pilot1027040","L","Y",583.00244140625,90.9090909090909
