"","List","ID","Size","Orientation","Match","RT"
"1","List1","pilot1027001","L","H","N",758.427490234375
"2","List1","pilot1027001","L","H","Y",623.289916992188
"3","List1","pilot1027001","L","V","N",565.885131835938
"4","List1","pilot1027001","L","V","Y",560.464965820312
"5","List1","pilot1027001","S","H","N",548.2275390625
"6","List1","pilot1027001","S","H","Y",549.577392578125
"7","List1","pilot1027001","S","V","N",511.35498046875
"8","List1","pilot1027001","S","V","Y",583.329956054688
"9","List1","pilot1027002","L","H","N",590.557495117188
"10","List1","pilot1027002","L","H","Y",562.9951171875
"11","List1","pilot1027002","L","V","N",621.340087890625
"12","List1","pilot1027002","L","V","Y",585.727294921875
"13","List1","pilot1027002","S","H","N",653.2099609375
"14","List1","pilot1027002","S","H","Y",560.62744140625
"15","List1","pilot1027002","S","V","N",705.5400390625
"16","List1","pilot1027002","S","V","Y",600.339965820312
"17","List1","pilot1027003","L","H","N",539.977416992188
"18","List1","pilot1027003","L","H","Y",523.929931640625
"19","List1","pilot1027003","L","V","N",644.215087890625
"20","List1","pilot1027003","L","V","Y",680
"21","List1","pilot1027003","S","H","N",583.239990234375
"22","List1","pilot1027003","S","H","Y",555.8125
"23","List1","pilot1027003","S","V","N",535.945068359375
"24","List1","pilot1027003","S","V","Y",749.052490234375
"25","List1","pilot1027004","L","H","N",640.9951171875
"26","List1","pilot1027004","L","H","Y",617.0400390625
"27","List1","pilot1027004","L","V","N",633.467529296875
"28","List1","pilot1027004","L","V","Y",664.56494140625
"29","List1","pilot1027004","S","H","N",582.472534179688
"30","List1","pilot1027004","S","H","Y",659.662475585938
"31","List1","pilot1027004","S","V","N",642.369873046875
"32","List1","pilot1027004","S","V","Y",588.0048828125
"33","List1","pilot1027005","L","H","N",566.912475585938
"34","List1","pilot1027005","L","H","Y",496.885009765625
"35","List1","pilot1027005","L","V","N",690.005126953125
"36","List1","pilot1027005","L","V","Y",678.0048828125
"37","List1","pilot1027005","S","H","N",655.155029296875
"38","List1","pilot1027005","S","H","Y",574.492431640625
"39","List1","pilot1027005","S","V","N",624.75146484375
"40","List1","pilot1027005","S","V","Y",638.262451171875
"41","List1","pilot1027006","L","H","N",567.210083007812
"42","List1","pilot1027006","L","H","Y",570.827514648438
"43","List1","pilot1027006","L","V","N",553.20751953125
"44","List1","pilot1027006","L","V","Y",558.91748046875
"45","List1","pilot1027006","S","H","N",616.64501953125
"46","List1","pilot1027006","S","H","Y",559.984985351562
"47","List1","pilot1027006","S","V","N",611.099853515625
"48","List1","pilot1027006","S","V","Y",543.489990234375
"49","List1","pilot1027007","L","H","N",698.50244140625
"50","List1","pilot1027007","L","H","Y",681.56982421875
"51","List1","pilot1027007","L","V","N",705.43505859375
"52","List1","pilot1027007","L","V","Y",531
"53","List1","pilot1027007","S","H","N",488
