"","ID","List","count_Trial","Size","Orien","Match","Probe","Target","correct_response","response_time_Probe_response","response_time_Target_response","correct"
"1","NL-F-18-02","D_List02.csv",0,"F","F","F","De zaklamp lag in de koffer.","STI_EXP02/Filler/freighttruck.jpg","f",2068,558,1
"2","NL-F-18-02","D_List02.csv",1,"F","F","F","De reddingsboei was op het dek","STI_EXP02/Filler/093-chapiteau_big-top.jpg","f",1718,830,1
"3","NL-F-18-02","D_List02.csv",2,"F","F","F","De tafellamp was in de winkel","STI_EXP02/Filler/dentalfloss03b.jpg","f",1182,829,1
"4","NL-F-18-02","D_List02.csv",3,"F","F","F","De politieauto reed over de weg.","STI_EXP02/Filler/282-tractopelle_digger.jpg","f",1172,718,1
"5","NL-F-18-02","D_List02.csv",4,"L","V","Y","Het raamkozijn werd in de deur bevestigd.","STI_EXP02/LARGE/windowframe_V.jpg","j",2060,411,1
"6","NL-F-18-02","D_List02.csv",5,"S","V","N","De spijker lag op de bodem van de gereedschapskist.","STI_EXP02/SMALL/nail_r.jpg","j",1362,748,1
"7","NL-F-18-02","D_List02.csv",6,"L","H","N","De matras werd tegen de muur gezet.","STI_EXP02/LARGE/mattress_H.jpg","j",1985,441,1
"8","NL-F-18-02","D_List02.csv",7,"F","F","F","De grote raffinaderij lag naast de weg","STI_EXP02/Filler/ironbarrel.jpg","f",2465,710,1
"9","NL-F-18-02","D_List02.csv",8,"F","F","F","De kool lag op de plank","STI_EXP02/Filler/umbrellaopen.jpg","f",1430,531,1
"10","NL-F-18-02","D_List02.csv",9,"S","V","Y","De hengel lag naast de stoel van de visser.","STI_EXP02/SMALL/fishingrod_r.jpg","j",2248,633,1
"11","NL-F-18-02","D_List02.csv",10,"F","F","F","De bal lag op de biljarttafel","STI_EXP02/Filler/faucet.jpg","f",1201,559,1
"12","NL-F-18-02","D_List02.csv",11,"L","V","Y","De ophaalbrug blokkeerde de poort.","STI_EXP02/LARGE/Drawbridge_V.jpg","j",1232,673,1
"13","NL-F-18-02","D_List02.csv",12,"L","H","Y","De piano werd rechtop in de vrachtwagen gelegd","STI_EXP02/LARGE/Uprightpiano_H.jpg","j",1425,576,1
"14","NL-F-18-02","D_List02.csv",13,"F","F","F","Het dartboard hing aan de muur","STI_EXP02/Filler/hangar.jpg","f",1116,683,1
"15","NL-F-18-02","D_List02.csv",14,"S","H","N","De stok werd vastgehouden door de bejaarde.","STI_EXP02/SMALL/066-canne_cane.jpg","j",1510,489,1
