"List","ID","LN_RT","LY_RT","SN_RT","SY_RT","LN_ACC","LY_ACC","SN_ACC","SY_ACC"
"D_List01.csv",1,733.5,483,524,650.5,100,93.75,93.75,87.5
"D_List02.csv",2,545.5,558.5,486,519.5,100,100,93.75,100
"D_List03.csv",3,558,453,446,441.5,81.25,93.75,100,87.5
"D_List03.csv",4,709,673,607,590.5,87.5,81.25,93.75,87.5
"D_List04.csv",5,624,720.5,583,592.5,100,87.5,87.5,100
"D_List01.csv",6,867,760,647,691,100,93.75,93.75,93.75
"D_List02.csv",7,653,609.5,637.5,587,81.25,100,87.5,93.75
"D_List02.csv",8,743.5,587.5,570,683.5,100,100,100,100
"D_List03.csv",9,579.5,530.5,581.5,485,87.5,75,100,93.75
"D_List04.csv",10,595,634,521,596,93.75,81.25,93.75,93.75
"D_List01.csv",11,613.5,705,544,629,100,93.75,81.25,87.5
"D_List01.csv",12,555.5,513,508,479,100,93.75,93.75,100
"D_List02.csv",13,767,713.5,785.5,740,87.5,87.5,100,81.25
"D_List03.csv",14,853,970,954.5,889,93.75,93.75,100,81.25
"D_List04.csv",15,592,539.5,634,569,93.75,100,87.5,100
"D_List04.csv",16,600,566,575,594,93.75,93.75,81.25,100
"D_List02.csv",17,498.5,554,512,516.5,87.5,93.75,81.25,100
"D_List03.csv",18,676.5,788,735,553,87.5,100,100,93.75
"D_List04.csv",19,652,671,615,641,100,75,93.75,93.75
"D_List04.csv",20,500,604,619,523,100,100,87.5,93.75
"D_List01.csv",21,732.5,723.5,676,684,100,100,93.75,93.75
"D_List02.csv",22,923,796.5,819.5,792,87.5,100,87.5,87.5
"D_List03.csv",23,718,635,521,522,87.5,93.75,93.75,93.75
"D_List03.csv",24,675,696.5,564,637,100,75,81.25,93.75
"D_List04.csv",25,835,817,875,957,93.75,100,81.25,93.75
"D_List01.csv",26,619.5,595,551.5,592,100,100,100,81.25
"D_List02.csv",27,795,681,636,638,93.75,93.75,93.75,100
"D_List02.csv",28,489,518,487,450,93.75,93.75,93.75,93.75
"D_List03.csv",29,895,989.5,720,792,93.75,100,93.75,93.75
"D_List04.csv",30,645,674,637.5,707,75,93.75,87.5,87.5
"D_List01.csv",31,710,637,561,676,100,87.5,100,100
"D_List01.csv",32,805.5,819.5,801.5,725,100,100,100,93.75
"D_List02.csv",33,723,793,800,645.5,87.5,100,81.25,100
"D_List03.csv",34,697,626,720.5,637,100,100,100,87.5
"D_List04.csv",35,569.5,586.5,533,581,100,100,93.75,100
"D_List04.csv",36,712,722,595,596,93.75,100,93.75,93.75
"D_List01.csv",37,655,726,649,537,93.75,100,93.75,81.25
"D_List02.csv",38,598,611,602,533,100,93.75,81.25,93.75
"D_List03.csv",39,574,565.5,530,516,100,87.5,100,93.75
"D_List03.csv",40,646,539,531,494,100,100,100,87.5
