"","List","Lang","Gender","Age","ID","Size","Orientation","Match","RT","ACC"
"1","D_List01.csv","NL","f","17","31","L","H","N",707.5,100
"2","D_List01.csv","NL","f","17","31","L","H","Y",562.5,75
"3","D_List01.csv","NL","f","17","31","L","V","N",718,100
"4","D_List01.csv","NL","f","17","31","L","V","Y",790,100
"5","D_List01.csv","NL","f","17","31","S","H","N",588,100
"6","D_List01.csv","NL","f","17","31","S","H","Y",734,100
"7","D_List01.csv","NL","f","17","31","S","V","N",554.5,100
"8","D_List01.csv","NL","f","17","31","S","V","Y",621.5,100
"9","D_List01.csv","NL","f","18","12","L","H","N",573.5,100
"10","D_List01.csv","NL","f","18","12","L","H","Y",487.5,100
"11","D_List01.csv","NL","f","18","12","L","V","N",507.5,100
"12","D_List01.csv","NL","f","18","12","L","V","Y",640,87.5
"13","D_List01.csv","NL","f","18","12","S","H","N",523,87.5
"14","D_List01.csv","NL","f","18","12","S","H","Y",498.5,100
"15","D_List01.csv","NL","f","18","12","S","V","N",477,100
"16","D_List01.csv","NL","f","18","12","S","V","Y",444.5,100
"17","D_List01.csv","NL","f","18","37","L","H","N",727,100
"18","D_List01.csv","NL","f","18","37","L","H","Y",810,100
"19","D_List01.csv","NL","f","18","37","L","V","N",640,87.5
"20","D_List01.csv","NL","f","18","37","L","V","Y",708.5,100
"21","D_List01.csv","NL","f","18","37","S","H","N",645,87.5
"22","D_List01.csv","NL","f","18","37","S","H","Y",573,75
"23","D_List01.csv","NL","f","18","37","S","V","N",665.5,100
"24","D_List01.csv","NL","f","18","37","S","V","Y",537,87.5
"25","D_List01.csv","NL","f","19","06","L","H","N",794.5,100
"26","D_List01.csv","NL","f","19","06","L","H","Y",800.5,100
"27","D_List01.csv","NL","f","19","06","L","V","N",908.5,100
"28","D_List01.csv","NL","f","19","06","L","V","Y",758,87.5
"29","D_List01.csv","NL","f","19","06","S","H","N",665.5,100
"30","D_List01.csv","NL","f","19","06","S","H","Y",644,87.5
"31","D_List01.csv","NL","f","19","06","S","V","N",636,87.5
"32","D_List01.csv","NL","f","19","06","S","V","Y",726.5,100
"33","D_List01.csv","NL","f","19","32","L","H","N",719.5,100
"34","D_List01.csv","NL","f","19","32","L","H","Y",814,100
"35","D_List01.csv","NL","f","19","32","L","V","N",867.5,100
"36","D_List01.csv","NL","f","19","32","L","V","Y",841,100
"37","D_List01.csv","NL","f","19","32","S","H","N",819.5,100
"38","D_List01.csv","NL","f","19","32","S","H","Y",799,87.5
"39","D_List01.csv","NL","f","19","32","S","V","N",758.5,100
"40","D_List01.csv","NL","f","19","32","S","V","Y",702.5,100
"41","D_List01.csv","NL","f","21","11","L","H","N",764.5,100
"42","D_List01.csv","NL","f","21","11","L","H","Y",720.5,100
"43","D_List01.csv","NL","f","21","11","L","V","N",588,100
"44","D_List01.csv","NL","f","21","11","L","V","Y",544,87.5
"45","D_List01.csv","NL","f","21","11","S","H","N",585,87.5
"46","D_List01.csv","NL","f","21","11","S","H","Y",590,87.5
"47","D_List01.csv","NL","f","21","11","S","V","N",490.5,75
"48","D_List01.csv","NL","f","21","11","S","V","Y",668,87.5
"49","D_List01.csv","NL","f","22","26","L","H","N",606,100
"50","D_List01.csv","NL","f","22","26","L","H","Y",595,100
"51","D_List01.csv","NL","f","22","26","L","V","N",649.5,100
"52","D_List01.csv","NL","f","22","26","L","V","Y",634.5,100
"53","D_List01.csv","NL","f","22","26","S","H","N",509.5,100
"54","D_List01.csv","NL","f","22","26","S","H","Y",518.5,75
