"","List","ID","LHN_RT","LHY_RT","LVN_RT","LVY_RT","SHN_RT","SHY_RT","SVN_RT","SVY_RT","LHN_ACC","LHY_ACC","LVN_ACC","LVY_ACC","SHN_ACC","SHY_ACC","SVN_ACC","SVY_ACC"
"1","D_List01.csv",1,694.5,500.5,792.5,483,521.5,650.5,524,668.5,100,100,100,87.5,100,75,87.5,100
"2","D_List02.csv",2,517,564,602,541.5,486,561,520.5,483,100,100,100,100,87.5,100,100,100
"3","D_List03.csv",3,563,495.5,521,446,448,438,442.5,444,87.5,100,75,87.5,100,87.5,100,87.5
"4","D_List03.csv",4,666.5,710,809.5,629,590,595,612.5,516,75,75,100,87.5,87.5,87.5,100,87.5
"5","D_List04.csv",5,554.5,645.5,709.5,749.5,548,592,631,635,100,100,100,75,87.5,100,87.5,100
"6","D_List01.csv",6,794.5,800.5,908.5,758,665.5,644,636,726.5,100,100,100,87.5,100,87.5,87.5,100
"7","D_List02.csv",7,554,739.5,846,566.5,587,553,655,624,75,100,87.5,100,87.5,87.5,87.5,100
"8","D_List02.csv",8,726,587.5,743.5,615,515.5,626.5,662.5,758.5,100,100,100,100,100,100,100,100
"9","D_List03.csv",9,638.5,464,563,673,557,485,581.5,480.5,75,62.5,100,87.5,100,87.5,100,100
"10","D_List04.csv",10,488,645,720.5,614.5,489,484.5,554.5,715,87.5,87.5,100,75,87.5,100,100,87.5
"11","D_List01.csv",11,764.5,720.5,588,544,585,590,490.5,668,100,100,100,87.5,87.5,87.5,75,87.5
"12","D_List01.csv",12,573.5,487.5,507.5,640,523,498.5,477,444.5,100,100,100,87.5,87.5,100,100,100
"13","D_List02.csv",13,767,768.5,765.5,703.5,785.5,598,802,825.5,100,75,75,100,100,87.5,100,75
"14","D_List03.csv",14,905,970,799.5,957,968,973,724,853,87.5,87.5,100,100,100,62.5,100,100
"15","D_List04.csv",15,632,591,557.5,539.5,634,547,634,572,87.5,100,100,100,87.5,100,87.5,100
"16","D_List04.csv",16,584.5,541,600,592,569.5,574.5,599,677.5,100,100,87.5,87.5,75,100,87.5,100
"17","D_List02.csv",17,479,513,545,554,565,502,439,532,87.5,100,87.5,87.5,75,100,87.5,100
"18","D_List03.csv",18,603.5,809.5,717.5,768,736.5,614.5,699.5,553,75,100,100,100,100,100,100,87.5
"19","D_List04.csv",19,655.5,709,652,642,602,660,662,636,100,87.5,100,62.5,87.5,100,100,87.5
"20","D_List04.csv",20,472.5,619,722,576.5,722,483,586,576.5,100,100,100,100,87.5,87.5,87.5,100
"21","D_List01.csv",21,692.5,900.5,816.5,718.5,719.5,664,676,684,100,100,100,100,100,100,87.5,87.5
"22","D_List02.csv",22,923,760,986.5,860.5,678,672.5,1004,837.5,100,100,75,100,87.5,75,87.5,100
"23","D_List03.csv",23,670,596,724,657,521,644,520.5,520.5,87.5,87.5,87.5,100,87.5,87.5,100,100
"24","D_List03.csv",24,621.5,696.5,704.5,674,618.5,568,556,642,100,75,100,75,75,87.5,87.5,100
"25","D_List04.csv",25,850.5,797.5,827,899.5,831,782,900,970,100,100,87.5,100,75,87.5,87.5,100
"26","D_List01.csv",26,606,595,649.5,634.5,509.5,518.5,553,602,100,100,100,100,100,75,100,87.5
"27","D_List02.csv",27,793.5,597,880,723.5,588,640,638,638,100,87.5,87.5,100,100,100,87.5,100
"28","D_List02.csv",28,546.5,518,485,519.5,517,451,461,446,100,87.5,87.5,100,87.5,87.5,100,100
"29","D_List03.csv",29,895,861.5,897.5,1053,722,816,707,720,87.5,100,100,100,87.5,100,100,87.5
"30","D_List04.csv",30,773,687,581.5,658.5,637,718,638,569,75,87.5,75,100,87.5,87.5,87.5,87.5
"31","D_List01.csv",31,707.5,562.5,718,790,588,734,554.5,621.5,100,75,100,100,100,100,100,100
"32","D_List01.csv",32,719.5,814,867.5,841,819.5,799,758.5,702.5,100,100,100,100,100,87.5,100,100
"33","D_List02.csv",33,724.5,753.5,668.5,813,800,645.5,815.5,645,100,100,75,100,87.5,100,75,100
"34","D_List03.csv",34,743,648.5,651.5,620.5,720.5,567,706,689,100,100,100,100,100,87.5,100,87.5
"35","D_List04.csv",35,569,586.5,584,580,545,602.5,533,524.5,100,100,100,100,100,100,87.5,100
"36","D_List04.csv",36,582.5,714.5,757,738,613.5,562,559,618,100,100,87.5,100,100,87.5,87.5,100
"37","D_List01.csv",37,727,810,640,708.5,645,573,665.5,537,100,100,87.5,100,87.5,75,100,87.5
"38","D_List02.csv",38,554,568,620,646,700.5,553,525,519,100,100,100,87.5,75,100,87.5,87.5
"39","D_List03.csv",39,600.5,565.5,562,593,543.5,528,530,464.5,100,100,100,75,100,87.5,100,100
"40","D_List03.csv",40,588,513.5,646,703,531,448,519,538,100,100,100,100,100,87.5,100,87.5
