"","ID","List","count_Trial","Size","Orien","Match","Probe","Target","correct_response","response_time_Probe_response","response_time_Target_response","correct"
"1","rawdata/NL-f-17-31","D_List01.csv",0,"F","F","F","De ballon was in de hand van het kind.","STI_EXP02/Filler/pill.jpg","f",2225,679,1
"2","rawdata/NL-f-17-31","D_List01.csv",1,"F","F","F","De motorfiets stond op de parkeerplaats","STI_EXP02/Filler/earring01.jpg","f",3284,553,1
"3","rawdata/NL-f-17-31","D_List01.csv",2,"S","H","Y","De reageerbuis lag op de werktafel.","STI_EXP02/SMALL/126-eprouvette_test-tube.jpg","j",952,674,1
"4","rawdata/NL-f-17-31","D_List01.csv",3,"F","F","F","De koe werd gehouden op de veeboerderij.","STI_EXP02/Filler/294-ventilateur_fan.jpg","f",1210,566,1
"5","rawdata/NL-f-17-31","D_List01.csv",4,"L","V","N","De piano werd rechtop in de vrachtwagen gelegd","STI_EXP02/LARGE/Uprightpiano_V.jpg","j",1437,947,1
"6","rawdata/NL-f-17-31","D_List01.csv",5,"F","F","F","De kerk stond op het plein","STI_EXP02/Filler/airhockeytable.jpg","f",906,678,1
"7","rawdata/NL-f-17-31","D_List01.csv",6,"F","F","F","De zaklamp lag in de koffer.","STI_EXP02/Filler/freighttruck.jpg","f",822,755,1
"8","rawdata/NL-f-17-31","D_List01.csv",7,"S","V","N","De buffet tangen lagen in de la","STI_EXP02/SMALL/tongs01b_r.jpg","j",1776,524,1
"9","rawdata/NL-f-17-31","D_List01.csv",8,"L","V","N","De metalen sloopkogel bereikte de maximale hoogte","STI_EXP02/LARGE/wreckingball_V.jpg","j",1729,645,1
"10","rawdata/NL-f-17-31","D_List01.csv",9,"F","F","F","De paraplu lag op het strand","STI_EXP02/Filler/tv.jpg","f",2171,558,1
"11","rawdata/NL-f-17-31","D_List01.csv",10,"F","F","F","De trein reed over het spoor","STI_EXP02/Filler/156-hot-dog_hot-dog.jpg","f",1640,601,1
"12","rawdata/NL-f-17-31","D_List01.csv",11,"S","H","N","De lepel was rechts van het bord geplaatst.","STI_EXP02/SMALL/spoon_H.jpg","j",3312,564,1
"13","rawdata/NL-f-17-31","D_List01.csv",12,"F","F","F","Het Zwitserse zakmes lag op de tafel","STI_EXP02/Filler/filmroll.jpg","f",1469,557,1
"14","rawdata/NL-f-17-31","D_List01.csv",13,"F","F","F","De hamer was op het bureau","STI_EXP02/Filler/uprightpiano01.jpg","f",2296,877,1
"15","rawdata/NL-f-17-31","D_List01.csv",14,"S","V","Y","De fles stond op de plank.","STI_EXP02/SMALL/beerbottle_r.jpg","j",975,525,1
"16","rawdata/NL-f-17-31","D_List01.csv",15,"S","V","N","De fotolijst lag in de lade","STI_EXP02/SMALL/pictureframe04_r.jpg","j",1069,556,1
"17","rawdata/NL-f-17-31","D_List01.csv",16,"F","F","F","De hut stond in het bos","STI_EXP02/Filler/barn.jpg","f",900,944,1
"18","rawdata/NL-f-17-31","D_List01.csv",17,"L","V","N","De raket werd vervoerd naar het lanceerplatform","STI_EXP02/LARGE/rocket_V.jpg","j",1681,825,1
"19","rawdata/NL-f-17-31","D_List01.csv",18,"S","H","N","De zalf werd gebruikt op het oog van de patiënt","STI_EXP02/SMALL/gluetube.jpg","j",2491,873,1
"20","rawdata/NL-f-17-31","D_List01.csv",19,"F","F","F","De monitor stond op het bureau.","STI_EXP02/Filler/fryingpan02a.jpg","f",1133,555,1
"21","rawdata/NL-f-17-31","D_List01.csv",20,"S","H","N","Het madeliefje werd geplukt door de toerist.","STI_EXP02/SMALL/daisy.jpg","j",2494,953,1
"22","rawdata/NL-f-17-31","D_List01.csv",21,"F","F","F","De speelkaart was in de handen van de goochelaar","STI_EXP02/Filler/weight01.jpg","f",1139,601,1
"23","rawdata/NL-f-17-31","D_List01.csv",22,"L","H","Y","De matras werd op het bed gelegd.","STI_EXP02/LARGE/mattress_H.jpg","j",671,599,1
"24","rawdata/NL-f-17-31","D_List01.csv",23,"L","V","Y","De slagbomen werden opgeheven nadat de auto onderzocht was.","STI_EXP02/LARGE/gate_arms_V.jpg","j",1475,953,1
"25","rawdata/NL-f-17-31","D_List01.csv",24,"L","V","Y","De raket werd gelanceerd vanaf de onderzeeër.","STI_EXP02/LARGE/missle_V.jpg","j",1108,1301,1
"26","rawdata/NL-f-17-31","D_List01.csv",25,"F","F","F","De speelgoeddinosaurus stond op de tafel.","STI_EXP02/Filler/usbkey.jpg","f",1222,618,1
"27","rawdata/NL-f-17-31","D_List01.csv",26,"S","V","Y","De spijker werd op het hout genageld","STI_EXP02/SMALL/nail_r.jpg","j",922,678,1
"28","rawdata/NL-f-17-31","D_List01.csv",27,"F","F","F","Het bed bevond zich in de kamer","STI_EXP02/Filler/240-pont_bridge.jpg","f",877,760,1
"29","rawdata/NL-f-17-31","D_List01.csv",28,"S","V","N","De schroevendraaier lag op de werkbank","STI_EXP02/SMALL/screwdriver04b_r.jpg","j",859,525,1
"30","rawdata/NL-f-17-31","D_List01.csv",29,"F","F","F","De SUV reed snel op de weg","STI_EXP02/Filler/castletower.jpg","f",657,757,1
"31","rawdata/NL-f-17-31","D_List01.csv",30,"L","V","Y","De grote koelkast stond in de keuken.","STI_EXP02/LARGE/refrigerator_V.jpg","j",823,717,1
"32","rawdata/NL-f-17-31","D_List01.csv",31,"F","F","F","De politieauto reed over de weg.","STI_EXP02/Filler/282-tractopelle_digger.jpg","f",855,677,1
"33","rawdata/NL-f-17-31","D_List01.csv",32,"F","F","F","Het slagschip voer de zee op.","STI_EXP02/Filler/166-klaxon_horn.jpg","f",881,592,1
"34","rawdata/NL-f-17-31","D_List01.csv",33,"F","F","F","Het vlot bewoog naar de pier","STI_EXP02/Filler/293-usine_factory.jpg","f",1059,641,1
"35","rawdata/NL-f-17-31","D_List01.csv",34,"L","H","N","De kraanarm was omhoog toen de arbeiders de lading verplaatsten.","STI_EXP02/LARGE/crane_H.jpg","j",2147,878,1
"36","rawdata/NL-f-17-31","D_List01.csv",35,"F","F","F","Het oorlogsschip voer naar de haven","STI_EXP02/Filler/boxtrailer.jpg","f",977,682,1
