"List","Match","Orien","Probe","Size","Target","acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_Probe_Prac_response","correct_Probe_response","correct_Start_D","correct_Start_response_C","correct_Target_response","correct_Target_response_Prac","correct_Welcome_D","correct_Welcome_response_C","correct_count","correct_response","count_Chinese","count_Dutch","count_EXP02","count_End_C","count_End_D","count_End_E","count_English","count_Exp_loop_C","count_Exp_loop_D","count_Exp_loop_E","count_Exp_seq_C","count_Exp_seq_D","count_Exp_seq_E","count_First_Fixation","count_First_Fixation_Prac","count_Language_Selection","count_List_Select_C","count_List_Select_D","count_List_Select_E","count_Prac_C","count_Prac_Count","count_Prac_D","count_Prac_E","count_Prac_Reset_C","count_Prac_Reset_D","count_Prac_Reset_E","count_Prac_Trial","count_Prac_loop_C","count_Prac_loop_D","count_Prac_loop_E","count_Prac_seq_C","count_Prac_seq_D","count_Prac_seq_E","count_Prac_setup_C","count_Prac_setup_D","count_Prac_setup_E","count_Probe","count_Probe_Prac","count_Probe_Prac_response","count_Probe_response","count_Second_Fixation","count_Second_Fixation_Prac","count_Start_C","count_Start_D","count_Start_E","count_Start_response_C","count_Target","count_Target_Prac","count_Target_response","count_Target_response_Prac","count_Target_response_correct","count_Target_response_correct_Prac","count_Target_response_noans","count_Target_response_noans_Prac","count_Target_response_wrong","count_Target_response_wrong_Prac","count_Trial","count_Trial_Break","count_Trial_logger","count_Welcome_C","count_Welcome_D","count_Welcome_E","count_Welcome_response_C","count_reset_random","datetime","description","disable_garbage_collection","empty_column","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","form_response","fullscreen","height","keyboard_backend","language1","language2","language3","live_row","live_row_Exp_loop_D","live_row_Prac_D","live_row_Prac_loop_D","logfile","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","reset_loop","response","response_End_C","response_End_D","response_End_E","response_Probe_Prac_response","response_Probe_response","response_Start_D","response_Start_E","response_Start_response_C","response_Target_response","response_Target_response_Prac","response_Trial_Break","response_Welcome_D","response_Welcome_E","response_Welcome_response_C","response_time","response_time_End_C","response_time_End_D","response_time_End_E","response_time_Probe_Prac_response","response_time_Probe_response","response_time_Start_D","response_time_Start_E","response_time_Start_response_C","response_time_Target_response","response_time_Target_response_Prac","response_time_Trial_Break","response_time_Welcome_D","response_time_Welcome_E","response_time_Welcome_response_C","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","time_Chinese","time_Dutch","time_EXP02","time_End_C","time_End_D","time_End_E","time_English","time_Exp_loop_C","time_Exp_loop_D","time_Exp_loop_E","time_Exp_seq_C","time_Exp_seq_D","time_Exp_seq_E","time_First_Fixation","time_First_Fixation_Prac","time_Language_Selection","time_List_Select_C","time_List_Select_D","time_List_Select_E","time_Prac_C","time_Prac_Count","time_Prac_D","time_Prac_E","time_Prac_Reset_C","time_Prac_Reset_D","time_Prac_Reset_E","time_Prac_Trial","time_Prac_loop_C","time_Prac_loop_D","time_Prac_loop_E","time_Prac_seq_C","time_Prac_seq_D","time_Prac_seq_E","time_Prac_setup_C","time_Prac_setup_D","time_Prac_setup_E","time_Probe","time_Probe_Prac","time_Probe_Prac_response","time_Probe_response","time_Second_Fixation","time_Second_Fixation_Prac","time_Start_C","time_Start_D","time_Start_E","time_Start_response_C","time_Target","time_Target_Prac","time_Target_response","time_Target_response_Prac","time_Target_response_correct","time_Target_response_correct_Prac","time_Target_response_noans","time_Target_response_noans_Prac","time_Target_response_wrong","time_Target_response_wrong_Prac","time_Trial","time_Trial_Break","time_Trial_logger","time_Welcome_C","time_Welcome_D","time_Welcome_E","time_Welcome_response_C","time_reset_random","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"D_List03.csv","N","V","De replica van het vrijheidsbeeld werd naar het park verplaatst.","L","STI_EXP02/LARGE/liberty_V.jpg","30.7692307692","30.7692307692","1243.80769231","1243.80769231","black","yes","xpyriment","legacy","legacy","0","uniform","1","0","0","0","NA","1","1","undefined","NA","6","j","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11","0","0","0","0","0","11","0","0","NA","5","NA","11","NA","5","NA","NA","5","NA","0","0","0","0","11","11","0","0","11","0","0","0","0","0","11","0","11","0","11","0","11","0","11","0","NA","0","0","0","0","0","2","11/10/16 17:28:40","Matching Tasks","yes","","Simulation2016_EXP02V2.1.0.osexp","D:\Users\ebluser\Desktop\csc","no","chinese-japanese-korean","no","18","no","white","no","Dutch","yes","768","legacy","no","yes","no","0","0","6","5","NL-m-24-24.csv","xpyriment","Jazzy James","3.1.3","0","0","j","NA","NA","NA","space","space","space","NA","NA","j","f","NA","space","NA","NA","735","NA","NA","NA","770","1244","6186","NA","NA","735","648","NA","28978","NA","NA","2","legacy","1024","2","48000","-16","EXP02","24","even","NA","9101","4287","NA","NA","NA","NA","NA","106829","NA","NA","106829","NA","107414","97072","4287","NA","106829","NA","NA","100558","38095","NA","NA","74635","NA","97061","NA","74635","NA","NA","74635","NA","NA","38095","NA","108432","98090","98090","108432","109683","98874","NA","100642","NA","NA","110200","99391","110200","99391","110950","100058","NA","47565","NA","74070","107368","NA","111450","NA","9117","NA","NA","106829","Simulation2016_EXP02","8","32339","26","yes","1024"
"D_List03.csv","N","V","De kraanarm was omlaag toen de kraanwagen stopte.","L","STI_EXP02/LARGE/crane_V.jpg","32.1428571429","32.1428571429","1228.46428571","1228.46428571","black","yes","xpyriment","legacy","legacy","0","uniform","1","0","0","0","NA","1","1","undefined","NA","6","j","0","0","0","0","0","0","0","0","0","0","0","0","0","1","11","0","0","0","0","0","11","0","0","NA","5","NA","11","NA","5","NA","NA","5","NA","0","0","0","1","11","11","1","1","11","0","0","0","0","1","11","1","11","1","11","1","11","1","11","1","NA","1","0","0","0","0","2","11/10/16 17:28:40","Matching Tasks","yes","","Simulation2016_EXP02V2.1.0.osexp","D:\Users\ebluser\Desktop\csc","no","chinese-japanese-korean","no","18","no","white","no","Dutch","yes","768","legacy","no","yes","no","1","1","6","5","NL-m-24-24.csv","xpyriment","Jazzy James","3.1.3","0","0","j","NA","NA","NA","space","space","space","NA","NA","j","f","NA","space","NA","NA","908","NA","NA","NA","770","1150","6186","NA","NA","908","648","NA","28978","NA","NA","2","legacy","1024","2","48000","-16","EXP02","24","even","NA","9101","4287","NA","NA","NA","NA","NA","106829","NA","NA","106829","NA","112668","97072","4287","NA","106829","NA","NA","100558","38095","NA","NA","74635","NA","97061","NA","74635","NA","NA","74635","NA","NA","38095","NA","113686","98090","98090","113686","114853","98874","NA","100642","NA","NA","115370","99391","115371","99391","116288","100058","NA","47565","NA","74070","112648","NA","116788","NA","9117","NA","NA","106829","Simulation2016_EXP02","9","34397","28","yes","1024"
"D_List03.csv","N","V","De hengel werd vastgehouden door de visser","S","STI_EXP02/SMALL/fishingrod_r.jpg","30","30","1162.13333333","1162.13333333","black","yes","xpyriment","legacy","legacy","0","uniform","0","0","0","0","NA","0","1","undefined","NA","6","j","0","0","0","0","0","0","0","0","0","0","0","0","0","2","11","0","0","0","0","0","11","0","0","NA","5","NA","11","NA","5","NA","NA","5","NA","0","0","0","2","11","11","2","2","11","0","0","0","0","2","11","2","11","2","11","2","11","2","11","2","NA","2","0","0","0","0","2","11/10/16 17:28:40","Matching Tasks","yes","","Simulation2016_EXP02V2.1.0.osexp","D:\Users\ebluser\Desktop\csc","no","chinese-japanese-korean","no","18","no","white","no","Dutch","yes","768","legacy","no","yes","no","2","2","6","5","NL-m-24-24.csv","xpyriment","Jazzy James","3.1.3","0","0","f","NA","NA","NA","space","space","space","NA","NA","f","f","NA","space","NA","NA","329","NA","NA","NA","770","138","6186","NA","NA","329","648","NA","28978","NA","NA","2","legacy","1024","2","48000","-16","EXP02","24","even","NA","9101","4287","NA","NA","NA","NA","NA","106829","NA","NA","106829","NA","117405","97072","4287","NA","106829","NA","NA","100558","38095","NA","NA","74635","NA","97061","NA","74635","NA","NA","74635","NA","NA","38095","NA","118423","98090","98090","118423","118573","98874","NA","100642","NA","NA","119090","99391","119090","99391","116288","100058","NA","47565","119440","74070","117386","NA","119940","NA","9117","NA","NA","106829","Simulation2016_EXP02","9","34864","30","yes","1024"
"D_List03.csv","F","F","De ballon was in de hand van het kind.","F","STI_EXP02/Filler/pill.jpg","28.125","28.125","1110.84375","1110.84375","black","yes","xpyriment","legacy","legacy","0","uniform","0","0","0","0","NA","0","1","undefined","NA","6","f","0","0","0","0","0","0","0","0","0","0","0","0","0","3","11","0","0","0","0","0","11","0","0","NA","5","NA","11","NA","5","NA","NA","5","NA","0","0","0","3","11","11","3","3","11","0","0","0","0","3","11","3","11","3","11","3","11","3","11","3","NA","3","0","0","0","0","2","11/10/16 17:28:40","Matching Tasks","yes","","Simulation2016_EXP02V2.1.0.osexp","D:\Users\ebluser\Desktop\csc","no","chinese-japanese-korean","no","18","no","white","no","Dutch","yes","768","legacy","no","yes","no","3","3","6","5","NL-m-24-24.csv","xpyriment","Jazzy James","3.1.3","0","0","j","NA","NA","NA","space","space","space","NA","NA","j","f","NA","space","NA","NA","437","NA","NA","NA","770","246","6186","NA","NA","437","648","NA","28978","NA","NA","2","legacy","1024","2","48000","-16","EXP02","24","even","NA","9101","4287","NA","NA","NA","NA","NA","106829","NA","NA","106829","NA","120574","97072","4287","NA","106829","NA","NA","100558","38095","NA","NA","74635","NA","97061","NA","74635","NA","NA","74635","NA","NA","38095","NA","121592","98090","98090","121592","121859","98874","NA","100642","NA","NA","122376","99391","122376","99391","116288","100058","NA","47565","122826","74070","120569","NA","123326","NA","9117","NA","NA","106829","Simulation2016_EXP02","9","35547","32","yes","1024"
"D_List03.csv","Y","H","De hoed stond op het hoofd van het model","S","STI_EXP02/SMALL/hat.jpg","29.4117647059","29.4117647059","1136.76470588","1136.76470588","black","yes","xpyriment","legacy","legacy","0","uniform","1","0","0","0","NA","1","1","undefined","NA","6","j","0","0","0","0","0","0","0","0","0","0","0","0","0","4","11","0","0","0","0","0","11","0","0","NA","5","NA","11","NA","5","NA","NA","5","NA","0","0","0","4","11","11","4","4","11","0","0","0","0","4","11","4","11","4","11","4","11","4","11","4","NA","4","0","0","0","0","2","11/10/16 17:28:40","Matching Tasks","yes","","Simulation2016_EXP02V2.1.0.osexp","D:\Users\ebluser\Desktop\csc","no","chinese-japanese-korean","no","18","no","white","no","Dutch","yes","768","legacy","no","yes","no","4","4","6","5","NL-m-24-24.csv","xpyriment","Jazzy James","3.1.3","0","0","j","NA","NA","NA","space","space","space","NA","NA","j","f","NA","space","NA","NA","742","NA","NA","NA","770","2361","6186","NA","NA","742","648","NA","28978","NA","NA","2","legacy","1024","2","48000","-16","EXP02","24","even","NA","9101","4287","NA","NA","NA","NA","NA","106829","NA","NA","106829","NA","123845","97072","4287","NA","106829","NA","NA","100558","38095","NA","NA","74635","NA","97061","NA","74635","NA","NA","74635","NA","NA","38095","NA","124862","98090","98090","124862","127231","98874","NA","100642","NA","NA","127748","99391","127748","99391","128498","100058","NA","47565","122826","74070","123832","NA","128998","NA","9117","NA","NA","106829","Simulation2016_EXP02","10","38650","34","yes","1024"
"D_List03.csv","F","F","De truck stond in de fabriek","F","STI_EXP02/Filler/cooler01.jpg","30.5555555556","30.5555555556","1133.16666667","1133.16666667","black","yes","xpyriment","legacy","legacy","0","uniform","1","0","0","0","NA","1","1","undefined","NA","6","f","0","0","0","0","0","0","0","0","0","0","0","0","0","5","11","0","0","0","0","0","11","0","0","NA","5","NA","11","NA","5","NA","NA","5","NA","0","0","0","5","11","11","5","5","11","0","0","0","0","5","11","5","11","5","11","5","11","5","11","5","NA","5","0","0","0","0","2","11/10/16 17:28:40","Matching Tasks","yes","","Simulation2016_EXP02V2.1.0.osexp","D:\Users\ebluser\Desktop\csc","no","chinese-japanese-korean","no","18","no","white","no","Dutch","yes","768","legacy","no","yes","no","5","5","6","5","NL-m-24-24.csv","xpyriment","Jazzy James","3.1.3","0","0","f","NA","NA","NA","space","space","space","NA","NA","f","f","NA","space","NA","NA","676","NA","NA","NA","770","1468","6186","NA","NA","676","648","NA","28978","NA","NA","2","legacy","1024","2","48000","-16","EXP02","24","even","NA","9101","4287","NA","NA","NA","NA","NA","106829","NA","NA","106829","NA","129516","97072","4287","NA","106829","NA","NA","100558","38095","NA","NA","74635","NA","97061","NA","74635","NA","NA","74635","NA","NA","38095","NA","130533","98090","98090","130533","132018","98874","NA","100642","NA","NA","132535","99391","132535","99391","133219","100058","NA","47565","122826","74070","129500","NA","133719","NA","9117","NA","NA","106829","Simulation2016_EXP02","11","40794","36","yes","1024"
"D_List03.csv","Y","H","De raket vloog over de zee.","L","STI_EXP02/LARGE/missle_H.jpg","31.5789473684","31.5789473684","1123.89473684","1123.89473684","black","yes","xpyriment","legacy","legacy","0","uniform","1","0","0","0","NA","1","1","undefined","NA","6","j","0","0","0","0","0","0","0","0","0","0","0","0","0","6","11","0","0","0","0","0","11","0","0","NA","5","NA","11","NA","5","NA","NA","5","NA","0","0","0","6","11","11","6","6","11","0","0","0","0","6","11","6","11","6","11","6","11","6","11","6","NA","6","0","0","0","0","2","11/10/16 17:28:40","Matching Tasks","yes","","Simulation2016_EXP02V2.1.0.osexp","D:\Users\ebluser\Desktop\csc","no","chinese-japanese-korean","no","18","no","white","no","Dutch","yes","768","legacy","no","yes","no","6","6","6","5","NL-m-24-24.csv","xpyriment","Jazzy James","3.1.3","0","0","j","NA","NA","NA","space","space","space","NA","NA","j","f","NA","space","NA","NA","992","NA","NA","NA","770","922","6186","NA","NA","992","648","NA","28978","NA","NA","2","legacy","1024","2","48000","-16","EXP02","24","even","NA","9101","4287","NA","NA","NA","NA","NA","106829","NA","NA","106829","NA","134236","97072","4287","NA","106829","NA","NA","100558","38095","NA","NA","74635","NA","97061","NA","74635","NA","NA","74635","NA","NA","38095","NA","135253","98090","98090","135253","136187","98874","NA","100642","NA","NA","136704","99391","136705","99391","137705","100058","NA","47565","122826","74070","134228","NA","138205","NA","9117","NA","NA","106829","Simulation2016_EXP02","12","42708","38","yes","1024"
"D_List03.csv","F","F","De hondenhuis stond naast de deur","F","STI_EXP02/Filler/strap.jpg","32.5","32.5","1118.325","1118.325","black","yes","xpyriment","legacy","legacy","0","uniform","1","0","0","0","NA","1","1","undefined","NA","6","f","0","0","0","0","0","0","0","0","0","0","0","0","0","7","11","0","0","0","0","0","11","0","0","NA","5","NA","11","NA","5","NA","NA","5","NA","0","0","0","7","11","11","7","7","11","0","0","0","0","7","11","7","11","7","11","7","11","7","11","7","NA","7","0","0","0","0","2","11/10/16 17:28:40","Matching Tasks","yes","","Simulation2016_EXP02V2.1.0.osexp","D:\Users\ebluser\Desktop\csc","no","chinese-japanese-korean","no","18","no","white","no","Dutch","yes","768","legacy","no","yes","no","7","7","6","5","NL-m-24-24.csv","xpyriment","Jazzy James","3.1.3","0","0","f","NA","NA","NA","space","space","space","NA","NA","f","f","NA","space","NA","NA","603","NA","NA","NA","770","1422","6186","NA","NA","603","648","NA","28978","NA","NA","2","legacy","1024","2","48000","-16","EXP02","24","even","NA","9101","4287","NA","NA","NA","NA","NA","106829","NA","NA","106829","NA","138806","97072","4287","NA","106829","NA","NA","100558","38095","NA","NA","74635","NA","97061","NA","74635","NA","NA","74635","NA","NA","38095","NA","139824","98090","98090","139824","141258","98874","NA","100642","NA","NA","141776","99391","141776","99391","142393","100058","NA","47565","122826","74070","138790","NA","142893","NA","9117","NA","NA","106829","Simulation2016_EXP02","13","44733","40","yes","1024"
"D_List03.csv","N","V","De ladder werd gedragen door de brandweerman.","L","STI_EXP02/LARGE/ladder_V.jpg","33.3333333333","33.3333333333","1110.0952381","1110.0952381","black","yes","xpyriment","legacy","legacy","0","uniform","1","0","0","0","NA","1","1","undefined","NA","6","j","0","0","0","0","0","0","0","0","0","0","0","0","0","8","11","0","0","0","0","0","11","0","0","NA","5","NA","11","NA","5","NA","NA","5","NA","0","0","0","8","11","11","8","8","11","0","0","0","0","8","11","8","11","8","11","8","11","8","11","8","NA","8","0","0","0","0","2","11/10/16 17:28:40","Matching Tasks","yes","","Simulation2016_EXP02V2.1.0.osexp","D:\Users\ebluser\Desktop\csc","no","chinese-japanese-korean","no","18","no","white","no","Dutch","yes","768","legacy","no","yes","no","8","8","6","5","NL-m-24-24.csv","xpyriment","Jazzy James","3.1.3","0","0","j","NA","NA","NA","space","space","space","NA","NA","j","f","NA","space","NA","NA","674","NA","NA","NA","770","1217","6186","NA","NA","674","648","NA","28978","NA","NA","2","legacy","1024","2","48000","-16","EXP02","24","even","NA","9101","4287","NA","NA","NA","NA","NA","106829","NA","NA","106829","NA","143461","97072","4287","NA","106829","NA","NA","100558","38095","NA","NA","74635","NA","97061","NA","74635","NA","NA","74635","NA","NA","38095","NA","144478","98090","98090","144478","145712","98874","NA","100642","NA","NA","146229","99391","146230","99391","146913","100058","NA","47565","122826","74070","143449","NA","147413","NA","9117","NA","NA","106829","Simulation2016_EXP02","14","46624","42","yes","1024"
"D_List03.csv","N","H","De schroevendraaier werd gebruikt door de werknemer.","S","STI_EXP02/SMALL/screwdriver04b.jpg","34.0909090909","34.0909090909","1097","1097","black","yes","xpyriment","legacy","legacy","0","uniform","1","0","0","0","NA","1","1","undefined","NA","6","j","0","0","0","0","0","0","0","0","0","0","0","0","0","9","11","0","0","0","0","0","11","0","0","NA","5","NA","11","NA","5","NA","NA","5","NA","0","0","0","9","11","11","9","9","11","0","0","0","0","9","11","9","11","9","11","9","11","9","11","9","NA","9","0","0","0","0","2","11/10/16 17:28:40","Matching Tasks","yes","","Simulation2016_EXP02V2.1.0.osexp","D:\Users\ebluser\Desktop\csc","no","chinese-japanese-korean","no","18","no","white","no","Dutch","yes","768","legacy","no","yes","no","9","9","6","5","NL-m-24-24.csv","xpyriment","Jazzy James","3.1.3","0","0","j","NA","NA","NA","space","space","space","NA","NA","j","f","NA","space","NA","NA","523","NA","NA","NA","770","1121","6186","NA","NA","523","648","NA","28978","NA","NA","2","legacy","1024","2","48000","-16","EXP02","24","even","NA","9101","4287","NA","NA","NA","NA","NA","106829","NA","NA","106829","NA","147964","97072","4287","NA","106829","NA","NA","100558","38095","NA","NA","74635","NA","97061","NA","74635","NA","NA","74635","NA","NA","38095","NA","148982","98090","98090","148982","150116","98874","NA","100642","NA","NA","150633","99391","150633","99391","151167","100058","NA","47565","122826","74070","147949","NA","151667","NA","9117","NA","NA","106829","Simulation2016_EXP02","15","48268","44","yes","1024"
