"List","Match","Orien","Probe","Size","Target","acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_Probe_Prac_response","correct_Probe_response","correct_Start_response_C","correct_Target_response","correct_Target_response_Prac","correct_Welcome_response_C","correct_count","correct_response","count_Chinese","count_Dutch","count_EXP02","count_End_C","count_End_D","count_End_E","count_English","count_Exp_loop_C","count_Exp_loop_D","count_Exp_loop_E","count_Exp_seq_C","count_Exp_seq_D","count_Exp_seq_E","count_First_Fixation","count_First_Fixation_Prac","count_Language_Selection","count_List_Select_C","count_List_Select_D","count_List_Select_E","count_Prac_C","count_Prac_Count","count_Prac_D","count_Prac_E","count_Prac_Reset_C","count_Prac_Reset_D","count_Prac_Reset_E","count_Prac_Trial","count_Prac_loop_C","count_Prac_loop_D","count_Prac_loop_E","count_Prac_seq_C","count_Prac_seq_D","count_Prac_seq_E","count_Prac_setup_C","count_Prac_setup_D","count_Prac_setup_E","count_Probe","count_Probe_Prac","count_Probe_Prac_response","count_Probe_response","count_Second_Fixation","count_Second_Fixation_Prac","count_Start_C","count_Start_D","count_Start_E","count_Start_response_C","count_Target","count_Target_Prac","count_Target_response","count_Target_response_Prac","count_Target_response_correct","count_Target_response_correct_Prac","count_Target_response_noans","count_Target_response_noans_Prac","count_Target_response_wrong","count_Target_response_wrong_Prac","count_Trial","count_Trial_Break","count_Trial_logger","count_Welcome_C","count_Welcome_D","count_Welcome_E","count_Welcome_response_C","count_reset_random","datetime","description","disable_garbage_collection","empty_column","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","form_response","fullscreen","height","keyboard_backend","language1","language2","language3","live_row","live_row_Exp_loop_C","live_row_Prac_C","live_row_Prac_loop_C","logfile","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","reset_loop","response","response_End_C","response_End_D","response_End_E","response_Probe_Prac_response","response_Probe_response","response_Start_D","response_Start_E","response_Start_response_C","response_Target_response","response_Target_response_Prac","response_Trial_Break","response_Welcome_D","response_Welcome_E","response_Welcome_response_C","response_time","response_time_End_C","response_time_End_D","response_time_End_E","response_time_Probe_Prac_response","response_time_Probe_response","response_time_Start_D","response_time_Start_E","response_time_Start_response_C","response_time_Target_response","response_time_Target_response_Prac","response_time_Trial_Break","response_time_Welcome_D","response_time_Welcome_E","response_time_Welcome_response_C","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","time_Chinese","time_Dutch","time_EXP02","time_End_C","time_End_D","time_End_E","time_English","time_Exp_loop_C","time_Exp_loop_D","time_Exp_loop_E","time_Exp_seq_C","time_Exp_seq_D","time_Exp_seq_E","time_First_Fixation","time_First_Fixation_Prac","time_Language_Selection","time_List_Select_C","time_List_Select_D","time_List_Select_E","time_Prac_C","time_Prac_Count","time_Prac_D","time_Prac_E","time_Prac_Reset_C","time_Prac_Reset_D","time_Prac_Reset_E","time_Prac_Trial","time_Prac_loop_C","time_Prac_loop_D","time_Prac_loop_E","time_Prac_seq_C","time_Prac_seq_D","time_Prac_seq_E","time_Prac_setup_C","time_Prac_setup_D","time_Prac_setup_E","time_Probe","time_Probe_Prac","time_Probe_Prac_response","time_Probe_response","time_Second_Fixation","time_Second_Fixation_Prac","time_Start_C","time_Start_D","time_Start_E","time_Start_response_C","time_Target","time_Target_Prac","time_Target_response","time_Target_response_Prac","time_Target_response_correct","time_Target_response_correct_Prac","time_Target_response_noans","time_Target_response_noans_Prac","time_Target_response_wrong","time_Target_response_wrong_Prac","time_Trial","time_Trial_Break","time_Trial_logger","time_Welcome_C","time_Welcome_D","time_Welcome_E","time_Welcome_response_C","time_reset_random","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"C_List02.csv","Y","V","重型吊臂升起準備移動貨物","L","STI_EXP02/LARGE/crane_V.jpg","35.4838709677","35.4838709677","4372.25","4372.25","black","yes","xpyriment","legacy","legacy","0","uniform","1","0","0","0","1","1","undefined","6","j","0","0","0","0","0","0","0","0","0","0","0","0","0","0","13","0","0","0","0","0","13","0","0","4","NA","NA","13","4","NA","NA","4","NA","NA","0","0","0","0","13","13","0","0","13","0","0","0","0","0","13","0","13","0","13","0","13","0","13","0","NA","0","0","0","0","0","2","10/14/16 12:16:22","Matching Tasks","yes","","Simulation2016_EXP02V2.1.0.osexp","D:\Users\ebluser\Desktop\csc","no","chinese-japanese-korean","no","18","no","white","no","Chinese","yes","768","legacy","yes","no","no","0","0","5","5","C_F_21-02.csv","xpyriment","Jazzy James","3.1.2","0","0","j","NA","NA","NA","space","space","NA","NA","space","j","j","NA","NA","NA","space","983","NA","NA","NA","549","8154","NA","NA","1828","983","1157","NA","NA","NA","17511","2","legacy","1024","2","48000","-16","EXP02","2","even","6128","NA","4703","NA","NA","NA","NA","181483","NA","NA","181482","NA","NA","182574","175801","4703","181482","NA","NA","23656","179571","NA","NA","152211","NA","NA","175788","152211","NA","NA","152211","NA","NA","23656","NA","NA","183592","176819","176819","183592","191765","177386","179654","NA","NA","179654","192282","177903","192282","177903","193283","179071","NA","151648","NA","151131","182559","NA","193783","6144","NA","NA","6144","181483","Simulation2016_EXP02","11","139912","32","yes","1024"
"C_List02.csv","N","V","那台自動販賣機躺在貨車中","L","STI_EXP02/LARGE/vending_V.jpg","33.3333333333","33.3333333333","4204.61764706","4204.61764706","black","yes","xpyriment","legacy","legacy","0","uniform","0","0","0","0","0","1","undefined","6","j","0","0","0","0","0","0","0","0","0","0","0","0","0","1","13","0","0","0","0","0","13","0","0","4","NA","NA","13","4","NA","NA","4","NA","NA","0","0","0","1","13","13","1","1","13","0","0","0","0","1","13","1","13","1","13","1","13","1","13","1","NA","1","0","0","0","0","2","10/14/16 12:16:22","Matching Tasks","yes","","Simulation2016_EXP02V2.1.0.osexp","D:\Users\ebluser\Desktop\csc","no","chinese-japanese-korean","no","18","no","white","no","Chinese","yes","768","legacy","yes","no","no","1","1","5","5","C_F_21-02.csv","xpyriment","Jazzy James","3.1.2","0","0","f","NA","NA","NA","space","space","NA","NA","space","f","j","NA","NA","NA","space","1160","NA","NA","NA","549","1885","NA","NA","1828","1160","1157","NA","NA","NA","17511","2","legacy","1024","2","48000","-16","EXP02","2","even","6128","NA","4703","NA","NA","NA","NA","181483","NA","NA","181482","NA","NA","195167","175801","4703","181482","NA","NA","23656","179571","NA","NA","152211","NA","NA","175788","152211","NA","NA","152211","NA","NA","23656","NA","NA","196185","176819","176819","196185","198086","177386","179654","NA","NA","179654","198603","177903","198603","177903","193283","179071","NA","151648","199772","151131","195146","NA","200272","6144","NA","NA","6144","181483","Simulation2016_EXP02","11","142957","34","yes","1024"
"C_List02.csv","N","V","那棵生玉米被丟在廚房角落","S","STI_EXP02/SMALL/cornhusk_r.jpg","31.4285714286","31.4285714286","4049.02777778","4049.02777778","black","yes","xpyriment","legacy","legacy","0","uniform","0","0","0","0","0","1","undefined","6","j","0","0","0","0","0","0","0","0","0","0","0","0","0","2","13","0","0","0","0","0","13","0","0","4","NA","NA","13","4","NA","NA","4","NA","NA","0","0","0","2","13","13","2","2","13","0","0","0","0","2","13","2","13","2","13","2","13","2","13","2","NA","2","0","0","0","0","2","10/14/16 12:16:22","Matching Tasks","yes","","Simulation2016_EXP02V2.1.0.osexp","D:\Users\ebluser\Desktop\csc","no","chinese-japanese-korean","no","18","no","white","no","Chinese","yes","768","legacy","yes","no","no","2","2","5","5","C_F_21-02.csv","xpyriment","Jazzy James","3.1.2","0","0","f","NA","NA","NA","space","space","NA","NA","space","f","j","NA","NA","NA","space","1014","NA","NA","NA","549","1794","NA","NA","1828","1014","1157","NA","NA","NA","17511","2","legacy","1024","2","48000","-16","EXP02","2","even","6128","NA","4703","NA","NA","NA","NA","181483","NA","NA","181482","NA","NA","201256","175801","4703","181482","NA","NA","23656","179571","NA","NA","152211","NA","NA","175788","152211","NA","NA","152211","NA","NA","23656","NA","NA","202274","176819","176819","202274","204075","177386","179654","NA","NA","179654","204592","177903","204592","177903","193283","179071","NA","151648","205626","151131","201238","NA","206126","6144","NA","NA","6144","181483","Simulation2016_EXP02","11","145765","36","yes","1024"
"C_List02.csv","F","F","蠟燭立在餐桌上","F","STI_EXP02/Filler/041-bonbon_candy.jpg","32.4324324324","32.4324324324","3890.86842105","3890.86842105","black","yes","xpyriment","legacy","legacy","0","uniform","1","0","0","0","1","1","undefined","6","f","0","0","0","0","0","0","0","0","0","0","0","0","0","3","13","0","0","0","0","0","13","0","0","4","NA","NA","13","4","NA","NA","4","NA","NA","0","0","0","3","13","13","3","3","13","0","0","0","0","3","13","3","13","3","13","3","13","3","13","3","NA","3","0","0","0","0","2","10/14/16 12:16:22","Matching Tasks","yes","","Simulation2016_EXP02V2.1.0.osexp","D:\Users\ebluser\Desktop\csc","no","chinese-japanese-korean","no","18","no","white","no","Chinese","yes","768","legacy","yes","no","no","3","3","5","5","C_F_21-02.csv","xpyriment","Jazzy James","3.1.2","0","0","f","NA","NA","NA","space","space","NA","NA","space","f","j","NA","NA","NA","space","977","NA","NA","NA","549","1111","NA","NA","1828","977","1157","NA","NA","NA","17511","2","legacy","1024","2","48000","-16","EXP02","2","even","6128","NA","4703","NA","NA","NA","NA","181483","NA","NA","181482","NA","NA","207244","175801","4703","181482","NA","NA","23656","179571","NA","NA","152211","NA","NA","175788","152211","NA","NA","152211","NA","NA","23656","NA","NA","208262","176819","176819","208262","209379","177386","179654","NA","NA","179654","209896","177903","209896","177903","210880","179071","NA","151648","205626","151131","207233","NA","211381","6144","NA","NA","6144","181483","Simulation2016_EXP02","12","147853","38","yes","1024"
"C_List02.csv","N","H","船錨正被放下","L","STI_EXP02/LARGE/anchor_H.jpg","33.3333333333","33.3333333333","3762.825","3762.825","black","yes","xpyriment","legacy","legacy","0","uniform","1","0","0","0","1","1","undefined","6","j","0","0","0","0","0","0","0","0","0","0","0","0","0","4","13","0","0","0","0","0","13","0","0","4","NA","NA","13","4","NA","NA","4","NA","NA","0","0","0","4","13","13","4","4","13","0","0","0","0","4","13","4","13","4","13","4","13","4","13","4","NA","4","0","0","0","0","2","10/14/16 12:16:22","Matching Tasks","yes","","Simulation2016_EXP02V2.1.0.osexp","D:\Users\ebluser\Desktop\csc","no","chinese-japanese-korean","no","18","no","white","no","Chinese","yes","768","legacy","yes","no","no","4","4","5","5","C_F_21-02.csv","xpyriment","Jazzy James","3.1.2","0","0","j","NA","NA","NA","space","space","NA","NA","space","j","j","NA","NA","NA","space","1667","NA","NA","NA","549","993","NA","NA","1828","1667","1157","NA","NA","NA","17511","2","legacy","1024","2","48000","-16","EXP02","2","even","6128","NA","4703","NA","NA","NA","NA","181483","NA","NA","181482","NA","NA","212398","175801","4703","181482","NA","NA","23656","179571","NA","NA","152211","NA","NA","175788","152211","NA","NA","152211","NA","NA","23656","NA","NA","213416","176819","176819","213416","214417","177386","179654","NA","NA","179654","214934","177903","214934","177903","216618","179071","217136","151648","205626","151131","212383","NA","217636","6144","NA","NA","6144","181483","Simulation2016_EXP02","13","150513","40","yes","1024"
"C_List02.csv","F","F","床舖就放在房間裡","F","STI_EXP02/Filler/240-pont_bridge.jpg","34.1463414634","34.1463414634","3663.28571429","3663.28571429","black","yes","xpyriment","legacy","legacy","0","uniform","1","0","0","0","1","1","undefined","6","f","0","0","0","0","0","0","0","0","0","0","0","0","0","5","13","0","0","0","0","0","13","0","0","4","NA","NA","13","4","NA","NA","4","NA","NA","0","0","0","5","13","13","5","5","13","0","0","0","0","5","13","5","13","5","13","5","13","5","13","5","NA","5","0","0","0","0","2","10/14/16 12:16:22","Matching Tasks","yes","","Simulation2016_EXP02V2.1.0.osexp","D:\Users\ebluser\Desktop\csc","no","chinese-japanese-korean","no","18","no","white","no","Chinese","yes","768","legacy","yes","no","no","5","5","5","5","C_F_21-02.csv","xpyriment","Jazzy James","3.1.2","0","0","f","NA","NA","NA","space","space","NA","NA","space","f","j","NA","NA","NA","space","945","NA","NA","NA","549","2400","NA","NA","1828","945","1157","NA","NA","NA","17511","2","legacy","1024","2","48000","-16","EXP02","2","even","6128","NA","4703","NA","NA","NA","NA","181483","NA","NA","181482","NA","NA","218604","175801","4703","181482","NA","NA","23656","179571","NA","NA","152211","NA","NA","175788","152211","NA","NA","152211","NA","NA","23656","NA","NA","219622","176819","176819","219622","222040","177386","179654","NA","NA","179654","222557","177903","222557","177903","223508","179071","217136","151648","205626","151131","218589","NA","224008","6144","NA","NA","6144","181483","Simulation2016_EXP02","14","153858","42","yes","1024"
"C_List02.csv","N","V","有支牙刷放在洗手台","S","STI_EXP02/SMALL/toothbrush_V.jpg","32.5581395349","32.5581395349","3552","3552","black","yes","xpyriment","legacy","legacy","0","uniform","0","0","0","0","0","1","undefined","6","j","0","0","0","0","0","0","0","0","0","0","0","0","0","6","13","0","0","0","0","0","13","0","0","4","NA","NA","13","4","NA","NA","4","NA","NA","0","0","0","6","13","13","6","6","13","0","0","0","0","6","13","6","13","6","13","6","13","6","13","6","NA","6","0","0","0","0","2","10/14/16 12:16:22","Matching Tasks","yes","","Simulation2016_EXP02V2.1.0.osexp","D:\Users\ebluser\Desktop\csc","no","chinese-japanese-korean","no","18","no","white","no","Chinese","yes","768","legacy","yes","no","no","6","6","5","5","C_F_21-02.csv","xpyriment","Jazzy James","3.1.2","0","0","f","NA","NA","NA","space","space","NA","NA","space","f","j","NA","NA","NA","space","1204","NA","NA","NA","549","1226","NA","NA","1828","1204","1157","NA","NA","NA","17511","2","legacy","1024","2","48000","-16","EXP02","2","even","6128","NA","4703","NA","NA","NA","NA","181483","NA","NA","181482","NA","NA","225026","175801","4703","181482","NA","NA","23656","179571","NA","NA","152211","NA","NA","175788","152211","NA","NA","152211","NA","NA","23656","NA","NA","226043","176819","176819","226043","227277","177386","179654","NA","NA","179654","227795","177903","227795","177903","223508","179071","217136","151648","229012","151131","225006","NA","229512","6144","NA","NA","6144","181483","Simulation2016_EXP02","14","156288","44","yes","1024"
"C_List02.csv","F","F","碼錶就在教練手中","F","STI_EXP02/Filler/wheel01.jpg","33.3333333333","33.3333333333","3451.7173913","3451.7173913","black","yes","xpyriment","legacy","legacy","0","uniform","1","0","0","0","1","1","undefined","6","f","0","0","0","0","0","0","0","0","0","0","0","0","0","7","13","0","0","0","0","0","13","0","0","4","NA","NA","13","4","NA","NA","4","NA","NA","0","0","0","7","13","13","7","7","13","0","0","0","0","7","13","7","13","7","13","7","13","7","13","7","NA","7","0","0","0","0","2","10/14/16 12:16:22","Matching Tasks","yes","","Simulation2016_EXP02V2.1.0.osexp","D:\Users\ebluser\Desktop\csc","no","chinese-japanese-korean","no","18","no","white","no","Chinese","yes","768","legacy","yes","no","no","7","7","5","5","C_F_21-02.csv","xpyriment","Jazzy James","3.1.2","0","0","f","NA","NA","NA","space","space","NA","NA","space","f","j","NA","NA","NA","space","854","NA","NA","NA","549","1637","NA","NA","1828","854","1157","NA","NA","NA","17511","2","legacy","1024","2","48000","-16","EXP02","2","even","6128","NA","4703","NA","NA","NA","NA","181483","NA","NA","181482","NA","NA","230497","175801","4703","181482","NA","NA","23656","179571","NA","NA","152211","NA","NA","175788","152211","NA","NA","152211","NA","NA","23656","NA","NA","231514","176819","176819","231514","233165","177386","179654","NA","NA","179654","233682","177903","233682","177903","234551","179071","217136","151648","229012","151131","230484","NA","235051","6144","NA","NA","6144","181483","Simulation2016_EXP02","15","158779","46","yes","1024"
"C_List02.csv","Y","V","漏斗就在廚師的手裡","S","STI_EXP02/SMALL/funnel_r.jpg","34.0425531915","34.0425531915","3358.97916667","3358.97916667","black","yes","xpyriment","legacy","legacy","0","uniform","1","0","0","0","1","1","undefined","6","j","0","0","0","0","0","0","0","0","0","0","0","0","0","8","13","0","0","0","0","0","13","0","0","4","NA","NA","13","4","NA","NA","4","NA","NA","0","0","0","8","13","13","8","8","13","0","0","0","0","8","13","8","13","8","13","8","13","8","13","8","NA","8","0","0","0","0","2","10/14/16 12:16:22","Matching Tasks","yes","","Simulation2016_EXP02V2.1.0.osexp","D:\Users\ebluser\Desktop\csc","no","chinese-japanese-korean","no","18","no","white","no","Chinese","yes","768","legacy","yes","no","no","8","8","5","5","C_F_21-02.csv","xpyriment","Jazzy James","3.1.2","0","0","j","NA","NA","NA","space","space","NA","NA","space","j","j","NA","NA","NA","space","1091","NA","NA","NA","549","1361","NA","NA","1828","1091","1157","NA","NA","NA","17511","2","legacy","1024","2","48000","-16","EXP02","2","even","6128","NA","4703","NA","NA","NA","NA","181483","NA","NA","181482","NA","NA","236002","175801","4703","181482","NA","NA","23656","179571","NA","NA","152211","NA","NA","175788","152211","NA","NA","152211","NA","NA","23656","NA","NA","237019","176819","176819","237019","238387","177386","179654","NA","NA","179654","238904","177903","238904","177903","240005","179071","217136","151648","229012","151131","235996","NA","240505","6144","NA","NA","6144","181483","Simulation2016_EXP02","16","161231","48","yes","1024"
"C_List02.csv","Y","V","那台吉普車掉到裂縫裡","L","STI_EXP02/LARGE/jeep_V.jpg","34.693877551","34.693877551","3268.76","3268.76","black","yes","xpyriment","legacy","legacy","0","uniform","1","0","0","0","1","1","undefined","6","j","0","0","0","0","0","0","0","0","0","0","0","0","0","9","13","0","0","0","0","0","13","0","0","4","NA","NA","13","4","NA","NA","4","NA","NA","0","0","0","9","13","13","9","9","13","0","0","0","0","9","13","9","13","9","13","9","13","9","13","9","NA","9","0","0","0","0","2","10/14/16 12:16:22","Matching Tasks","yes","","Simulation2016_EXP02V2.1.0.osexp","D:\Users\ebluser\Desktop\csc","no","chinese-japanese-korean","no","18","no","white","no","Chinese","yes","768","legacy","yes","no","no","9","9","5","5","C_F_21-02.csv","xpyriment","Jazzy James","3.1.2","0","0","j","NA","NA","NA","space","space","NA","NA","space","j","j","NA","NA","NA","space","1165","NA","NA","NA","549","1042","NA","NA","1828","1165","1157","NA","NA","NA","17511","2","legacy","1024","2","48000","-16","EXP02","2","even","6128","NA","4703","NA","NA","NA","NA","181483","NA","NA","181482","NA","NA","241473","175801","4703","181482","NA","NA","23656","179571","NA","NA","152211","NA","NA","175788","152211","NA","NA","152211","NA","NA","23656","NA","NA","242490","176819","176819","242490","243541","177386","179654","NA","NA","179654","244058","177903","244058","177903","245242","179071","217136","151648","229012","151131","241454","NA","245742","6144","NA","NA","6144","181483","Simulation2016_EXP02","17","163438","50","yes","1024"
