"List1","List2","List3","List4","Match","Pic","Probe","Target","acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compensation","condition1","condition2","condition3","condition4","coordinates","correct","correct_Probe_response_C","correct_Probe_response_E","correct_Target_response_C","correct_Target_response_E","correct_response","count_1st_Move_Prac_loop_C","count_1st_Move_Prac_loop_E","count_1st_Move_seq_C","count_1st_Move_seq_E","count_1st_Observe_Prac_loop_C","count_1st_Observe_Prac_loop_E","count_1st_Observe_seq_C","count_1st_Observe_seq_E","count_3rd_Move_Prac_loop_C","count_3rd_Move_Prac_loop_E","count_3rd_Move_seq_C","count_3rd_Move_seq_E","count_3rd_Observe_Prac_loop_C","count_3rd_Observe_Prac_loop_E","count_3rd_Observe_seq_C","count_3rd_Observe_seq_E","count_Chinese","count_Condition_Selection_C","count_Condition_Selection_E","count_EXP01","count_End_C","count_End_E","count_English","count_First_Fixation_C","count_First_Fixation_E","count_Language_Selection","count_List01_loop_C1","count_List01_loop_C2","count_List01_loop_C3","count_List01_loop_C4","count_List01_loop_E1","count_List01_loop_E2","count_List01_loop_E3","count_List01_loop_E4","count_List02_loop_C1","count_List02_loop_C2","count_List02_loop_C3","count_List02_loop_C4","count_List02_loop_E1","count_List02_loop_E2","count_List02_loop_E3","count_List02_loop_E4","count_List03_loop_C1","count_List03_loop_C2","count_List03_loop_C3","count_List03_loop_C4","count_List03_loop_E1","count_List03_loop_E2","count_List03_loop_E3","count_List03_loop_E4","count_List04_loop_C1","count_List04_loop_C2","count_List04_loop_C3","count_List04_loop_C4","count_List04_loop_E1","count_List04_loop_E2","count_List04_loop_E3","count_List04_loop_E4","count_List_Selection_cond1_C","count_List_Selection_cond1_E","count_List_Selection_cond2_C","count_List_Selection_cond2_E","count_List_Selection_cond3_C","count_List_Selection_cond3_E","count_List_Selection_cond4_C","count_List_Selection_cond4_E","count_Prac_seq_C","count_Prac_seq_E","count_Probe_C","count_Probe_E","count_Probe_response_C","count_Probe_response_E","count_Second_Fixation_C","count_Second_Fixation_E","count_Start_C","count_Start_E","count_Target_C","count_Target_E","count_Target_response_C","count_Target_response_E","count_Target_response_correct_C","count_Target_response_correct_E","count_Target_response_noans_C","count_Target_response_noans_E","count_Target_response_wrong_C","count_Target_response_wrong_E","count_Trial_Break_C","count_Trial_Break_E","count_Trial_C","count_Trial_E","count_Trial_logger_C","count_Trial_logger_E","count_Welcome_C","count_Welcome_E","datetime","description","experiment_path","font_bold","font_family","font_italic","font_size","foreground","form_response","height","keyboard_backend","language1","language2","logfile","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_End_C","response_End_E","response_Probe_response_C","response_Probe_response_E","response_Start_C","response_Start_E","response_Target_response_C","response_Target_response_E","response_Trial_Break_C","response_Trial_Break_E","response_Welcome_C","response_Welcome_E","response_time","response_time_End_C","response_time_End_E","response_time_Probe_response_C","response_time_Probe_response_E","response_time_Start_C","response_time_Start_E","response_time_Target_response_C","response_time_Target_response_E","response_time_Trial_Break_C","response_time_Trial_Break_E","response_time_Welcome_C","response_time_Welcome_E","sampler_backend","size","start","subject_nr","subject_parity","time_1st_Move_Prac_loop_C","time_1st_Move_Prac_loop_E","time_1st_Move_seq_C","time_1st_Move_seq_E","time_1st_Observe_Prac_loop_C","time_1st_Observe_Prac_loop_E","time_1st_Observe_seq_C","time_1st_Observe_seq_E","time_3rd_Move_Prac_loop_C","time_3rd_Move_Prac_loop_E","time_3rd_Move_seq_C","time_3rd_Move_seq_E","time_3rd_Observe_Prac_loop_C","time_3rd_Observe_Prac_loop_E","time_3rd_Observe_seq_C","time_3rd_Observe_seq_E","time_Chinese","time_Condition_Selection_C","time_Condition_Selection_E","time_EXP01","time_End_C","time_End_E","time_English","time_First_Fixation_C","time_First_Fixation_E","time_Language_Selection","time_List01_loop_C1","time_List01_loop_C2","time_List01_loop_C3","time_List01_loop_C4","time_List01_loop_E1","time_List01_loop_E2","time_List01_loop_E3","time_List01_loop_E4","time_List02_loop_C1","time_List02_loop_C2","time_List02_loop_C3","time_List02_loop_C4","time_List02_loop_E1","time_List02_loop_E2","time_List02_loop_E3","time_List02_loop_E4","time_List03_loop_C1","time_List03_loop_C2","time_List03_loop_C3","time_List03_loop_C4","time_List03_loop_E1","time_List03_loop_E2","time_List03_loop_E3","time_List03_loop_E4","time_List04_loop_C1","time_List04_loop_C2","time_List04_loop_C3","time_List04_loop_C4","time_List04_loop_E1","time_List04_loop_E2","time_List04_loop_E3","time_List04_loop_E4","time_List_Selection_cond1_C","time_List_Selection_cond1_E","time_List_Selection_cond2_C","time_List_Selection_cond2_E","time_List_Selection_cond3_C","time_List_Selection_cond3_E","time_List_Selection_cond4_C","time_List_Selection_cond4_E","time_Prac_seq_C","time_Prac_seq_E","time_Probe_C","time_Probe_E","time_Probe_response_C","time_Probe_response_E","time_Second_Fixation_C","time_Second_Fixation_E","time_Start_C","time_Start_E","time_Target_C","time_Target_E","time_Target_response_C","time_Target_response_E","time_Target_response_correct_C","time_Target_response_correct_E","time_Target_response_noans_C","time_Target_response_noans_E","time_Target_response_wrong_C","time_Target_response_wrong_E","time_Trial_Break_C","time_Trial_Break_E","time_Trial_C","time_Trial_E","time_Trial_logger_C","time_Trial_logger_E","time_Welcome_C","time_Welcome_E","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"no","no","no","no","NA","NA","æççç","STI/Prac-02.jpg","50","50","822","822","black","no","xpyriment","legacy","legacy","0","yes","no","no","no","uniform","1","0","NA","1","NA","/","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","0","NA","0","NA","0","0","0","NA","0","NA","0","NA","0","NA","0","NA","NA","NA","0","NA","0","NA","0","0","04/15/16 16:34:33","Matching Tasks","C:/Users/60941sch/EXPs/SIM2016","no","chinese-japanese-korean","no","18","white","蝚砌¸閫","768","legacy","yes","no","C-C1-L1-001","xpyriment","Interactive Ising","3.0.5","0","/","NA","NA","space","NA","NA","NA","/","NA","NA","NA","space","NA","492","NA","NA","1153","NA","NA","NA","492","NA","NA","NA","2470","NA","legacy","NA","EXP01","0","even","NA","NA","NA","NA","8640","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","3921","3921","NA","2394","NA","NA","NA","9350","NA","2395","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","8639","NA","10383","NA","10383","NA","11566","NA","NA","NA","12099","NA","12099","NA","12615","NA","NA","NA","NA","NA","NA","NA","9319","NA","13115","NA","6169","NA","Simulation2016_EXP01","1","1645","2","yes","1024"
"no","no","no","no","NA","NA","æ瘝犖å¤嗾","STI/Prac-03.jpg","50","50","920","920","black","no","xpyriment","legacy","legacy","0","yes","no","no","no","uniform","1","0","NA","1","NA","z","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","NA","1","NA","1","NA","0","0","1","NA","1","NA","1","NA","1","NA","1","NA","NA","NA","1","NA","1","NA","0","0","04/15/16 16:34:33","Matching Tasks","C:/Users/60941sch/EXPs/SIM2016","no","chinese-japanese-korean","no","18","white","蝚砌¸閫","768","legacy","yes","no","C-C1-L1-001","xpyriment","Interactive Ising","3.0.5","0","z","NA","NA","space","NA","NA","NA","z","NA","NA","NA","space","NA","1271","NA","NA","764","NA","NA","NA","1271","NA","NA","NA","2470","NA","legacy","NA","EXP01","0","even","NA","NA","NA","NA","8640","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","3921","3921","NA","2394","NA","NA","NA","13931","NA","2395","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","8639","NA","14963","NA","14963","NA","15747","NA","NA","NA","16280","NA","16280","NA","17579","NA","NA","NA","NA","NA","NA","NA","13903","NA","18079","NA","6169","NA","Simulation2016_EXP01","2","3680","4","yes","1024"
"no","no","no","no","NA","NA","æ åæ皛踵镼輻¡­","STI/Prac-01.jpg","50","50","784","784","black","no","xpyriment","legacy","legacy","0","yes","no","no","no","uniform","1","0","NA","1","NA","/","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","NA","2","NA","2","NA","0","0","2","NA","2","NA","2","NA","2","NA","2","NA","NA","NA","2","NA","2","NA","0","0","04/15/16 16:34:33","Matching Tasks","C:/Users/60941sch/EXPs/SIM2016","no","chinese-japanese-korean","no","18","white","蝚砌¸閫","768","legacy","yes","no","C-C1-L1-001","xpyriment","Interactive Ising","3.0.5","0","/","NA","NA","space","NA","NA","NA","/","NA","NA","NA","space","NA","361","NA","NA","666","NA","NA","NA","361","NA","NA","NA","2470","NA","legacy","NA","EXP01","0","even","NA","NA","NA","NA","8640","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","3921","3921","NA","2394","NA","NA","NA","18844","NA","2395","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","8639","NA","19877","NA","19877","NA","20577","NA","NA","NA","21110","NA","21110","NA","21493","NA","NA","NA","NA","NA","NA","NA","18822","NA","21993","NA","6169","NA","Simulation2016_EXP01","3","4707","6","yes","1024"
"no","no","no","no","NA","NA","æ閬¸´摮","STI/Prac-04.jpg","50","50","714","714","black","no","xpyriment","legacy","legacy","0","yes","no","no","no","uniform","1","0","NA","1","NA","z","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","NA","3","NA","3","NA","0","0","3","NA","3","NA","3","NA","3","NA","3","NA","NA","NA","3","NA","3","NA","0","0","04/15/16 16:34:33","Matching Tasks","C:/Users/60941sch/EXPs/SIM2016","no","chinese-japanese-korean","no","18","white","蝚砌¸閫","768","legacy","yes","no","C-C1-L1-001","xpyriment","Interactive Ising","3.0.5","0","z","NA","NA","space","NA","NA","NA","z","NA","NA","NA","space","NA","334","NA","NA","671","NA","NA","NA","334","NA","NA","NA","2470","NA","legacy","NA","EXP01","0","even","NA","NA","NA","NA","8640","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","3921","3921","NA","2394","NA","NA","NA","22775","NA","2395","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","8639","NA","23808","NA","23808","NA","24507","NA","NA","NA","25041","NA","25041","NA","25407","NA","NA","NA","NA","NA","NA","NA","22742","NA","25907","NA","6169","NA","Simulation2016_EXP01","4","5712","8","yes","1024"
"yes","no","no","no","D","P","æ¦迤閬◤摰Ｖ犖å晷","STI/094-classeur_box-file.jpg","50","50","707","707","black","no","xpyriment","legacy","legacy","0","yes","no","no","no","uniform","1","0","NA","1","NA","z","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","NA","4","NA","4","NA","0","0","4","NA","4","NA","4","NA","4","NA","4","NA","NA","NA","4","NA","4","NA","0","0","04/15/16 16:34:33","Matching Tasks","C:/Users/60941sch/EXPs/SIM2016","no","chinese-japanese-korean","no","18","white","å”1","768","legacy","yes","no","C-C1-L1-001","xpyriment","Interactive Ising","3.0.5","0","z","NA","NA","space","NA","space","NA","z","NA","NA","NA","space","NA","394","NA","NA","966","NA","842","NA","394","NA","NA","NA","2470","NA","legacy","D","EXP01","0","even","NA","NA","NA","NA","8640","NA","26816","NA","NA","NA","NA","NA","NA","NA","NA","NA","3921","3921","NA","2394","NA","NA","NA","28705","NA","2395","27990","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","26816","NA","NA","NA","NA","NA","NA","NA","8639","NA","29738","NA","29738","NA","30737","NA","25973","NA","31270","NA","31270","NA","31686","NA","NA","NA","NA","NA","NA","NA","28677","NA","32186","NA","6169","NA","Simulation2016_EXP01","5","7072","10","yes","1024"
"yes","no","no","no","D","P","æ¦¸ææå銝閰望©","STI/072-pendule_clock.jpg","50","50","698","698","black","no","xpyriment","legacy","legacy","0","yes","no","no","no","uniform","1","0","NA","1","NA","z","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","NA","5","NA","5","NA","0","0","5","NA","5","NA","5","NA","5","NA","5","NA","NA","NA","5","NA","5","NA","0","0","04/15/16 16:34:33","Matching Tasks","C:/Users/60941sch/EXPs/SIM2016","no","chinese-japanese-korean","no","18","white","å”1","768","legacy","yes","no","C-C1-L1-001","xpyriment","Interactive Ising","3.0.5","0","z","NA","NA","space","NA","space","NA","z","NA","NA","NA","space","NA","572","NA","NA","736","NA","842","NA","572","NA","NA","NA","2470","NA","legacy","D","EXP01","0","even","NA","NA","NA","NA","8640","NA","26816","NA","NA","NA","NA","NA","NA","NA","NA","NA","3921","3921","NA","2394","NA","NA","NA","32935","NA","2395","27990","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","26816","NA","NA","NA","NA","NA","NA","NA","8639","NA","33968","NA","33968","NA","34734","NA","25973","NA","35267","NA","35267","NA","35867","NA","NA","NA","NA","NA","NA","NA","32910","NA","36367","NA","6169","NA","Simulation2016_EXP01","6","8380","12","yes","1024"
"yes","no","no","no","N","R","æ¦¸撘菟­¡葦å§ç撅內çå","STI/075-carte_playing-card_r.jpg","50","50","675","675","black","no","xpyriment","legacy","legacy","0","yes","no","no","no","uniform","1","0","NA","1","NA","/","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","NA","6","NA","6","NA","0","0","6","NA","6","NA","6","NA","6","NA","6","NA","NA","NA","6","NA","6","NA","0","0","04/15/16 16:34:33","Matching Tasks","C:/Users/60941sch/EXPs/SIM2016","no","chinese-japanese-korean","no","18","white","å”1","768","legacy","yes","no","C-C1-L1-001","xpyriment","Interactive Ising","3.0.5","0","/","NA","NA","space","NA","space","NA","/","NA","NA","NA","space","NA","424","NA","NA","648","NA","842","NA","424","NA","NA","NA","2470","NA","legacy","S","EXP01","0","even","NA","NA","NA","NA","8640","NA","26816","NA","NA","NA","NA","NA","NA","NA","NA","NA","3921","3921","NA","2394","NA","NA","NA","37166","NA","2395","27990","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","26816","NA","NA","NA","NA","NA","NA","NA","8639","NA","38199","NA","38199","NA","38881","NA","25973","NA","39415","NA","39415","NA","39864","NA","NA","NA","NA","NA","NA","NA","37138","NA","40365","NA","6169","NA","Simulation2016_EXP01","7","9452","14","yes","1024"
"yes","no","no","no","N","R","æ¦å瘥魚ååç¡¡","STI/pingpongtable_r.jpg","50","50","659","659","black","no","xpyriment","legacy","legacy","0","yes","no","no","no","uniform","1","0","NA","1","NA","/","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","NA","7","NA","7","NA","0","0","7","NA","7","NA","7","NA","7","NA","7","NA","NA","NA","7","NA","7","NA","0","0","04/15/16 16:34:33","Matching Tasks","C:/Users/60941sch/EXPs/SIM2016","no","chinese-japanese-korean","no","18","white","å”1","768","legacy","yes","no","C-C1-L1-001","xpyriment","Interactive Ising","3.0.5","0","/","NA","NA","space","NA","space","NA","/","NA","NA","NA","space","NA","578","NA","NA","525","NA","842","NA","578","NA","NA","NA","2470","NA","legacy","L","EXP01","0","even","NA","NA","NA","NA","8640","NA","26816","NA","NA","NA","NA","NA","NA","NA","NA","NA","3921","3921","NA","2394","NA","NA","NA","41114","NA","2395","27990","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","26816","NA","NA","NA","NA","NA","NA","NA","8639","NA","42146","NA","42146","NA","42696","NA","25973","NA","43229","NA","43229","NA","43829","NA","NA","NA","NA","NA","NA","NA","41089","NA","44329","NA","6169","NA","Simulation2016_EXP01","8","10555","16","yes","1024"
"yes","no","no","no","D","P","ææ獢¸¦¸å閮®©","STI/001-peche_peach.jpg","50","50","636","636","black","no","xpyriment","legacy","legacy","0","yes","no","no","no","uniform","1","0","NA","1","NA","z","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","NA","8","NA","8","NA","0","0","8","NA","8","NA","8","NA","8","NA","8","NA","NA","NA","8","NA","8","NA","0","0","04/15/16 16:34:33","Matching Tasks","C:/Users/60941sch/EXPs/SIM2016","no","chinese-japanese-korean","no","18","white","å”1","768","legacy","yes","no","C-C1-L1-001","xpyriment","Interactive Ising","3.0.5","0","z","NA","NA","space","NA","space","NA","z","NA","NA","NA","space","NA","440","NA","NA","465","NA","842","NA","440","NA","NA","NA","2470","NA","legacy","D","EXP01","0","even","NA","NA","NA","NA","8640","NA","26816","NA","NA","NA","NA","NA","NA","NA","NA","NA","3921","3921","NA","2394","NA","NA","NA","45094","NA","2395","27990","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","26816","NA","NA","NA","NA","NA","NA","NA","8639","NA","46126","NA","46126","NA","46610","NA","25973","NA","47143","NA","47143","NA","47609","NA","NA","NA","NA","NA","NA","NA","45060","NA","48109","NA","6169","NA","Simulation2016_EXP01","9","11460","18","yes","1024"
"yes","no","no","no","Y","D","æ¦¸æå◤æ絲ç","STI/daisy.jpg","50","50","623","623","black","no","xpyriment","legacy","legacy","0","yes","no","no","no","uniform","1","0","NA","1","NA","/","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","NA","9","NA","9","NA","0","0","9","NA","9","NA","9","NA","9","NA","9","NA","NA","NA","9","NA","9","NA","0","0","04/15/16 16:34:33","Matching Tasks","C:/Users/60941sch/EXPs/SIM2016","no","chinese-japanese-korean","no","18","white","å”1","768","legacy","yes","no","C-C1-L1-001","xpyriment","Interactive Ising","3.0.5","0","/","NA","NA","space","NA","space","NA","/","NA","NA","NA","space","NA","498","NA","NA","508","NA","842","NA","498","NA","NA","NA","2470","NA","legacy","S","EXP01","0","even","NA","NA","NA","NA","8640","NA","26816","NA","NA","NA","NA","NA","NA","NA","NA","NA","3921","3921","NA","2394","NA","NA","NA","48858","NA","2395","27990","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","26816","NA","NA","NA","NA","NA","NA","NA","8639","NA","49891","NA","49891","NA","50424","NA","25973","NA","50957","NA","50958","NA","51490","NA","NA","NA","NA","NA","NA","NA","48835","NA","51990","NA","6169","NA","Simulation2016_EXP01","10","12466","20","yes","1024"
