Size,Orien,Match,Probe,Target,correct_response,Task
L,H,Y,那艘遊艇正在航行,STI/LARGE/boat_H.jpg,j,V
L,H,Y,桌子就放置在窗戶前面,STI/LARGE/desk_H.jpg,j,V
L,H,Y,那張床墊被放在床上,STI/LARGE/mattress_H.jpg,j,V
L,H,Y,公文櫃被兩位壯丁搬出辦公室,STI/LARGE/filingcabinet_H.jpg,j,V
L,H,Y,那張沙發就放在客廳裡,STI/LARGE/sofa_H.jpg,j,V
L,H,Y,地板門已關上以便搬東西,STI/LARGE/trapdoor_H.jpg,j,V
L,H,Y,獨木舟正行駛在河面,STI/LARGE/canoe_H.jpg,j,V
L,H,Y,船錨沉到海底,STI/LARGE/anchor_H.jpg,j,V
L,H,N,那台吉普車掉到裂縫裡,STI/LARGE/jeep_H.jpg,j,V
L,H,N,那座釣橋擋住了城門,STI/LARGE/Drawbridge_H.jpg,j,V
L,H,N,公車墜落在懸崖上,STI/LARGE/bus_H.jpg,j,V
L,H,N,那具窗框安裝在大門上,STI/LARGE/windowframe_H.jpg,j,V
L,H,N,雲梯已就位讓消防員攀爬,STI/LARGE/ladder_H.jpg,j,V
L,H,N,複製的自由女神像設置在公園裡,STI/LARGE/liberty_H.jpg,j,V
L,H,N,那艘太空梭已準備發射升空,STI/LARGE/spaceshuttle_H.jpg,j,V
L,H,N,重型吊臂升起準備移動貨物,STI/LARGE/crane_H.jpg,j,V
L,V,Y,鐵達尼號正沉入海中,STI/LARGE/Titanic_V.jpg,j,V
L,V,Y,酒桶被放在酒吧角落,STI/LARGE/barrel_V.jpg,j,V
L,V,Y,降落傘從跳傘員背後張開,STI/LARGE/parachute_V.jpg,j,V
L,V,Y,巡曳飛彈已從潛艇發射,STI/LARGE/missle_V.jpg,j,V
L,V,Y,戰鬥機衝出雲層,STI/LARGE/jetfighter_V.jpg,j,V
L,V,Y,那台自動販賣機設在街角,STI/LARGE/vending_V.jpg,j,V
L,V,Y,那台大冰箱放置在廚房裡,STI/LARGE/refrigerator_V.jpg,j,V
L,V,Y,停車場閘門昇起讓車子通過,STI/LARGE/gate_arms_V.jpg,j,V
L,V,N,那台客機飛行在雲層上,STI/LARGE/aeroplane_V.jpg,j,V
L,V,N,那台直立式鋼琴擺在貨車上,STI/LARGE/Uprightpiano_V.jpg,j,V
L,V,N,火箭正被輸送到發射台,STI/LARGE/rocket_V.jpg,j,V
L,V,N,拆房用的金屬球已擺盪到最高點,STI/LARGE/wreckingball_V.jpg,j,V
L,V,N,那座路燈正被搬運中,STI/LARGE/streetlantern_V.jpg,j,V
L,V,N,鐵桶正被推上卡車,STI/LARGE/steelbarrel_V.jpg,j,V
L,V,N,這隻豬的屠體就放在桌上,STI/LARGE/pig_V.jpg,j,V
L,V,N,砂石車載滿砂石,STI/LARGE/dump-truck_V.jpg,j,V
S,H,Y,這支火柴被收在盒子裡,STI/SMALL/007-allumette_match.jpg,j,V
S,H,Y,那支拐杖被放在公園長椅上,STI/SMALL/066-canne_cane.jpg,j,V
S,H,Y,試管就在工作桌上,STI/SMALL/126-eprouvette_test-tube.jpg,j,V
S,H,Y,花盆倒在門口前,STI/SMALL/242-pot_jar.jpg,j,V
S,H,Y,那支保齡球瓶倒在球道盡頭,STI/SMALL/248-quille_skittle.jpg,j,V
S,H,Y,鑰匙圈就在茶几上,STI/SMALL/keychain.jpg,j,V
S,H,Y,樹枝從樹上掉下,STI/SMALL/branch02.jpg,j,V
S,H,Y,那支糖果棒放在糖果盒中,STI/SMALL/candycane01a.jpg,j,V
S,H,N,有根胡蘿蔔剛被農夫採收,STI/SMALL/carrot01.jpg,j,V
S,H,N,那根大葱正在被沖洗,STI/SMALL/leek.jpg,j,V
S,H,N,那支菊花被遊客摘起,STI/SMALL/daisy.jpg,j,V
S,H,N,畚箕就掛在牆上,STI/SMALL/dustpan.jpg,j,V
S,H,N,釣竿靠著牆壁擺放,STI/SMALL/fishingrod.jpg,j,V
S,H,N,湯匙放在盤子右邊,STI/SMALL/spoon_H.jpg,j,V
S,H,N,漏斗就在廚師的手裡,STI/SMALL/funnel.jpg,j,V
S,H,N,眼藥膏正準備用在患者眼部,STI/SMALL/gluetube.jpg,j,V
S,V,Y,這頂帽子就掛在牆上,STI/SMALL/hat_r.jpg,j,V
S,V,Y,有支牙刷在漱口杯裡,STI/SMALL/toothbrush_V.jpg,j,V
S,V,Y,玻璃瓶就放在架子上,STI/SMALL/beerbottle_r.jpg,j,V
S,V,Y,那條牛仔褲在展示櫃中,STI/SMALL/jeans01_r.jpg,j,V
S,V,Y,那棵生玉米剛被農夫採收,STI/SMALL/cornhusk_r.jpg,j,V
S,V,Y,冰淇淋勺就在水杯裡,STI/SMALL/measuringspoon_r.jpg,j,V
S,V,Y,那隻手套就套在架子上,STI/SMALL/glove_V.jpg,j,V
S,V,Y,鐵釘已準備釘進地板,STI/SMALL/nail_r.jpg,j,V
S,V,N,相框收在抽屜裡,STI/SMALL/pictureframe04_r.jpg,j,V
S,V,N,剃刀放在盥洗台旁,STI/SMALL/razor01_r.jpg,j,V
S,V,N,那支螺絲起子放在工作檯,STI/SMALL/screwdriver04b_r.jpg,j,V
S,V,N,這貝殼就躺在海邊,STI/SMALL/seashell01_r.jpg,j,V
S,V,N,那隻鞋放在地板上,STI/SMALL/shoe_r.jpg,j,V
S,V,N,訂書機放在辦公桌上,STI/SMALL/stapler03a_r.jpg,j,V
S,V,N,那支餐叉放在抽屜裡,STI/SMALL/tongs01b_r.jpg,j,V
S,V,N,保特瓶被丟棄在地上,STI/SMALL/waterbottle01b_r.jpg,j,V
F,F,F,衣服就放在衣櫥裡,STI/Filler/spatula04.jpg,f,V
F,F,F,巨型煉油廠就在大馬路旁,STI/Filler/castletower.jpg,f,V
F,F,F,這卷底片就在相機中,STI/Filler/candle08b.jpg,f,V
F,F,F,那顆膠囊放在桌子上,STI/Filler/staple.jpg,f,V
F,F,F,那隻鋸子放在工具箱中,STI/Filler/034-biberon_feeding-bottle.jpg,f,V
F,F,F,漢堡就在托盤裡,STI/Filler/earring01.jpg,f,V
F,F,F,蠟燭立在餐桌上,STI/Filler/041-bonbon_candy.jpg,f,V
F,F,F,錄音帶放在錄音機裡,STI/Filler/166-klaxon_horn.jpg,f,V
F,F,F,蘋果就在桌子上,STI/Filler/075-carte_playing-card.jpg,f,V
