"Size","Orien","Match","Probe","Target","correct_response"
"L","V","N","純白象牙被放置在桌上","STI_EXP02/LARGE/Ivory_V.jpg","j"
"L","V","N","海豚在海裡游泳","STI_EXP02/LARGE/dolphin_V.png","j"
"L","V","N","飛機擾流板在飛行時關閉","STI_EXP02/LARGE/flap_V.jpg","j"
"L","V","N","大砲砲擊海盜船","STI_EXP02/LARGE/Cannon_V.jpg","j"
"L","V","N","起重架被收到起重機裡","STI_EXP02/LARGE/crane_V.jpg","j"
"L","V","N","殺人鯨在海面下游泳","STI_EXP02/LARGE/Killer-Whale_V.jpg","j"
"L","V","N","獨木舟正行駛在河面","STI_EXP02/LARGE/canoe_V.jpg","j"
"L","V","N","船錨沉到海底","STI_EXP02/LARGE/anchor_V.jpg","j"
"L","H","Y","西式棺材立於地面上","STI_EXP02/LARGE/coffin_H.jpg","j"
"L","H","Y","釣橋跨過護城河","STI_EXP02/LARGE/Drawbridge_H.jpg","j"
"L","H","Y","美國國旗在旗桿上飄揚","STI_EXP02/LARGE/US_flag_H.jpg","j"
"L","H","Y","那座石柱傾倒在希臘神之中","STI_EXP02/LARGE/column_H.jpg","j"
"L","H","Y","那道煙霧在起風時從煙囪排放出來","STI_EXP02/LARGE/smoke_H.jpg","j"
"L","H","Y","那道水柱從消防車噴出","STI_EXP02/LARGE/stream_H.jpg","j"
"L","H","Y","鯉魚在水裡游來游去","STI_EXP02/LARGE/Carp_H.jpg","j"
"L","H","Y","公文櫃被放在貨車上運送","STI_EXP02/LARGE/filingcabinet_H.jpg","j"
"L","H","N","行李箱停在那位旅客身旁","STI_EXP02/LARGE/luggagecase_H.jpg","j"
"L","H","N","啤酒桶被放在酒吧角落","STI_EXP02/LARGE/barrel_H.JPG","j"
"L","H","N","降落傘從跳傘員背後張開","STI_EXP02/LARGE/Parachute_H.jpg","j"
"L","H","N","巡曳飛彈正從潛艇發射出來","STI_EXP02/LARGE/missle_H.jpg","j"
"L","H","N","雲霄飛車從最高處衝下","STI_EXP02/LARGE/rollercoaster_H.jpg","j"
"L","H","N","旗桿立在地面上","STI_EXP02/LARGE/flagpole_H.jpg","j"
"L","H","N","摩埃石像立於地面","STI_EXP02/LARGE/Moai_H.jpg","j"
"L","H","N","電風扇被放在桌上","STI_EXP02/LARGE/Fan_H.JPG","j"
"L","V","Y","那隻猴子正在爬樹","STI_EXP02/LARGE/monkey_V.jpg","j"
"L","V","Y","停車場閘門昇起給車子通過","STI_EXP02/LARGE/gate_arms_V.jpg","j"
"L","V","Y","火箭已發射昇空","STI_EXP02/LARGE/rocket_V.jpg","j"
"L","V","Y","卡車車斗傾倒砂石","STI_EXP02/LARGE/dump-truck_H.jpg","j"
"L","V","Y","大提琴正被樂手彈奏","STI_EXP02/LARGE/cello_V.jpeg","j"
"L","V","Y","有隻蛇爬上樹幹","STI_EXP02/LARGE/snake_V.jpg","j"
"L","V","Y","這隻豬的屠體被掛起來","STI_EXP02/LARGE/pig_V.jpg","j"
"L","V","Y","這隻鱷魚標本被掛在牆上","STI_EXP02/LARGE/crocodile_V.jpg","j"
"S","V","N","這支火柴被放在桌子上","STI_EXP02/SMALL/007-allumette_match_r.jpg","j"
"S","V","N","有支拐杖掉在地上","STI_EXP02/SMALL/066-canne_cane_r.jpg","j"
"S","V","N","試管被放在桌子上","STI_EXP02/SMALL/126-eprouvette_test-tube_r.jpg","j"
"S","V","N","花盆被強風吹倒","STI_EXP02/SMALL/242-pot_jar_r.jpg","j"
"S","V","N","那支保齡球瓶倒在賽道盡頭","STI_EXP02/SMALL/248-quille_skittle_r.jpg","j"
"S","V","N","玻璃瓶掉在地上","STI_EXP02/SMALL/beerbottle_r.jpg","j"
"S","V","N","樹枝從樹上掉下","STI_EXP02/SMALL/branch02_r.jpg","j"
"S","V","N","糖果棒在糖果盒中","STI_EXP02/SMALL/candycane01a_r.jpg","j"
"S","H","Y","有根胡蘿蔔放在超市貨架上","STI_EXP02/SMALL/carrot01.jpg","j"
"S","H","Y","有支玉米被丟棄在地上","STI_EXP02/SMALL/cornhusk.jpg","j"
"S","H","Y","有支菊花掉在地上","STI_EXP02/SMALL/daisy.jpg","j"
"S","H","Y","畚箕被放在地上","STI_EXP02/SMALL/dustpan.jpg","j"
"S","H","Y","釣竿在那位釣客手裡","STI_EXP02/SMALL/fishingrod.jpg","j"
"S","H","Y","刀叉放在盤子下面","STI_EXP02/SMALL/fork.jpg","j"
"S","H","Y","漏斗放在廚房的桌子上","STI_EXP02/SMALL/funnel.jpg","j"
"S","H","Y","眼藥膏被放在桌子上","STI_EXP02/SMALL/gluetube.jpg","j"
"S","H","N","這頂帽子就掛在牆上","STI_EXP02/SMALL/hat.jpg","j"
"S","H","N","有塊樂高積木在牆壁上","STI_EXP02/SMALL/interlockingbuildingblock03b.jpg","j"
"S","H","N","那條牛仔褲就掛在牆上","STI_EXP02/SMALL/jeans01.jpg","j"
"S","H","N","鑰匙圈掛在牆上","STI_EXP02/SMALL/keychain.jpg","j"
"S","H","N","那根大葱正由農民採收","STI_EXP02/SMALL/leek.jpg","j"
"S","H","N","那支量匙就掛在架子上","STI_EXP02/SMALL/measuringspoon.jpg","j"
"S","H","N","那雙手套掛在架子上","STI_EXP02/SMALL/mitten04.jpg","j"
"S","H","N","鐵釘放在要固定的木板上","STI_EXP02/SMALL/nail.jpg","j"
"S","V","Y","相框放在書桌上","STI_EXP02/SMALL/pictureframe04_r.jpg","j"
"S","V","Y","剃刀放在杯子裡","STI_EXP02/SMALL/razor01_r.jpg","j"
"S","V","Y","螺絲起子就在師傅手中","STI_EXP02/SMALL/screwdriver04b_r.jpg","j"
"S","V","Y","貝殼就在遊客手裡","STI_EXP02/SMALL/seashell01_r.jpg","j"
"S","V","Y","那隻鞋靠在牆上","STI_EXP02/SMALL/shoe_r.jpg","j"
"S","V","Y","訂書機放在筆筒裡","STI_EXP02/SMALL/stapler03a_r.jpg","j"
"S","V","Y","那支餐叉就在那位客人手中","STI_EXP02/SMALL/tongs01b_r.jpg","j"
"S","V","Y","保特瓶就放在貨架上","STI_EXP02/SMALL/waterbottle01b_r.jpg","j"
"F","F","F","床墊放在臥室裡","STI_EXP02/Filler/020-baignoire_bathtub.jpg","f"
"F","F","F","巨型煉油廠就在街道旁","STI_EXP02/Filler/024-tonneau_barrel.jpg","f"
"F","F","F","這卷底片就在相機中","STI_EXP02/Filler/025-barre_bar.jpg","f"
"F","F","F","那顆膠囊放在桌子上","STI_EXP02/Filler/027-batterie_drum-set.jpg","f"
"F","F","F","那隻鋸子放在工具箱中","STI_EXP02/Filler/034-biberon_feeding-bottle.jpg","f"
"F","F","F","漢堡就在板子上","STI_EXP02/Filler/035-bibliotheque_book-shelves.jpg","f"
"F","F","F","蠟燭立在神壇上","STI_EXP02/Filler/041-bonbon_candy.jpg","f"
"F","F","F","錄音帶放在錄音機裡","STI_EXP02/Filler/071-bateau_boat.jpg","f"
"F","F","F","蘋果就在桌子上","STI_EXP02/Filler/075-carte_playing-card.jpg","f"
"F","F","F","耳墜就在盒子旁邊","STI_EXP02/Filler/078-cassette_cassette.jpg","f"
"F","F","F","稻穗長在農田裡","STI_EXP02/Filler/089-chronometre_stop-watch.jpg","f"
