Size,Orien,Match,Probe,Target,correct_response,Task
L,V,Y,De boot zonk in de zee.,STI/LARGE/boat_V.jpg,j,V
L,V,Y,Het bureau stond rechtop in de garage.,STI/LARGE/desk_V.jpg,j,V
L,V,Y,De matras werd tegen de muur gezet.,STI/LARGE/mattress_V.jpg,j,V
L,V,Y,De kast was in het kantoor geplaatst.,STI/LARGE/filingcabinet_V.jpg,j,V
L,V,Y,De bank werd verplaatst op de steekwagen.,STI/LARGE/sofa_V.jpg,j,V
L,V,Y,De valdeur werd geopend om de kelder in te gaan.,STI/LARGE/trapdoor_V.jpg,j,V
L,V,Y,De kano daalde vanaf de bovenkant van de waterval,STI/LARGE/canoe_V.jpg,j,V
L,V,Y,Het anker werd neergelaten.,STI/LARGE/anchor_V.jpg,j,V
L,V,N,De jeep reed op de weg.,STI/LARGE/jeep_V.jpg,j,V
L,V,N,De ophaalbrug werd neergelaten over de gracht.,STI/LARGE/Drawbridge_V.jpg,j,V
L,V,N,De bus reed op de weg,STI/LARGE/bus_V.jpg,j,V
L,V,N,Het raamkozijn werd in het plafond geplaatst,STI/LARGE/windowframe_V.jpg,j,V
L,V,N,De ladder werd gedragen door de brandweerman.,STI/LARGE/ladder_V.jpg,j,V
L,V,N,De replica van het vrijheidsbeeld werd naar het park verplaatst.,STI/LARGE/liberty_V.jpg,j,V
L,V,N,De space shuttle werd naar het museum vervoerd.,STI/LARGE/spaceshuttle_V.jpg,j,V
L,V,N,De kraanarm was omlaag toen de kraanwagen stopte.,STI/LARGE/crane_V.jpg,j,V
L,H,Y,De Titanic werd naar zijn bestemming genavigeerd.,STI/LARGE/Titanic_H.jpg,j,V
L,H,Y,Het wijnvat werd over de vloer gerold.,STI/LARGE/barrel_H.JPG,j,V
L,H,Y,De parachute werd geopend achter het vliegtuig.,STI/LARGE/Parachute_H.jpg,j,V
L,H,Y,De raket vloog over de zee.,STI/LARGE/missle_H.jpg,j,V
L,H,Y,De straaljager vloog onder de wolken.,STI/LARGE/jetfighter_H.jpg,j,V
L,H,Y,De verkoopautomaat lag in de vrachtwagen.,STI/LARGE/vending_H.jpg,j,V
L,H,Y,De grote koelkast lag achterin de pick-up truck.,STI/LARGE/refrigerator_H.jpg,j,V
L,H,Y,De slagbomen daalden toen de auto werd onderzocht.,STI/LARGE/gate_arms_H.jpg,j,V
L,H,N,Het vliegtuig daalde door de wolken.,STI/LARGE/aeroplane_H.jpg,j,V
L,H,N,De piano werd het podium opgereden.,STI/LARGE/Uprightpiano_H.jpg,j,V
L,H,N,De raket werd gelanceerd naar de ruimte.,STI/LARGE/rocket_H.jpg,j,V
L,H,N,De metalen sloopkogel sloeg tegen de muur.,STI/LARGE/wreckingball_H.jpg,j,V
L,H,N,De straatlantaarn stond langs de weg.,STI/LARGE/streetlantern_H.jpg,j,V
L,H,N,Het stalen vat stond in de fabriek.,STI/LARGE/steelbarrel_H.jpg,j,V
L,H,N,Het varkenskarkas hing in de vrieshal.,STI/LARGE/pig_H.jpg,j,V
L,H,N,De vrachtwagen loste het zand.,STI/LARGE/dump-truck_H.JPG,j,V
S,V,Y,De lucifer werd vastgehouden door mijn vingers,STI/SMALL/007-allumette_match_r.jpg,j,V
S,V,Y,De stok werd vastgehouden door de bejaarde.,STI/SMALL/066-canne_cane_r.jpg,j,V
S,V,Y,De reageerbuis stond in het rek.,STI/SMALL/126-eprouvette_test-tube_r.jpg,j,V
S,V,Y,De bloempot stond voor de deur,STI/SMALL/242-pot_jar_r.jpg,j,V
S,V,Y,De bowlingkegel stond aan het einde van de baan.,STI/SMALL/248-quille_skittle_r.jpg,j,V
S,V,Y,De sleutelbos hing aan de muur.,STI/SMALL/keychain_r.jpg,j,V
S,V,Y,De boomtak werd in de grond gestoken.,STI/SMALL/branch02_r.jpg,j,V
S,V,Y,De zuurstok hing in de kerstboom.,STI/SMALL/candycane01a_r.jpg,j,V
S,V,N,De wortel lag op de lopende band.,STI/SMALL/carrot01_r.jpg,j,V
S,V,N,De prei werd op het aanrecht gelegd,STI/SMALL/leek_r.jpg,j,V
S,V,N,Het madeliefje was op de vloer van de bloemenwinkel gevallen,STI/SMALL/daisy_r.jpg,j,V
S,V,N,Het stofblik werd achtergelaten op de garagevloer.,STI/SMALL/dustpan_r.jpg,j,V
S,V,N,De hengel werd vastgehouden door de visser,STI/SMALL/fishingrod_r.jpg,j,V
S,V,N,De lepel werd boven het bord geplaatst,STI/SMALL/spoon_V.jpg,j,V
