Size,Orien,Match,Probe,Target,correct_response,Task
L,V,N,The boat was sailing on the sea.,STI_EXP02/LARGE/boat_V.jpg,j,V
L,V,N,The desk was placed in front of the window.,STI_EXP02/LARGE/desk_V.jpg,j,V
L,V,N,The mattress was put on the bed.,STI_EXP02/LARGE/mattress_V.jpg,j,V
L,V,N,The cabinet was moved out of the office by two men.,STI_EXP02/LARGE/filingcabinet_V.jpg,j,V
L,V,N,The sofa was installed in the living room.,STI_EXP02/LARGE/sofa_V.jpg,j,V
L,V,N,The trap door was closed to safely move the boxes.,STI_EXP02/LARGE/trapdoor_V.jpg,j,V
L,V,N,The canoe was gliding across the river.,STI_EXP02/LARGE/canoe_V.jpg,j,V
L,V,N,The anchor was on the bottom of the sea.,STI_EXP02/LARGE/anchor_V.jpg,j,V
L,H,Y,The jeep was driving down the road.,STI_EXP02/LARGE/jeep_H.jpg,j,V
L,H,Y,The drawbridge was lowered across the moat.,STI_EXP02/LARGE/Drawbridge_H.jpg,j,V
L,H,Y,The bus was driving down the road.,STI_EXP02/LARGE/bus_H.jpg,j,V
L,H,Y,The window frame was set in the ceiling.,STI_EXP02/LARGE/windowframe_H.jpg,j,V
L,H,Y,The ladder was carried by the fireman.,STI_EXP02/LARGE/ladder_H.jpg,j,V
L,H,Y,The statue of liberty replica was being moved to the park.,STI_EXP02/LARGE/liberty_H.jpg,j,V
L,H,Y,The space shuttle was transported to the museum.,STI_EXP02/LARGE/spaceshuttle_H.jpg,j,V
L,H,Y,The crane arm was down when the crane truck stopped.,STI_EXP02/LARGE/crane_H.jpg,j,V
L,H,N,The Titanic was sinking to the bottom.,STI_EXP02/LARGE/Titanic_H.jpg,j,V
L,H,N,The wine barrel stood in the wine bar.,STI_EXP02/LARGE/barrel_H.JPG,j,V
L,H,N,The parachute was opened by the parachutist.,STI_EXP02/LARGE/Parachute_H.jpg,j,V
L,H,N,The missile was launched from the submarine.,STI_EXP02/LARGE/missle_H.jpg,j,V
L,H,N,The jet fighter climbed through the clouds.,STI_EXP02/LARGE/jetfighter_H.jpg,j,V
L,H,N,The vending machine stood in the street corner.,STI_EXP02/LARGE/vending_H.jpg,j,V
L,H,N,The big refrigerator was put in the kitchen.,STI_EXP02/LARGE/refrigerator_H.jpg,j,V
L,H,N,The gate arms were lifted after the car was investigated.,STI_EXP02/LARGE/gate_arms_H.jpg,j,V
L,V,Y,The airplane was falling through the clouds.,STI_EXP02/LARGE/aeroplane_V.jpg,j,V
L,V,Y,The upright piano was rolled onto the stage.,STI_EXP02/LARGE/Uprightpiano_V.jpg,j,V
L,V,Y,The rocket was launched to space.,STI_EXP02/LARGE/rocket_V.jpg,j,V
L,V,Y,The metal wrecking ball hit the wall.,STI_EXP02/LARGE/wreckingball_V.jpg,j,V
